4c347a5d7c87b5a97bbe1ad4dbed30514bfc850c6c62288a9acad19967948f77,2b5c145287c11a582821191a2d3dc04e92d9a63a393085720945c572851c9785,d7bae76c13e2835b5b6d7c392d9d8a2c5f3701130f298d642feedfcadf5ca7f3,0d98b9734c34f3221ac5f520e03dd508de36d89f9e181fe87036edbfcf51386d
"1","11","0","1"
"1","12","0","1"
"1","13","11002002","1"
"1","14","11003005","1"
"1","15","11002012","1"
"1","16","0","2"
"201","201","0","0"
"2000","203","0","0"
"2000","204","0","0"
"2000","205","0","0"
"206","206","0","0"
"207","207","0","0"
"301","301","0","0"
