4bdf7a397dea1a17a2d056cf82ddf78ded88a2e623e744fa8e7c73a8cac9c294,8473642298c87a688fc8c3ef7f84e0e5a8390c4623f01b133e8a2a66a3bae571,74e5c6ed97f5b2c525a159240334784b56b01a336cc47694454323dd1e516c44,a8cf1a173e0136819d2b04e072914556ca6bfff54f73dde68507e7f1b7419052,40f11f9429d0e2eac29d9f4eac9b05ee293fc62af76c21acffe675d1d3908240,e76a302daf32f70b2fd5f38d58a168d66e32924d6874c75b81f43cddd8ffeb4c,6bc04d307646de192d1beaf54084d6bb26a945fc94fa51250682ff3d01912386,7a2d004eae2bc7a95ec1b860c4e90a2784c60c0f309e4fa5522b21bea4858d5c
"0","冒險的啟程","0","10000001","2018/01/01 15:00:00","2030/01/01 23:59:59","1","101001"
"0","新手騎士","58002001","10101001","2018/01/01 15:00:00","2030/01/01 23:59:59","1","101002"
"0","勇敢的騎士","58002002","10101002","2018/01/01 15:00:00","2030/01/01 23:59:59","1","101003"
"0","公主騎士","58002003","10101003","2018/01/01 15:00:00","2030/01/01 23:59:59","1","101004"
"0","日和","56011001","10201001","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201001"
"0","與日和的羈絆","56011002","10201002","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201002"
"0","有困難的時候就互相幫助幫助","56011003","10201003","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201003"
"0","優衣","56011004","10201004","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201005"
"0","與優衣的羈絆","56011005","10201005","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201006"
"0","又見到你了呢，騎士先生","56011006","10201006","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201007"
"0","怜","56011007","10201007","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201009"
"0","與怜的羈絆","56011008","10201008","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201010"
"0","清廉克勤的劍士","56011009","10201009","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201011"
"0","禊","56011010","10201010","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201013"
"0","與禊的羈絆","56011011","10201011","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201014"
"0","哥哥，來玩吧！","56011012","10201012","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201015"
"0","茉莉","56011013","10201013","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201017"
"0","與茉莉的羈絆","56011014","10201014","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201018"
"0","熱血起來了～！","56011015","10201015","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201019"
"0","茜里","56011016","10201016","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201021"
"0","與茜里的羈絆","56011017","10201017","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201022"
"0","甜蜜小惡魔","56011018","10201018","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201023"
"0","宮子","56011019","10201019","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201025"
"0","與宮子的羈絆","56011020","10201020","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201026"
"0","把你變成布丁唷～","56011021","10201021","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201027"
"0","雪","56011022","10201022","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201029"
"0","與雪的羈絆","56011023","10201023","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201030"
"0","完美無瑕的美麗","56011024","10201024","2018/01/01 15:00:00","2030/01/01 23:59:59","2","201031"
