9cabeff58d1781446f30c3b9624c92a426d843c5d7528f7cbdaab1316adf542d,e18126caf048a16ca61484d698ea6fbacaaf0636b81bb26a835eac07c705b706,8ed65a4a9ad00c19530fb0d9f16a6b11730af07d26b15ab4a1572266fd4dafb7,3b19b79cbbf41b22ecf306e668a6dcdc2041f3dc93f0463e17392aa84d56e3c4,eee4efe3e720aec1ed0c634be03c62facd8a2223387e5c4935f9f811a1ecc3ca,2ef562a44edbebc3cf6a615eac8bafa60019487afbdc8e34f0d45e6d3bedc169,bd747a8215e29b60d3317505cc727e79f3861f29a835402758dceebe0e2c8e86,9acd864872198c952d7c08d5d8633e740610d5a6d5af4eaca6c93ee9cd323baf,a33d65ba2e4fe1487db1665415cc051eaf630df699ae7b52badfa096d7f714d1,1aadb6a8ba6604d53f5330a29705244faec03036ea1fe24ebc035e6f7fba4942,91a40c2f23f81346a498430e5fd833b681bf3d3cfdecacf4ec4a4242b6cc1cd0
"-140","-190","0","omp_talk_worry","1010001","1","1.8","112511","1500","1","1"
"140","-190","1","omp_idle_normal","1010002","1","1.8","112411","1500","1","1"
"0","1","","","1010003","1","1","1","0","1","31"
"","","","","1010004","1","","","","1","93"
"0","","","","1010005","1","","vo_omp_7001_000","0","vo_omp_7001","21"
"1","1","","","1010006","1","","卯月，還好嗎？\n連日在外露營會不會累？","10","112511","11"
"","","","","1010007","1","","","","0","91"
"","","","","1010008","1","0","omp_idle_worry","1","112511","3"
"","","","","1010009","1","0","omp_talk_joy1","1","112411","3"
"0","","","","1010010","1","","vo_omp_7001_001","0","vo_omp_7001","21"
"1","1","","","1010011","1","","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。","10","112411","11"
"","","","","1010012","1","","","","0","91"
"","","","","1010013","1","0","omp_psn_20","1","112411","3"
"","","","","1010014","1","0","omp_talk_normal","1","112511","3"
"0","","","","1010015","1","","vo_omp_7001_002","0","vo_omp_7001","21"
"1","1","","","1010016","1","","這樣啊，\n卯月妳好像無論何時都很開心呢。","10","112511","11"
"","","","","1010017","1","","","","0","91"
"","","","","1010018","1","0","omp_idle_normal","1","112511","3"
"","","","","1010019","1","0","omp_talk_sad","1","112411","3"
"0","","","","1010020","1","","vo_omp_7001_003","0","vo_omp_7001","21"
"1","1","","","1010021","1","","難道說……\n小凜妳不開心嗎？","10","112411","11"
"","","","","1010022","1","","","","0","91"
"","","","","1010023","1","0","omp_idle_sad","1","112411","3"
"omp_idle_surprise1","1","0.1","","1010024","1","0","omp_surprise","0","112511","3"
"0","","","","1010025","1","","vo_omp_7001_004","0","vo_omp_7001","21"
"1","1","","","1010026","1","","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","10","112511","11"
"","","","","1010027","1","","1","","2.5","93"
"","","","","1010028","1","0.2","omp_talk_normal","1","112511","3"
"","","","","1010029","1","","","","1010026","91"
"","","","","1010030","1","0","omp_idle_normal","1","112511","3"
"","","","","1010031","1","0","omp_talk_joy2","1","112411","3"
"0","","","","1010032","1","","vo_omp_7001_005","0","vo_omp_7001","21"
"1","1","","","1010033","1","","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","10","112411","11"
"","","","","1010034","1","","","","0","91"
"","","","","1010035","1","","0","1","112511","4"
"","","","","1010036","1","0","omp_psn_20","1","112411","3"
"","","","","1010037","1","0","omp_idle_normal","1","112511","3"
"0","","","","1010038","1","","vo_omp_7001_006","0","vo_omp_7001","21"
"1","1","","","1010039","1","","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","10","112511","11"
"","","","","1010040","1","","","","0","91"
"","","","","1010041","1","","","","0.4","93"
"-180","-195","0","omp_idle_normal","1020001","2","1.8","112511","1600","1","1"
"20","-190","1","omp_talk_normal","1020002","2","1.8","112411","1500","1","1"
"220","-205","1","omp_idle_normal","1020003","2","1.8","112611","1600","1","1"
"0","1","","","1020004","2","1","1","0","1","31"
"","","","","1020005","2","","","","1","93"
"0","","","","1020006","2","","vo_omp_7002_000","0","vo_omp_7002","21"
"1","1","","","1020007","2","","貪吃佩可的魔物料理，\n真的很美味呢♪","10","112411","11"
"","","","","1020008","2","","","","0","91"
"","","","","1020009","2","","0","","112411","4"
"","","","","1020010","2","0","omp_idle_normal","1","112411","3"
"","","","","1020011","2","0","omp_talk_joy1","1","112611","3"
"0","","","","1020012","2","","vo_omp_7002_001","0","vo_omp_7002","21"
"1","1","","","1020013","2","","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","10","112611","11"
"","","","","1020014","2","","","","0","91"
"","","","","1020015","2","0","omp_idle_joy1","1","112611","3"
"","","","","1020016","2","0","omp_talk_surprise1","1","112411","3"
"0","","","","1020017","2","","vo_omp_7002_002","0","vo_omp_7002","21"
"1","1","","","1020018","2","","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","10","112411","11"
"","","","","1020019","2","","","","0","91"
"","","","","1020020","2","","1","","112411","4"
"","","","","1020021","2","0","omp_idle_surprise1","1","112411","3"
"","","","","1020022","2","0","omp_talk_normal","1","112511","3"
"0","","","","1020023","2","","vo_omp_7002_003","0","vo_omp_7002","21"
"1","1","","","1020024","2","","味道超乎想像呢，\n我是指好的方面。","10","112511","11"
"","","","","1020025","2","","","","0","91"
"","","","","1020026","2","0","omp_talk_sad","1","112511","3"
"0","","","","1020027","2","","vo_omp_7002_004","0","vo_omp_7002","21"
"1","1","","","1020028","2","","可是在料理魔物的時候，\n嗯，該怎麼說……","10","112511","11"
"","","","","1020029","2","","","","0","91"
"","","","","1020030","2","0","omp_idle_sad","1","112511","3"
"","","","","1020031","2","0","omp_talk_bitter","1","112411","3"
"0","","","","1020032","2","","vo_omp_7002_005","0","vo_omp_7002","21"
"1","1","","","1020033","2","","……很、很不得了呢！","10","112411","11"
"","","","","1020034","2","","","","0","91"
"","","","","1020035","2","0","omp_idle_bitter","1","112411","3"
"","","","","1020036","2","0","omp_talk_joy1","1","112611","3"
"0","","","","1020037","2","","vo_omp_7002_006","0","vo_omp_7002","21"
"1","1","","","1020038","2","","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","10","112611","11"
"","","","","1020039","2","","","","0","91"
"","","","","1020040","2","0","omp_idle_joy1","1","112611","3"
"","","","","1020041","2","0","omp_talk_bitter","1","112511","3"
