3b55e073249d57abdb3687dc55a2d2c6feb7f8bdae1d25ed4a8f74893aa7f6a9,8deae9588bc08f34d0aa934c34e415291915c649aefdf1a64deccfb4df375cef,98bd3c6e141fe70ff85ef055c7af1ac10797dc25cac884ef7f990d3e0348c1da,dff678a329f2462562aeb380be3bf38dee2d9e32294e9f4e96e1b33c08892082,2091c2a6e749e00fba362ee732a29ee4f78a83653ce5f9950a48ab6871cf2183,e2772d2b1a2740e3c7e0a1835a8c89f8a75e2cb1f5140f5d8a91567197b59f3c,389783ae662365ac7411a5ff3692cf8b669da88019e4ed054213a2696871f463,127a65520ba392881ea9e258049269fb125c0b8d23b97090c9d96c0f6e2017b7,9e3d28402acbd614e5e0858f4f2425795c4bd4de2abe8dcd6b1cb9fc27c9fe20,c2de069ba74fd7f3e43f30f0c1e0753f0bec1b25b51bf3985ffee018576d8376,2cb6c8745aa22006bfe69c68568ca56521329a963c42e7fb5c9f76fccfb9017e
"91002","2","8","2","8","10","1","25011","281001001","25021","31"
"91002","2","8","2","8","10","2","25011","281001002","25021","31"
"91002","2","8","2","8","10","3","25011","281001003","25021","32"
"91002","2","8","2","8","10","4","25011","281001004","25021","32"
"91002","2","8","2","8","10","5","25011","281001005","25021","33"
"91002","2","8","2","9","10","6","25011","281001006","25021","33"
"91002","2","8","2","9","10","7","25011","281001007","25021","34"
"91002","2","8","2","9","10","8","25011","281001008","25021","35"
"91002","2","8","2","9","10","9","25011","281001009","25021","35"
"91002","2","8","2","10","30","10","25011","281001010","25021","37"
"91002","2","8","2","10","10","11","25011","281001011","25021","41"
"91002","2","8","2","11","10","12","25011","281001012","25021","43"
"91002","2","8","2","11","10","13","25011","281001013","25021","46"
"91002","2","8","2","12","10","14","25011","281001014","25021","48"
"91002","2","8","2","12","10","15","25011","281001015","25021","50"
"91002","2","8","2","13","10","16","25011","281001016","25021","53"
"91002","2","8","2","14","10","17","25011","281001017","25021","55"
"91002","2","8","2","14","10","18","25011","281001018","25021","58"
"91002","2","8","2","15","10","19","25011","281001019","25021","60"
"91002","2","8","2","15","30","20","25011","281001020","25021","62"
"91002","2","8","2","16","10","21","25011","281001021","25021","68"
"91002","2","8","2","16","10","22","25011","281001022","25021","70"
"91002","2","8","2","16","10","23","25011","281001023","25021","72"
"91002","2","8","2","17","10","24","25011","281001024","25021","75"
"91002","2","8","2","18","10","25","25011","281001025","25021","77"
"91002","2","8","2","18","10","26","25011","281001026","25021","79"
"91002","2","8","2","19","10","27","25011","281001027","25021","82"
"91002","2","8","2","19","10","28","25011","281001028","25021","84"
"91002","2","8","2","19","10","29","25011","281001029","25021","86"
"91002","2","8","2","20","30","30","25011","281001030","25021","89"
"91002","2","8","2","20","10","31","25011","281001031","25021","94"
"91002","2","8","2","21","10","32","25011","281001032","25021","96"
"91002","2","8","2","21","10","33","25011","281001033","25021","99"
"91002","2","8","2","22","10","34","25011","281001034","25021","101"
"91002","2","8","2","22","10","35","25011","281001035","25021","103"
"91002","2","8","2","23","10","36","25011","281001036","25021","106"
"91002","2","8","2","23","10","37","25011","281001037","25021","108"
"91002","2","8","2","24","10","38","25011","281001038","25021","111"
"91002","2","8","2","25","10","39","25011","281001039","25021","113"
"91002","2","8","2","25","30","40","25011","281001040","25021","115"
"91002","2","8","2","26","10","41","25011","281001041","25021","121"
"91002","2","8","2","27","10","42","25011","281001042","25021","123"
"91002","2","8","2","28","10","43","25011","281001043","25021","125"
"91002","2","8","2","28","10","44","25011","281001044","25021","128"
"91002","2","8","2","29","10","45","25011","281001045","25021","130"
"91002","2","8","2","30","10","46","25011","281001046","25021","132"
"91002","2","8","2","30","10","47","25011","281001047","25021","135"
"91002","2","8","2","31","10","48","25011","281001048","25021","137"
"91002","2","8","2","31","10","49","25011","281001049","25021","139"
"91002","2","8","2","31","30","50","25011","281001050","25021","142"
