407cf14317da66e8706f3c7ba2ec343c1df1323a66a8d1b3f8dd3144e737d7d2,35cb8cf8f8ae1cecaaa354484f4a77a0857dca68d6a57738344f648acfd5c133,a34d4fff2dc7f023cb46ceacc1e6a3a8ff83a519c4a356773e4ff33531739937,bfdad19bca72a6587eba1bc42816f5a55623427d12e9976e5d4fcafe292d8a86
"0","10101","101","step1"
"10101","10102","101","step2"
"10102","10103","101","step3"
"10103","10104","101","step4"
"10104","10105","101","step5"
"10105","10106","101","step6"
"10106","10107","101","step7"
"0","10201","102","step1"
"10201","10202","102","step2"
"10202","10203","102","step3"
"10203","10204","102","step4"
"10204","10205","102","step5"
"10205","10206","102","step6"
"10206","10207","102","step7"
"0","20101","201","step1"
