9c2f7c81c1d6a999dfd9da7d7a189d99563dca3a4ff4e7b32a7aff1f98c16ac6,9de192598c46fc86dff9f441af4a7c21614f9ae13ea212c2f0ff6d6c009569f6,e48b9a524eb9d7420c32e26b1b98b11c070eb9212e78b45abac31b8ede7aa7d7,5a998e241b6bf604e9be4ddd9aba8ef984f7d627cd7ef7d912fb52db4a17b469,7ba84bd043182a3a7846422dbe8b188cb5a4179264a5599612ae70d6bd664d6c
"1","101","25","1","13000001"
"1","102","26","1","40001"
"1000","103","28","1","99012"
"1","201","25","2","13000002"
"1","202","26","2","40002"
"1000","203","28","2","99012"
"1","301","25","3","13000004"
"1","302","26","3","40006"
"1000","303","28","3","99012"
"1","401","25","4","13000011"
"1","402","26","4","40008"
"1000","403","28","4","99012"
"1","501","25","5","13000007"
"1","502","26","5","40007"
"1000","503","28","5","99012"
"1","701","25","7","13000009"
"1","702","26","7","40003"
"1000","703","28","7","99012"
"1","901","25","9","13000013"
"1","902","26","9","40010"
"1000","903","28","9","99012"
"1","1101","25","11","13000008"
"1","1102","26","11","40004"
"1000","1103","28","11","99012"
"1","1301","25","13","13000012"
"1","1302","26","13","40009"
"1000","1303","28","13","99012"
"1","1501","25","15","13000003"
"1","1502","26","15","40005"
"1000","1503","28","15","99012"
