6ce896071d9e32f81dba6d839f691cd6bd39df60a3fcb43460e6ce798233c7dd,292af7d5ee3c1f37d736ffefdd9bc1ab4c76621ebe057ceb51a1c067c857559f,86bb8f2d2843d6ce6277390c7dbf442592e4fe0332b570072babefbfbab98773,5138b8de15b78318889219484b37ded1fe67d6cca3c2c4957132a9b3ca912db6,90303a32b0627e8cdf220963acd38153b08a918fbec31f1d40dbeb456bbb8b8d,14ac057b6735e9493da6e662e6beb343a7c390fbc1612d79941f5dde37f417ea,8ae197c17a4fbe41680e3199dd21483cb1efcdadec8b1f0b939caa1241203154,c306f7e3a71fc3ae80959a755fc67c848d1a813e2f82a400114a19696de77081,f054ca78b7d4bbf5a247ea9fa80e117f9d06a94eeed7d655430edb58de5148f1,616b3f43f094a3af7101628fa686f7e7f2f1e016ea4c428e4b83f5351379c29d,16b720dc6111f7b57c5446b970fd0aac0e92ed78a06d183f373ce294f564dded,ca868dcd7323381ca7e25a5f8acee582864353412677dfbcb637a9ddaa759fcd,130116fce05d33f6598a59a7189d9af20e67aafe11a76ed43277667b3f92b3ae,ce565e265e27f55608da0f2b75c83c61e0c3d7e648add727f398450d7a950203,09cc8928dae6aefac43f0e6474314f87464f8366f1142bfa205e94b919dc2e56,c228b60f632cf20b2c5bb7f7186009ab5fcb729029fc5d5301331582319d7279
"105","0","0","5","104","0","0","0","1","10016","1","1","101","102","1","103"
"205","0","0","2","204","0","1","0","1","10021","2","2","201","202","2","203"
"305","0","0","5","304","0","1","0","1","10053","5","3","301","302","2","303"
"405","0","0","8","404","0","1","0","1","10044","4","4","401","402","2","403"
"505","0","0","2","504","0","2","0","1","10042","4","5","501","502","3","503"
"605","0","0","5","604","0","3","0","1","10024","2","6","601","602","3","603"
"705","0","0","8","704","0","4","0","1","10015","1","7","701","702","3","703"
"0","0","0","2","0","0","5","0","1","11012","101","8","801","0","4","0"
"905","0","0","5","904","0","6","0","1","10023","2","9","901","902","4","903"
"0","0","0","8","0","0","7","0","1","11011","101","10","1001","0","4","0"
"1105","0","0","2","1104","0","8","0","1","10052","5","11","1101","1102","5","1103"
"1205","0","0","5","1204","0","9","0","1","10045","4","12","1201","1202","5","1203"
"1305","0","0","8","1304","0","10","0","1","10021","2","13","1301","1302","5","1303"
"1405","0","0","2","1404","0","11","0","1","10013","1","14","1401","1402","6","1403"
"1505","0","0","5","1504","0","12","0","1","10054","5","15","1501","1502","6","1503"
"0","0","0","8","0","0","13","0","1","11015","101","16","1601","0","6","0"
"0","0","0","2","0","0","14","0","1","11002","100","17","1701","0","7","0"
"1805","0","0","5","1804","0","15","0","1","10043","4","18","1801","1802","7","1803"
"1905","0","0","8","1904","0","16","16","1","10034","3","19","1901","1902","7","1903"
"2005","0","0","2","2004","0","17","0","1","10041","4","20","2001","2002","8","2003"
"0","0","0","5","0","0","18","0","1","11003","100","21","2101","0","8","0"
"2205","0","0","8","2204","0","19","0","1","10025","2","22","2201","2202","8","2203"
"2305","0","0","2","2304","0","20","0","1","10011","1","23","2301","2302","9","2303"
