891f2f0a6cb052e56b34b07ba96419166b0eaa5a512ab60a4bc498c3dad49fc4,76a8e6933031c4e1374f0797e950bfd886fe976c71fa9a14097fd0eb3926b9f5,ae35a9ae8e196dd7858c10fb2c76dec1b719fb197a8b5167eca150c178db48d9
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","4","5"
"116801","5","6"
"117401","6","7"
"117801","7","8"
"119201","8","9"
"120801","9","10"
"121201","10","12"
"122101","11","13"
"122401","12","14"
"122801","13","15"
"123501","14","16"
"124101","15","17"
"124701","16","20"
"124901","17","21"
"125701","18","22"
"126701","19","24"
"127001","20","25"
"128301","21","27"
"128801","22","28"
"105801","23","29"
"105901","24","30"
"106001","25","31"
"106401","26","32"
