e11fc75b489148762a9b05ee152e188eb78eccdbec7a6d55ce0a64bb5b0fe860,4794d7fefcb4a88fb5337157920c6e3d53560c08034cf09f3d0949c8c31007b7,44883d45dbcf7b961144ee659d33e14dc94e9548276e091993566e4f295be0ed,ec0ae83d94c30064ec983ae842fb1f00e88150f303e1f512036016c59a4a0bd8,ec3280f31eb7c63deb1594b4a2bd721f20f926c5b0d89e16199f63b0f5e3258d,fec5305fecc8c14aa5e75440eef06d640f92b5dac8845f0d869c174527afde19,72bb7b65149397241f26ec93ef57c32eeab7203d271902f037239a2d030b8617,78340a41ea56704ecfb1b9c439db2ae2b67af5995db216b6fdec4a13c97d54d7
"0","3","短時間內，展開障礙物護盾　　　　（TP上升率：大）","0","短時間內，展開障礙物護盾！","0","2001","101"
"0","5","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","5","中時間內，小幅度提升速度與跳躍力！","5","3","102"
"0","4","短時間內，中幅度提升速度　　　　（TP上升率：中）","0","短時間內，中幅度提升速度！","6","1","103"
"0","5","中時間內，展開障礙物護盾　　　　（TP上升率：小）","0","中時間內，展開障礙物護盾！","0","2001","104"
"0","6","中時間內，小幅度提升速度　　　　（TP上升率：小）","0","中時間內，小幅度提升速度！","3","1","105"
"0","6","中時間內，對戰對手小幅度減速　　（TP上升率：大）","0","中時間內，對戰對手小幅度減速！","4","1001","106"
"0","5","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","16","中時間內，特大幅度提升速度與跳躍力！","17","3","107"
"0","40","回合內，中幅度提升速度　　　　　（TP上升率：小）","0","回合內，中幅度提升速度！","8","1","108"
"0","4","短時間內，特大幅度提升速度　　　（TP上升率：特小）","0","短時間內，特大幅度提升速度！","30","1","109"
"0","40","回合內，對戰對手中幅度減速　　　（TP上升率：小）","0","回合內，對戰對手大幅度減速！","10","1001","110"
"0","1","極短時間內，展開障礙物護盾　　　（TP上升率：大）","0","極短時間內，展開障礙物護盾！","0","2001","111"
"0","4","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","0","短時間內，最前方對戰對手大幅度減速！","15","1004","112"
"0","6","中時間內，小幅度提升速度　　　　（TP上升率：大）","0","中時間內，小幅度提升速度！","5","1","113"
"0","5","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","0","中時間內，小幅度提升跳躍力！","5","2","114"
"0","7","長時間內，以護盾防止能力降低　　（TP上升率：特大）","0","長時間內，以護盾防止能力降低！","0","2002","115"
"0","25","累積時，小幅度提升速度　　　　　（TP上升率：特大）","0","累積時，小幅度提升速度！","3","1","116"
"0","25","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","0","累積時，對戰對手小幅度減速！","3","1001","117"
"0","7","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","20","長時間內，特大幅度提升速度與跳躍力！","30","3","118"
"0","4","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","0","短時間內，最前方對戰對手大幅度減速！","15","1004","119"
"0","7","長時間內，以護盾防止能力降低　　（TP上升率：大）","0","長時間內，以護盾防止能力降低！","0","2002","120"
"0","12","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","0","長時間內，特大幅度提升跳躍力！","30","2","121"
"0","30","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","0","累積時，最前方的對戰對手大幅度減速！","15","1004","122"
"8","4","短時間大幅度加速後，減速　　　　（TP上升率：大）","2","短時間大幅度加速後，極短時間減速！","11","4","123"
"0","8","長時間內，中幅度提升速度　　　　（TP上升率：大）","0","長時間內，中幅度提升速度！","9","1","124"
"0","4","短時間內，展開障礙物護盾　　　　（TP上升率：中）","0","短時間內，展開障礙物護盾！","0","2001","125"
"0","30","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","0","累積時，對戰對手小幅度減速！","3","1001","126"
"0","10","長時間內，特大幅度提升速度　　　（TP上升率：特小）","0","長時間內，特大幅度提升速度！","22","1","127"
"0","4","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","0","中時間內，特大幅度提升跳躍力！","30","2","128"
"0","3","短時間內，對戰對手特大幅度減速　（TP上升率：大）","0","短時間內，對戰對手特大幅度減速！","20","1001","129"
"0","4","短時間內，特大幅度提升速度　　　（TP上升率：大）","0","短時間內，特大幅度提升速度！","30","1","130"
