3d6c289276eb1535347180515704e6606cf9397dbcfc45ab1e4da40cab260d0b,521a636d3c19cf37367390989f1df1fdee257b2216eaa489ccf5f42de6bb36c2,65c4b71f28e1825eafe4392facfe161b78ce0a1d1ce71de4c94db2e6753bd2e1,9e4383e854d4eea1266a6eeaf62966d9153f229ecc83fa9d3789098737384f67,07869d0935580bb62f504cfe3b1b1246abf7934ec975969edf375b626467d09b,30a371d2563833ea04479858b3f904000c5ef8a36c011dc473788b09ca9cbd9b,f8fd60edee475eae08c584d945ef60641c4eef0d1f6d1c43d4914087ba863756,80a77cbe2d6b9048ee9357a8fde1c6d27c17f7031cda19479ec56b89081b531a,8404e73c22e342ca396467cfb5dfa3ecdbb60bced42d197604fbefd16ccafd46,01bec91c3d5e392da12d7ce7f680bf39eabfb631f4e6ed93869788ce24008605,e4522dbb549162e8ea98d20e8376ead0db794935f62b32161a97341aacf07546,b1c74539ca15ae0b6891c17d4935668ff3b4c8374bfbb9e06d10a263064aee4b
"0","1009801","4","1","100980101","0","0","0","0","0","0.8","1"
"0","1009801","2","2","100980102","0","0","vo_lsv_0101","vo_lsv","0","0","0"
"300","1009801","1","3","100980103","1","2","0","0","0","0","0"
"0","1009801","4","4","100980104","0","0","0","0","0","2.3","1"
"280","1009801","1","5","100980105","2","2","0","0","0","0","0"
"0","1009801","4","6","100980106","0","0","0","0","0","3","1"
"0","1009801","2","7","100980107","0","0","vo_lsv_0102","vo_lsv","0","0","0"
"300","1009801","1","8","100980108","3","2.05","0","0","0","0","0"
"0","1009801","4","9","100980109","0","0","0","0","0","2.05","1"
"327","1009801","1","10","100980110","4","1.8","0","0","0","0","0"
"0","1009801","4","11","100980111","0","0","0","0","0","2.8","1"
"0","1009801","2","12","100980112","0","0","vo_lsv_0103","vo_lsv","0","0","0"
"300","1009801","1","13","100980113","5","2.3","0","0","0","0","0"
"0","1009801","4","14","100980114","0","0","0","0","0","2.5","1"
"275","1009801","1","15","100980115","6","1.9","0","0","0","0","0"
"0","1009801","4","16","100980116","0","0","0","0","0","2.9","1"
"0","1009801","2","17","100980117","0","0","vo_lsv_0104","vo_lsv","0","0","0"
"300","1009801","1","18","100980118","7","2.7","0","0","0","0","0"
"0","1009801","4","19","100980119","0","0","0","0","0","2.9","1"
"310","1009801","1","20","100980120","8","2.3","0","0","0","0","0"
"0","1009801","4","21","100980121","0","0","0","0","0","2.3","1"
"250","1009801","1","22","100980122","9","1.8","0","0","0","0","0"
"0","1009801","4","23","100980123","0","0","0","0","0","2.8","1"
"0","1009801","2","24","100980124","0","0","vo_lsv_0105","vo_lsv","0","0","0"
"320","1009801","1","25","100980125","10","2.5","0","0","0","0","0"
"0","1009801","4","26","100980126","0","0","0","0","0","2.5","1"
"165","1009801","1","27","100980127","11","0.7","0","0","15","0","0"
"0","1009802","4","1","100980201","0","0","0","0","0","0.8","1"
"0","1009802","2","2","100980202","0","0","vo_lsv_0201","vo_lsv","0","0","0"
"300","1009802","1","3","100980203","1","1.51","0","0","0","0","0"
"0","1009802","4","4","100980204","0","0","0","0","0","1.51","1"
"300","1009802","1","5","100980205","1","1.5","0","0","300","0","0"
"0","1009802","4","6","100980206","0","0","0","0","0","2.5","1"
"0","1009802","2","7","100980207","0","0","vo_lsv_0202","vo_lsv","0","0","0"
"300","1009802","1","8","100980208","2","1.8","0","0","0","0","0"
"0","1009802","4","9","100980209","0","0","0","0","0","1.8","1"
"300","1009802","1","10","100980210","3","1.1","0","0","0","0","0"
"0","1009802","4","11","100980211","0","0","0","0","0","2.1","1"
"0","1009802","2","12","100980212","0","0","vo_lsv_0203","vo_lsv","0","0","0"
"300","1009802","1","13","100980213","4","1.95","0","0","0","0","0"
"0","1009802","4","14","100980214","0","0","0","0","0","1.95","1"
"310","1009802","1","15","100980215","5","2.05","0","0","0","0","0"
"0","1009802","4","16","100980216","0","0","0","0","0","2.05","1"
"310","1009802","1","17","100980217","5","0.8","0","0","310","0","0"
"0","1009802","4","18","100980218","0","0","0","0","0","1.8","1"
"0","1009802","2","19","100980219","0","0","vo_lsv_0204","vo_lsv","0","0","0"
"300","1009802","1","20","100980220","6","1.7","0","0","0","0","0"
"0","1009802","4","21","100980221","0","0","0","0","0","2.1","1"
"327","1009802","1","22","100980222","7","2.3","0","0","0","0","0"
"0","1009802","4","23","100980223","0","0","0","0","0","3.3","1"
"0","1009802","2","24","100980224","0","0","vo_lsv_0205","vo_lsv","0","0","0"
"300","1009802","1","25","100980225","8","1.83","0","0","0","0","0"
"0","1009802","4","26","100980226","0","0","0","0","0","2.4","1"
"300","1009802","1","27","100980227","9","1.7","0","0","0","0","0"
"0","1009802","4","28","100980228","0","0","0","0","0","2.1","1"
"210","1009802","1","29","100980229","10","1.1","0","0","0","0","0"
"0","1009802","4","30","100980230","0","0","0","0","0","0.5","1"
"0","1009803","4","1","100980301","0","0","0","0","0","0.8","1"
"0","1009803","2","2","100980302","0","0","vo_lsv_0301","vo_lsv","0","0","0"
"141","1009803","1","3","100980303","1","1.87","0","0","0","0","0"
