df0dbab2a6ef12483b539c56b0b7dd8a12c8847b1c2d98a176aae2c03111d891,a7ffd728ac4933038f77f7637a188bd113114fd354308282970ed4851dceb4e8,4826390308b5c66a1c09c9b4f9d6d6a250bee9c9c9e3151a341e47bf08cb92ac,51146f067e3a1d9e4ac1ed0ad74db38f4b82f991b86bf67c7c0c967d96dfae19,ec94c398bca97d4c55d33b68ccdcbd14bc2521e8efbd986ef491f2666ce43ae0,d34ea56d467cbb05a2022388f553387e030b328bc0c16028d1f54b5df5714747,c96ddcef67830f680a1f87723ab9d50d2ba2445d22e1fa8c59c46c8ffa58d317,a97caa55fd0494d929f10d15bc48f7f93fa68383ef47526e4ac1530cb5515a16,e7d01ff1f6ad8dc41d59d6b0c285524933d65f7c92545c88956701e8b3914c4a,2f72dc3993f690f2cc0d58f711421f5cf1cf124e6359fe2c494586575e5708f7,c4c3620fce0a1dcf586e44036241e4403fd309e2824ef68651d5c5c6f6cb5678
"8","281001001","10","25011","2","91002","25021","31","2","1","8"
"8","281001002","10","25011","2","91002","25021","31","2","2","8"
"8","281001003","10","25011","2","91002","25021","32","2","3","8"
"8","281001004","10","25011","2","91002","25021","32","2","4","8"
"8","281001005","10","25011","2","91002","25021","33","2","5","8"
"8","281001006","10","25011","2","91002","25021","33","2","6","9"
"8","281001007","10","25011","2","91002","25021","34","2","7","9"
"8","281001008","10","25011","2","91002","25021","35","2","8","9"
"8","281001009","10","25011","2","91002","25021","35","2","9","9"
"8","281001010","30","25011","2","91002","25021","37","2","10","10"
"8","281001011","10","25011","2","91002","25021","41","2","11","10"
"8","281001012","10","25011","2","91002","25021","43","2","12","11"
"8","281001013","10","25011","2","91002","25021","46","2","13","11"
"8","281001014","10","25011","2","91002","25021","48","2","14","12"
"8","281001015","10","25011","2","91002","25021","50","2","15","12"
"8","281001016","10","25011","2","91002","25021","53","2","16","13"
"8","281001017","10","25011","2","91002","25021","55","2","17","14"
"8","281001018","10","25011","2","91002","25021","58","2","18","14"
"8","281001019","10","25011","2","91002","25021","60","2","19","15"
"8","281001020","30","25011","2","91002","25021","62","2","20","15"
"8","281001021","10","25011","2","91002","25021","68","2","21","16"
"8","281001022","10","25011","2","91002","25021","70","2","22","16"
"8","281001023","10","25011","2","91002","25021","72","2","23","16"
"8","281001024","10","25011","2","91002","25021","75","2","24","17"
"8","281001025","10","25011","2","91002","25021","77","2","25","18"
"8","281001026","10","25011","2","91002","25021","79","2","26","18"
"8","281001027","10","25011","2","91002","25021","82","2","27","19"
"8","281001028","10","25011","2","91002","25021","84","2","28","19"
"8","281001029","10","25011","2","91002","25021","86","2","29","19"
"8","281001030","30","25011","2","91002","25021","89","2","30","20"
"8","281001031","10","25011","2","91002","25021","94","2","31","20"
"8","281001032","10","25011","2","91002","25021","96","2","32","21"
"8","281001033","10","25011","2","91002","25021","99","2","33","21"
"8","281001034","10","25011","2","91002","25021","101","2","34","22"
"8","281001035","10","25011","2","91002","25021","103","2","35","22"
"8","281001036","10","25011","2","91002","25021","106","2","36","23"
"8","281001037","10","25011","2","91002","25021","108","2","37","23"
"8","281001038","10","25011","2","91002","25021","111","2","38","24"
"8","281001039","10","25011","2","91002","25021","113","2","39","25"
"8","281001040","30","25011","2","91002","25021","115","2","40","25"
"8","281001041","10","25011","2","91002","25021","121","2","41","26"
"8","281001042","10","25011","2","91002","25021","123","2","42","27"
"8","281001043","10","25011","2","91002","25021","125","2","43","28"
"8","281001044","10","25011","2","91002","25021","128","2","44","28"
"8","281001045","10","25011","2","91002","25021","130","2","45","29"
"8","281001046","10","25011","2","91002","25021","132","2","46","30"
"8","281001047","10","25011","2","91002","25021","135","2","47","30"
"8","281001048","10","25011","2","91002","25021","137","2","48","31"
"8","281001049","10","25011","2","91002","25021","139","2","49","31"
"8","281001050","30","25011","2","91002","25021","142","2","50","31"
"8","281001051","10","25011","2","91002","25021","144","2","51","32"
"8","281001052","10","25011","2","91002","25021","146","2","52","32"
"8","281001053","10","25011","2","91002","25021","149","2","53","32"
"8","281001054","10","25011","2","91002","25021","152","2","54","33"
"8","281001055","10","25011","2","91002","25021","155","2","55","33"
"8","281001056","10","25011","2","91002","25021","157","2","56","33"
"8","281001057","10","25011","2","91002","25021","160","2","57","34"
"8","281001058","10","25011","2","91002","25021","163","2","58","34"
"8","281001059","10","25011","2","91002","25021","166","2","59","34"
"8","281001060","30","25011","2","91002","25021","169","2","60","35"
"8","281001061","10","25011","2","91002","25021","171","2","61","35"
"8","281001062","10","25011","2","91002","25021","174","2","62","35"
"8","281001063","10","25011","2","91002","25021","177","2","63","36"
"8","281001064","10","25011","2","91002","25021","180","2","64","36"
"8","281001065","10","25011","2","91002","25021","182","2","65","36"
"8","281001066","10","25011","2","91002","25021","185","2","66","37"
"8","281001067","10","25011","2","91002","25021","187","2","67","37"
"8","281001068","10","25011","2","91002","25021","190","2","68","37"
"8","281001069","10","25011","2","91002","25021","193","2","69","38"
"8","281001070","30","25011","2","91002","25021","196","2","70","38"
