c6d8735998e300c1c14c73ed7799f4bd3e666bfbb6408b853aeaa351ddd3799e,f650db0d72f30f5ef92e57bcff218fcdbd44c952979df406dd049e6fa27b1dc0,7669e5d67fabcffa203944244c6a005761bde23c856f9705112e0d65077f84cc,da2f3c3fe3779c9bb0efaa4062ff2b5687c22853f09abeb72c3952f6537f15fb,2e9b6137ec4c0c05144994949426381a2a35c3b14119e44e278cfd3b158f9634,cd89bbbe2f39bb9b70a05de8c0a41a7491607d6e1024d56dce35e54e2f23f955,8a0710d5b4b61559bf226c76b96fca1f83381613c020bbe8068d5ade9af24ca5,0512aa0835dd6914e701bb5a78f733f35839cfd3bc429070def0a7f46593810f,3df362efd8f116c4e770e58549cf15b83523e9f1522e656ea59bcc75eafa6a47,3876aaf07a69e33003e1485ed85c167b382b728453c2dcb54e20fa20c4cd05a7,0ce46bbf52657497c897a8ff849d9ada4bc9f795fca14432aa81b83836fb2619,5c29d7850dd675c4f467d7c67db09427889a6e5ef3a308d1aaffb94c672b7278,7186d21af7568aeb6c8b073e2927ed3c5a6a098164eaaa1742d17b43d4f3bb04,4ac75e37565c12d82a0d2d4fc857b9fbde9d2803191582abde764fe041b92a55,dbf8fe5a57b206adf013bd1ae94d7c752fbea028eea84dd8fc5446b0e02cb5c0,bb1195240eb47f0002f5037cad43f95ecc6f5b02b53d8f98f9432dc4b64751e1
"101","0","105","102","10016","0","1","104","1","0","0","0","1","5","103","1"
"201","0","205","202","10021","0","2","204","2","1","0","0","2","2","203","1"
"301","0","305","302","10053","0","5","304","3","1","0","0","2","5","303","1"
"401","0","405","402","10044","0","4","404","4","1","0","0","2","8","403","1"
"501","0","505","502","10042","0","4","504","5","2","0","0","3","2","503","1"
"601","0","605","602","10024","0","2","604","6","3","0","0","3","5","603","1"
"701","0","705","702","10015","0","1","704","7","4","0","0","3","8","703","1"
"801","0","0","0","11012","0","101","0","8","5","0","0","4","2","0","1"
"901","0","905","902","10023","0","2","904","9","6","0","0","4","5","903","1"
"1001","0","0","0","11011","0","101","0","10","7","0","0","4","8","0","1"
"1101","0","1105","1102","10052","0","5","1104","11","8","0","0","5","2","1103","1"
"1201","0","1205","1202","10045","0","4","1204","12","9","0","0","5","5","1203","1"
"1301","0","1305","1302","10021","0","2","1304","13","10","0","0","5","8","1303","1"
"1401","0","1405","1402","10013","0","1","1404","14","11","0","0","6","2","1403","1"
"1501","0","1505","1502","10054","0","5","1504","15","12","0","0","6","5","1503","1"
"1601","0","0","0","11015","0","101","0","16","13","0","0","6","8","0","1"
"1701","0","0","0","11002","0","100","0","17","14","0","0","7","2","0","1"
"1801","0","1805","1802","10043","0","4","1804","18","15","0","0","7","5","1803","1"
"1901","0","1905","1902","10034","0","3","1904","19","16","16","0","7","8","1903","1"
"2001","0","2005","2002","10041","0","4","2004","20","17","0","0","8","2","2003","1"
"2101","0","0","0","11003","0","100","0","21","18","0","0","8","5","0","1"
"2201","0","2205","2202","10025","0","2","2204","22","19","0","0","8","8","2203","1"
"2301","0","2305","2302","10011","0","1","2304","23","20","0","0","9","2","2303","1"
"2401","0","2405","2402","10022","0","2","2404","24","21","0","0","9","5","2403","1"
"2501","0","2505","2502","10045","0","4","2504","25","22","0","0","9","8","2503","1"
"2601","0","0","2602","11006","0","100","0","26","23","24","25","10","5","2603","1"
"2701","0","2705","2702","10031","0","3","2704","27","26","0","0","11","2","2703","1"
"2801","0","2805","2802","10044","0","4","2804","28","26","0","0","11","5","2803","1"
"2901","0","2905","2902","10075","0","7","2904","29","26","0","0","11","8","2903","1"
"3001","0","3005","3002","10032","0","3","3004","30","27","0","0","12","2","3003","1"
"3101","0","3105","3102","10013","0","1","3104","31","28","0","0","12","5","3103","1"
"3201","0","3205","3202","10044","0","4","3204","32","29","0","0","12","8","3203","1"
"3301","0","3305","3302","10041","0","4","3304","33","30","0","0","13","2","3303","1"
"3401","0","3405","3402","10022","0","2","3404","34","31","0","0","13","5","3403","1"
"3501","0","3505","3502","10053","0","5","3504","35","32","0","0","13","8","3503","1"
"3601","0","3605","3602","10024","0","2","3604","36","33","0","0","14","2","3603","1"
"3701","0","3705","3702","10045","0","4","3704","37","34","0","0","14","5","3703","1"
"3801","0","3805","3802","10012","0","1","3804","38","35","0","0","14","8","3803","1"
"3901","0","3905","3902","10043","0","4","3904","39","36","0","0","15","2","3903","1"
"4001","0","4005","4002","10035","0","3","4004","40","37","0","0","15","5","4003","1"
"4101","0","4105","4102","10072","0","7","4104","41","38","0","0","15","8","4103","1"
"4201","0","4205","4202","10021","0","2","4204","42","39","0","0","16","2","4203","1"
"4301","0","4305","4302","10034","0","3","4304","43","40","0","0","16","5","4303","1"
"4401","0","4405","4402","10015","0","1","4404","44","41","0","0","16","8","4403","1"
"4501","0","4505","4502","10022","0","2","4504","45","42","0","0","17","2","4503","1"
"4601","0","4605","4602","10023","0","2","4604","46","43","0","0","17","5","4603","1"
"4701","0","4705","4702","10074","0","7","4704","47","44","0","0","17","8","4703","1"
"4801","0","4805","4802","10031","0","3","4804","48","45","0","0","18","2","4803","1"
"4901","0","4905","4902","10052","0","5","4904","49","46","0","0","18","5","4903","1"
"5001","0","5005","5002","10025","0","2","5004","50","47","0","0","18","8","5003","1"
"5101","0","5105","5102","10041","0","4","5104","51","48","0","0","19","2","5103","1"
"5201","0","5205","5202","10033","0","3","5204","52","49","0","0","19","5","5203","1"
"5301","0","5305","5302","10074","0","7","5304","53","50","0","0","19","8","5303","1"
"5401","0","0","5402","11016","0","101","0","54","51","52","53","20","5","5403","1"
"5501","0","5505","5502","10041","0","4","5504","55","54","0","0","21","2","5503","1"
"5601","0","0","5602","11002","0","100","0","56","54","0","0","21","5","0","1"
"5701","0","5705","5702","10065","0","6","5704","57","54","0","0","21","8","5703","1"
"5801","0","5805","5802","10022","0","2","5804","58","55","0","0","22","2","5803","1"
"5901","0","5905","5902","10013","0","1","5904","59","56","0","0","22","5","5903","1"
"6001","0","0","6002","11015","0","101","0","60","57","0","0","22","8","0","1"
"6101","0","6105","6102","10021","0","2","6104","61","58","0","0","23","2","6103","1"
"6201","0","6205","6202","10032","0","3","6204","62","59","0","0","23","5","6203","1"
"6301","0","6305","6302","10023","0","2","6304","63","60","0","0","23","8","6303","1"
"6401","0","6405","6402","10024","0","2","6404","64","61","0","0","24","2","6403","1"
"6501","0","6505","6502","10071","0","7","6504","65","62","0","0","24","5","6503","1"
"6601","0","0","0","11004","0","100","0","66","63","0","0","24","8","0","1"
"6701","0","6705","6702","10055","0","5","6704","67","64","0","0","25","2","6703","1"
"6801","0","6805","6802","10051","0","5","6804","68","65","0","0","25","5","6803","1"
"6901","0","6905","6902","10042","0","4","6904","69","66","0","0","25","8","6903","1"
"7001","0","7005","7002","10064","0","6","7004","70","67","0","0","26","2","7003","1"
"7101","0","7105","7102","10061","0","6","7104","71","68","0","0","26","5","7103","1"
"7201","0","0","0","11013","0","101","0","72","69","0","0","26","8","0","1"
"7301","0","7305","7302","10033","0","3","7304","73","70","0","0","27","2","7303","1"
"7401","0","7405","7402","10014","0","1","7404","74","71","0","0","27","5","7403","1"
"7501","0","7505","7502","10052","0","5","7504","75","72","0","0","27","8","7503","1"
"7601","0","7605","7602","10044","0","4","7604","76","73","0","0","28","2","7603","1"
"7701","0","0","0","11005","0","100","0","77","74","0","0","28","5","0","1"
"7801","0","0","7802","11011","0","101","0","78","75","0","0","28","8","0","1"
"7901","0","7905","7902","10034","0","3","7904","79","76","0","0","29","2","7903","1"
"8001","0","8005","8002","10073","0","7","8004","80","77","0","0","29","5","8003","1"
"8101","0","8105","8102","10035","0","3","8104","81","78","0","0","29","8","8103","1"
"8201","0","8205","8202","10066","0","6","8204","82","79","80","81","30","5","8203","1"
"8301","0","8305","8302","10062","0","6","8304","83","82","0","0","31","2","8303","1"
"8401","0","8405","8402","10014","0","1","8404","84","82","0","0","31","5","8403","1"
"8501","0","8505","8502","10021","0","2","8504","85","82","0","0","31","8","8503","1"
"8601","0","8605","8602","10053","0","5","8604","86","83","0","0","32","2","8603","1"
"8701","0","8705","8702","10011","0","1","8704","87","84","0","0","32","5","8703","1"
"8801","0","8805","8802","10072","0","7","8804","88","85","0","0","32","8","8803","1"
"8901","0","8905","8902","10045","0","4","8904","89","86","0","0","33","2","8903","1"
"9001","0","9005","9002","10042","0","4","9004","90","87","0","0","33","5","9003","1"
"9101","0","9105","9102","10053","0","5","9104","91","88","0","0","33","8","9103","1"
"9201","0","9205","9202","10064","0","6","9204","92","89","0","0","34","2","9203","1"
"9301","0","9305","9302","10035","0","3","9304","93","90","0","0","34","5","9303","1"
"9401","0","9405","9402","10051","0","5","9404","94","91","0","0","34","8","9403","1"
"9501","0","9505","9502","10033","0","3","9504","95","92","0","0","35","2","9503","1"
"9601","0","9605","9602","10044","0","4","9604","96","93","0","0","35","5","9603","1"
"9701","0","9705","9702","10075","0","7","9704","97","94","0","0","35","8","9703","1"
"9801","0","9805","9802","10032","0","3","9804","98","95","0","0","36","2","9803","1"
"9901","0","9905","9902","10023","0","2","9904","99","96","0","0","36","5","9903","1"
"10001","0","10005","10002","10024","0","2","10004","100","97","0","0","36","8","10003","1"
"10101","0","10105","10102","10051","0","5","10104","101","98","0","0","37","2","10103","1"
"10201","0","10205","10202","10012","0","1","10204","102","99","0","0","37","5","10203","1"
"10301","0","10305","10302","10035","0","3","10304","103","100","0","0","37","8","10303","1"
"10401","0","10405","10402","10063","0","6","10404","104","101","0","0","38","2","10403","1"
"10501","0","10505","10502","10055","0","5","10504","105","102","0","0","38","5","10503","1"
"10601","0","10605","10602","10071","0","7","10604","106","103","0","0","38","8","10603","1"
"10701","0","10705","10702","10052","0","5","10704","107","104","0","0","39","2","10703","1"
"10801","0","10805","10802","10043","0","4","10804","108","105","0","0","39","5","10803","1"
"10901","0","10905","10902","10025","0","2","10904","109","106","0","0","39","8","10903","1"
"11001","0","11005","11002","10076","0","7","11004","110","107","108","109","40","5","11003","1"
"11101","0","11105","11102","10062","0","6","11104","111","0","0","0","1","2","11103","2"
"11201","0","11205","11202","10024","0","2","11204","112","0","0","0","1","5","11203","2"
"11301","0","11305","11302","10045","0","4","11304","113","0","0","0","1","8","11303","2"
"11401","0","11405","11402","10022","0","2","11404","114","111","0","0","2","2","11403","2"
"11501","0","11505","11502","10043","0","4","11504","115","112","0","0","2","5","11503","2"
"11601","0","11605","11602","10074","0","7","11604","116","113","0","0","2","8","11603","2"
"11701","0","11705","11702","10012","0","1","11704","117","114","0","0","3","2","11703","2"
