814cb3dc2a4e53969d8462afcdc024012043e2f92a9b816b40ccd82165600b3d,e1ee374dcdc9471e6072eac9867d08fe98a16da9da09c8b3499d99cb5ece53d8,a7789fc6efea6c3e59851fa49ff8561f18e5a960a1d5143871ed76a1d25d3695,a8d60f260523cc4a21444df44194fa85e091b5c4217effac606fef19e024ca2c,488f9e452af5cd84e564cb8d65bd698baee829f5fa6c6b97d1ffadedf83ce882,04f4fe809109cb5413b15edfedc1150cca62a0e87c6bcd9a55ba50c7a62c34aa,3b3a4cf9b1398fd3c9c26003edf57940a7980166f86ab46ac32d00356c6355be
"0.8","0","100721","-10","300900","31001","0.8"
"0.7","0","100722","-40","302300","31002","0.7"
"0.8","0","100261","-40","302400","31003","0.8"
"0.9","0","100283","-20","302500","31004","0.9"
"0.9","0","101611","-10","301700","31005","0.9"
"0.7","0","102174","-40","310100","31006","0.7"
"0.3","-80","102751","-60","399800","31007","0.3"
"0.9","-20","103001","20","314901","31008","0.9"
"0.7","30","103232","-110","318405","31009","0.7"
"1","0","103371","-10","320100","31010","1"
