ee23bac5e06770a8507242329e9750cd7236504a2da8f32171a0b51ae95bcd56,79d4f04f3dafc5bf59b9a48aea6e55681e75ac170ef912855b95464aea1f883d,37c5ab60c8da8e7d7b3ab1c4b6b901342c193b89b5e1503519dccd5125d7e0d6,c8dd35f9639f1d498a1b7b6ee0500757b3d7fa3fc8469ab99dfc4f55afdb9d07,1c08794c386e887b1784b323f9c1886363f11a938aad7b5cd99b94a03a9da1cb,b091d2efb05407fcccf2575e27321b33ee9373116a48d2531070ce351fca7958,0372c42f3527c53bc2e57695225d38e39a009463f6c65b2573d139c131f64cac,491a6465637771ab82c3801020a69e6b7d293ea4d448dd3a7429ec8c57f4e393,679cf81ad567f86e9bbef5ed0b9840286bdd24d9884dc86ca417685352a1fe2f,07bc9d4c19e39be8df4c9f30fbe67e0903f906e495655091806d2498da39f56f,74da89f737e1b779fc43318da788e053da6975ea542336520732b8418ebc022d
"psy_miyako_idle","100","-200","1","1.7","0","1","1","1001","119931","-220"
"psy_idle_normal","100","1000","1","1.7","1","1","5","1002","1","-220"
"psy_fairy_idle","105","-50","1","1.7","0","1","5","1003","2","-220"
"","0","0","1","1","","1","31","1004","11","1"
"","1","","1","0.2","","1","3","1005","psy_item00_run",""
"","-220","2.5","1","","","1","2","1006","285","0"
"","","","2.5","","","1","93","1007","",""
"","1","","1","0.2","","1","3","1008","psy_item00_idle",""
"","","","0.5","","","1","93","1009","",""
"","1","","119931","0.2","","1","3","1010","psy_miyako_talk1",""
"","0","0","vo_minigame_1008","","","1","21","1011","vo_minigame_1008_drama_0101",""
"0.5","5","1","119931","0","0","1","11","1012","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","0"
"","","","6","","","1","93","1013","1",""
"","0","psy_miyako_doya_loop","119931","0.2","0.2","1","3","1014","psy_miyako_doya_in","1"
"","","","1012","","","1","91","1015","",""
"","","","0","","","1","22","1016","0",""
"","1","","2","0.2","","1","3","1017","psy_fairy_talk",""
"","0","0","vo_minigame_1008","","","1","21","1018","vo_minigame_1008_drama_9901",""
"0.5","3","1","2","0","0","1","11","1019","啾啾！","0"
"","","","0","","","1","91","1020","",""
"","1","","2","0.2","","1","3","1021","psy_fairy_idle",""
"","1","","119931","0.2","","1","3","1022","psy_miyako_talk2",""
"","0","0","vo_minigame_1008","","","1","21","1023","vo_minigame_1008_drama_0102",""
"0.5","3","1","119931","0","0","1","11","1024","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","0"
"","","","2","","","1","93","1025","1",""
"","1","","119931","0.2","","1","3","1026","psy_miyako_talk_joy2",""
"","","","1024","","","1","91","1027","",""
"","","","0","","","1","22","1028","0",""
"","1","","119931","0.2","","1","3","1029","psy_miyako_idle",""
"","","","2","","","1","4","1030","1",""
"","0","psy_fairy_run","2","0.2","0","1","3","1031","psy_fairy_run_in","1"
"","","","1.3","","","1","93","1032","",""
"","-220","1","2","","","1","2","1033","1000","0"
"","","","2","","","1","93","1034","",""
"","0","psy_miyako_doya_loop","119931","0.2","0.2","1","3","1035","psy_miyako_doya_in","1"
"","0","0","vo_minigame_1008","","","1","21","1036","vo_minigame_1008_drama_0103",""
"0.5","4","1","119931","0","0","1","11","1037","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","0"
"","","","0","","","1","91","1038","",""
"","","","0","","","1","22","1039","0",""
"0","1","0","1","0","0","1","12","1040","11","0"
"","0","psy_item00_idle_guts","1","0.2","0.2","1","3","1041","psy_item00_talk_guts","1"
"","","","2","","","1","93","1042","",""
"","1","","119931","0.2","","1","3","1043","psy_miyako_talk_joy2",""
"","0","0","vo_minigame_1008","","","1","21","1044","vo_minigame_1008_drama_0104",""
"0.5","4","1","119931","0","0","1","11","1045","把所有人都\n變成好吃的布丁喲～♪","0"
"","","","4","","","1","93","1046","1",""
"","0","psy_miyako_fight_loop","119931","0.2","0.2","1","3","1047","psy_miyako_fight_in","1"
"","0","psy_item00_handsup_loop","1","0.2","0.2","1","3","1048","psy_item00_handsup","1"
"","","","1.5","","","1","93","1049","",""
"","","","1045","","","1","91","1050","",""
"","","","0","","","1","22","1051","0",""
"psy_miyako_start","100","-300","1","1.7","0","2","1","2001","119931","-200"
"psy_walk","100","300","1","1.7","1","2","1","2002","106011","-220"
"","0","0","1","1","","2","31","2003","11","1"
"psy_smoke_start","101","-300","1","1.7","0","2","5","2004","1","-200"
"","-220","2","106011","","","2","2","2005","185","0"
"","","","2","","","2","93","2006","",""
"","0","psy_kyaru_talk_arm_crossed_loop","106011","0.2","0","2","3","2007","psy_kyaru_talk_arm_crossed","1"
"","0","0","vo_minigame_1008","","","2","21","2008","vo_minigame_1008_drama_0305",""
"0.5","5","1","106011","0","0","2","11","2009","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","0"
"","","","0","","","2","91","2010","",""
"","0","0","vo_minigame_1008","","","2","21","2011","vo_minigame_1008_drama_0306",""
"","1","","106011","0.2","","2","3","2012","psy_talk_sad",""
