154da463c1149a979f4efc6dd8c39993cd85ed53538f4d11ff7d7db7be2abf82,1b0003964b3cfed06fe3c61688fb9e397bfe8ef4a6881a986cab1d5ed7d82d2c,078a68ef0936818d7ceb43999eb1204d4a4a4353eda92cad61732170f40d2bf0,9a9952ca25d08d7828b0dae2384c09156f2cb7813b911f265db0da28e5f58547,eb6c6f3de20366e64f2bb95ba361b8342f63eedfe9e87d63dbe96fefecb49090,8029c84f4176aa9bc503aade941717377e62ccf5938c97004a55c3c38eb9eef3
"610010501","1","0","10010","0","100"
"610010502","1","0","10010","0","250"
"610010503","1","0","10010","0","450"
"610010601","2","4","10010","6","440"
"610010602","2","3","10010","3","300"
"610010603","2","2","10010","1","140"
"610010605","2","1","10010","1","20"
"610012501","1","0","10012","0","80"
"610012502","1","0","10012","0","180"
"610012503","1","0","10012","0","280"
"610012504","1","0","10012","0","380"
"610013501","1","0","10013","0","-500"
"610013502","1","0","10013","0","-400"
"610013503","1","0","10013","0","-300"
"610015501","1","0","10015","0","0"
"610015502","1","0","10015","0","10"
"610015503","1","0","10015","0","20"
"610017501","1","0","10017","0","-180"
"610017502","1","0","10017","0","-80"
"610021501","2","1","10021","1","20"
"610021502","2","2","10021","1","140"
"610021503","2","3","10021","1","300"
"610025501","1","0","10025","0","-120"
"610025502","1","0","10025","0","-10"
"610025503","1","0","10025","0","30"
"610027502","1","0","10027","0","-220"
"610027503","1","0","10027","0","10"
"610027504","1","0","10027","0","800"
"610027505","1","0","10027","0","100"
"610029501","1","0","10029","0","-120"
"610029502","1","0","10029","0","-10"
"610029503","1","0","10029","0","30"
"610031501","1","0","10031","0","-120"
"610031502","1","0","10031","0","-40"
"610031503","1","0","10031","0","10"
"610031504","1","0","10031","0","50"
"610033501","1","0","10033","0","-120"
"610033502","1","0","10033","0","-10"
"610033503","1","0","10033","0","30"
"610033504","1","0","10033","0","-80"
"610035501","1","0","10035","0","10"
"610035502","1","0","10035","0","-120"
"610035503","1","0","10035","0","90"
"610035601","1","0","10035","0","-220"
"610035602","1","0","10035","0","10"
"610035603","1","0","10035","0","100"
"610035604","1","0","10035","0","800"
"610037501","1","0","10037","0","80"
"610037502","1","0","10037","0","180"
"610037503","1","0","10037","0","280"
"610037504","1","0","10037","0","380"
"610038501","1","0","10038","0","-120"
"610038502","1","0","10038","0","-40"
"610038503","1","0","10038","0","10"
"610038504","1","0","10038","0","50"
"610039501","1","0","10039","0","-500"
"610039502","1","0","10039","0","-400"
"610039503","1","0","10039","0","-300"
"610040501","1","0","10040","0","-205"
"610040502","1","0","10040","0","122"
"610040503","1","0","10040","0","25"
"610040504","1","0","10040","0","295"
"610041501","1","0","10041","0","0"
"610041502","1","0","10041","0","10"
"610041503","1","0","10041","0","20"
"610042501","2","0","10042","0","-120"
"610042502","2","0","10042","0","-40"
"610042503","2","0","10042","0","10"
"610045501","2","1","10045","1","20"
"610045502","2","2","10045","1","140"
"610045503","2","3","10045","1","300"
"610046404","1","0","10046","0","-275"
"610046405","1","0","10046","0","-45"
"610046406","1","0","10046","0","115"
"610046407","1","0","10046","0","175"
"610048601","2","0","10048","0","-150"
"610048602","2","0","10048","0","-145"
"610049501","1","0","10049","0","-120"
"610049502","1","0","10049","0","-10"
"610049503","1","0","10049","0","30"
"610050404","1","1","10050","1","20"
"610050405","1","2","10050","1","140"
"610050406","1","3","10050","1","300"
"610051502","1","0","10051","0","-220"
"610051503","1","0","10051","0","10"
"610051505","1","0","10051","0","100"
"610052401","1","1","10052","0","20"
"610052402","1","2","10052","0","140"
"610052403","1","3","10052","0","300"
"610053501","1","0","10053","0","-180"
"610053502","1","0","10053","0","-80"
"610054501","2","0","10054","0","-180"
"610054502","2","0","10054","0","20"
"610054503","2","0","10054","0","150"
"610055501","1","0","10055","0","-120"
"610055502","1","0","10055","0","-10"
"610055503","1","0","10055","0","30"
"610057501","1","0","10057","0","-120"
"610057502","1","0","10057","0","-40"
"610057503","1","0","10057","0","10"
"610057504","1","0","10057","0","50"
"610058501","1","1","10058","1","20"
"610058502","1","2","10058","1","140"
"610058503","1","3","10058","1","300"
"610058601","1","0","10058","0","200"
"610058602","1","0","10058","0","-200"
"610059501","2","0","10059","0","40"
"610059502","2","0","10059","0","-15"
"610059503","2","0","10059","0","-90"
"610059504","2","0","10059","0","200"
"610060501","1","0","10060","0","-120"
"610060502","1","0","10060","0","-10"
"610060503","1","0","10060","0","30"
"610060504","1","0","10060","0","-80"
"610061501","1","0","10061","0","-200"
"610061502","1","0","10061","0","-80"
"610061503","1","0","10061","0","100"
"610062501","1","0","10062","0","10"
"610062502","1","0","10062","0","-120"
"610062503","1","0","10062","0","90"
"610062601","1","0","10062","0","-220"
"610062603","1","0","10062","0","100"
"610062604","1","0","10062","0","150"
"610065501","1","0","10065","0","-120"
"610065502","1","0","10065","0","-40"
"610065503","1","0","10065","0","10"
"610065504","1","0","10065","0","50"
"610066501","2","0","10066","0","-220"
"610066502","2","0","10066","0","60"
"610066503","2","0","10066","0","89"
"610067501","1","0","10067","0","-205"
"610067502","1","0","10067","0","122"
"610067503","1","0","10067","0","25"
"610067504","1","0","10067","0","295"
"610068501","2","0","10068","0","-180"
"610068502","2","0","10068","0","20"
"610068503","2","0","10068","0","150"
"610069501","2","0","10069","0","-170"
"610069502","2","0","10069","0","-80"
"610069503","2","0","10069","0","120"
"610070506","2","0","10070","0","350"
"610070507","2","0","10070","0","250"
"610070640","1","0","10070","0","250"
"610070641","1","0","10070","0","350"
"610070642","1","0","10070","0","700"
"610070643","1","0","10070","0","800"
"610072501","1","1","10072","1","20"
"610072502","1","2","10072","1","140"
