555e32f44492f96107a0a41e4ffb054ebb9047a4a6758cc1bc898c5ca25464aa,35ca0fb0e5ffe8c97da452e1d15e7e65f03ef217d99b7e30f676190aa2b81f25,9c6e068fb965c0525a4059d0078dededaf0dbe4ac06b1e719a6ead7dac3e16eb,c2946976c2bc0bbdbf6f0e159c0840cd661b1c91d4a3d10ed1403c32a2606816,e5abd833636420e7df5d2a80ccd95395601c9e9ebea299675ccf8b4e442254a8,48a6660409aacfb60a28bc4c3d104fad975df3c1f429d282a55ca68b769bc084,b44420f3e527aa0d9d011ebcd1ff5273afd06cc354ef93ec822aa8be95cd62b1,10ca67cc556d5fae9538bf95b24704f6a0b7ea3965b8ac8631c8b640be7e303a
"5023000","1","2030/01/01 01:00:00","1","2020/12/18 05:00:00","為什麼會發\n生這種事？","0","0"
"5023001","2","2030/01/01 01:00:00","2","2020/12/18 05:00:00","竟然說不出\n日安這句話","0","0"
"5023002","3","2030/01/01 01:00:00","3","2020/12/18 05:00:00","搞砸了！","0","0"
"5023002","4","2030/01/01 01:00:00","4","2020/12/19 05:00:00","優妮是\n這樣的人","0","0"
"5023002","5","2030/01/01 01:00:00","5","2020/12/19 05:00:00","克蘿依是\n這樣的人","0","0"
"5023002","6","2030/01/01 01:00:00","6","2020/12/19 05:00:00","琪愛兒是\n這樣的人","0","0"
"5023003","7","2030/01/01 01:00:00","7","2020/12/20 05:00:00","知性的\n優妮","0","0"
"5023003","8","2030/01/01 01:00:00","8","2020/12/20 05:00:00","溫柔的\n克蘿依","0","0"
"5023003","9","2030/01/01 01:00:00","9","2020/12/20 05:00:00","令人崇拜的\n琪愛兒","0","0"
"5023003","10","2030/01/01 01:00:00","10","2020/12/21 05:00:00","特別講座的\n練習","0","0"
"5023004","11","2030/01/01 01:00:00","11","2020/12/21 05:00:00","終於來了\n特別講座","0","0"
"5023005","12","2030/01/01 01:00:00","12","2020/12/21 05:00:00","真不愧是BB團的團長！","0","0"
"5023006","13","2030/01/01 01:00:00","13","2020/12/21 05:00:00","曼德拉草\n造成大混亂","0","0"
"5023007","14","2030/01/01 01:00:00","14","2020/12/25 16:00:00","最終日","0","0"
"5023000","15","2030/01/01 01:00:00","0","2020/12/25 16:00:00","","1","0"
"5023000","16","2030/01/01 01:00:00","0","2020/12/25 16:00:00","","1","0"
"5023000","17","2030/01/01 01:00:00","0","2020/12/25 16:00:00","","1","0"
