69b766ec2a9ef09226725314ddbb5af6d518d736d087b6c35aa4bd99a8e898b5,cdc9446587f70065ee05c6c5edbb8bb4a6ef14cf8c233e80bd2e796d100a4bb9,61663f3a1bdc52ffcdfdf9cff1ace2ee6ed3d08a7ce212848ef65cef6e305a8e,98db879795f82b9a010455c37c07d1f344b3c34f806d6c9e084bd6065a9875e2,af9030988d52cbec4f96552755558fa09f16c7609218e2ec3b95357e25b676bc,6ee05798400f63f56af54143f95d9adb4011c13fc597a9c336baec707901ac92,bec1ec6fe763a42ba9401399baa7b2ab807f0d1fedab0adb269c50437102bd82,bd85e5d3c15db16e4ba8b9ff99a8a917f67be5e6e99872a07a9c2ff671778134,1b924a285cc32f630b2389c63623f0d7fd2467b3ed18f1788e98ffac38852689,1c5206577c6056412d86482b14177016950dd4963325b33b7084e7864db0abb2,be60ed278755951f0cfdbc6e85fdc97d3cf16422c8c8bc1035e9f97801091aa7
"-100","2","1","<weapon>_idle","1000001","110010001","-250","1.3","0","1001","55"
"0","100","31","","100","110010002","1","1","","1001","0"
"0","101","31","","101","110010003","1","0","","1001","0"
"0","4","31","","4","110010004","1","1","","1001","0"
"0","5","31","","5","110010005","1","1","","1001","94.5"
"","0","91","","0","110010006","","","","1001",""
"","0.4","93","","0","110010007","","","","1001",""
"","1000001","3","","<weapon>_joy_short","110010008","","0.2","","1001","0"
"","1.3","93","","0","110010009","","","","1001",""
"","1000001","3","","<weapon>_run","110010010","","0","","1001","1"
"1","1000001","2","","800","110010011","0","","","1001","-250"
"","0.7","93","","0","110010012","","","","1001",""
"","101","32","","1","110010013","","","","1001",""
"","0.7","93","","0","110010014","","","","1001",""
"-640","2","1","<weapon>_run","1000001","111010001","-250","1.3","0","1101","55"
"0","100","31","","100","111010002","1","1","","1101","0"
"0","101","31","","101","111010003","1","0","","1101","0"
"0","4","31","","4","111010004","1","1","","1101","0"
"","4","35","","0","111010005","","","","1101",""
"0","5","31","","5","111010006","1","1","","1101","0"
"0","10","31","","10","111010007","1","1","","1101","0"
"","0","91","","","111010008","","","","1101",""
"","100","35","","1","111010009","","","","1101",""
"2.1","1000001","2","","640","111010010","0","","","1101","-250"
"","1.7","93","","0","111010011","","","","1101",""
"","101","32","","1","111010012","","","","1101",""
"","0.7","93","","0","111010013","","","","1101",""
"0","1","1","look_loop","1000001","120010001","-240","1.3","0","2001","55"
"0","1","31","","1","120010002","1","0","0","2001","0"
"","1","35","","0","120010003","","","","2001",""
"","1","32","","1","120010004","","","","2001",""
"0","2","31","","2","120010005","1","1","0","2001","345.4"
"","2","35","","0","120010006","","","","2001",""
"0","3","31","","3","120010007","1","0","0","2001","345.4"
"","3","35","","0","120010008","","","","2001",""
"","3","32","","1","120010009","","","","2001",""
"0","31000001","31","","31000001","120010010","1","1","","2001","-345.4"
"0","31000002","31","","31000002","120010011","1","1","","2001","345.4"
"0","100","31","","100","120010012","1","1","","2001","0"
"0","101","31","","101","120010013","1","0","","2001","0"
"","0","91","","","120010014","","","","2001",""
"","100","35","","1","120010015","","","","2001",""
"look_loop","1000001","3","","look_in","120010016","1","0","0","2001","0"
"","1.3","93","","0","120010017","","","","2001",""
"0","12","31","","998","121010001","1","0","","2101","0"
"0","14","31","","997","121010002","1","0","","2101","0"
"0","16","31","","996","121010003","1","0","","2101","0"
"","31000001","32","","0","121010004","","","","2101",""
"","31000002","32","","0","121010005","","","","2101",""
"1","0","121","","0","121010006","0","0","","2101","-1"
"","1","35","","1","121010007","","","","2101",""
"","3","35","","1","121010008","","","","2101",""
"","1000001","3","","pointing","121010009","","0","","2101","0"
"","1","93","","0","121010010","","","","2101",""
"1.47","505","121","","100","121010011","2","0","","2101","-1.47"
"","1000001","3","","run_talk1","121010012","","0.2","","2101","1"
"1","1000001","2","","100","121010013","0","","","2101","-240"
"","se_travel","23","","se_travel_treasure_cha_run","121010014","","","","2101","0"
"","1","93","","0","121010015","","","","2101",""
"0","11","31","","998","122010001","1","0","","2201","0"
"0","13","31","","997","122010002","1","0","","2201","0"
"0","15","31","","996","122010003","1","0","","2201","0"
"","31000001","32","","0","122010004","","","","2201",""
"","31000002","32","","0","122010005","","","","2201",""
"","1","35","","1","122010006","","","","2201",""
"","3","35","","1","122010007","","","","2201",""
"","1000001","3","","pointing","122010008","","0","","2201","0"
"","1","93","","0","122010009","","","","2201",""
"1.47","-505","121","","100","122010010","2","0","","2201","1.47"
"","1000001","3","","run_talk1","122010011","","0.2","","2201","1"
"1","1000001","2","","100","122010012","0","","","2201","-240"
"","se_travel","23","","se_travel_treasure_cha_run","122010013","","","","2201","0"
"","1","93","","0","122010014","","","","2201",""
"0","300000","31","","300000","130000001","1","0","","3000","345.4"
"","0","91","","","130000002","","","","3000",""
"1.05","1.05","123","","1.05","130000003","7.4","0","","3000","1.05"
"","1000001","3","","wait","130000004","","0.2","","3000","0"
"","2","35","","1","130000005","","","","3000",""
"","4.9","93","","0","130000006","","","","3000",""
"0.95","0.95","123","","0.95","130000007","0.4","0","","3000","0.95"
"","300000","32","","1","130000008","","","","3000",""
"","0.1","93","","0","130000009","","","","3000",""
"","2","32","","0","130000010","","","","3000",""
"","0.1","93","","0","130000011","","","","3000",""
"","996","32","","1","130000012","","","","3000",""
"","1000001","3","","joy_from_wait","130000013","","0","","3000","0"
"","1.9","93","","0","130000014","","","","3000",""
"","1000001","3","","glad_from_joy","130000015","","0","","3000","0"
"","1.5","93","","0","130000016","","","","3000",""
"","1000001","3","","run_gatein","130000017","","0.2","","3000","1"
"","se_travel","23","","se_travel_treasure_cha_run","130000018","","","","3000",""
"1","1000001","2","","450","130000019","0","","","3000","-195"
"","0.5","93","","1","130000020","","","","3000",""
"1","1000001","6","","1","130000021","0","0.4","0","3000","1"
"","0.4","93","","0","130000022","","","","3000",""
"","1","113","","","130000023","","","","3000",""
"0","300100","31","","300100","130010001","1","0","","3001","345.4"
"0","990001","31","","990001","130010002","1","1","","3001","345.4"
"","0","91","","","130010003","","","","3001",""
"1.05","1.05","123","","1.05","130010004","7.4","0","","3001","1.05"
"","1000001","3","","wait","130010005","","0.2","","3001","0"
"","2","35","","1","130010006","","","","3001",""
"","5.4","93","","0","130010007","","","","3001",""
"0.95","0.95","123","","0.95","130010008","0.4","0","","3001","0.95"
"","1000001","3","","glad","130010009","","0.2","","3001","0"
"","300100","32","","1","130010010","","","","3001",""
"","996","32","","1","130010011","","","","3001",""
"","0.1","93","","0","130010012","","","","3001",""
"","2","32","","0","130010013","","","","3001",""
"","3","32","","0","130010014","","","","3001",""
"","1.5","93","","0","130010015","","","","3001",""
"","1000001","3","","joy","130010016","","0.2","","3001","0"
"","1.7","93","","0","130010017","","","","3001",""
"","1000001","3","","run_gatein","130010018","","0","","3001","1"
"1","1000001","2","","450","130010019","0","","","3001","-195"
"","0.5","93","","1","130010020","","","","3001",""
"1","1000001","6","","1","130010021","0","0.4","0","3001","1"
"","0.4","93","","0","130010022","","","","3001",""
"","1","113","","","130010023","","","","3001",""
"0","300100","31","","300100","130020001","1","0","","3002","345.4"
"0","990002","31","","990002","130020002","1","1","","3002","345.4"
"","0","91","","","130020003","","","","3002",""
"1.05","1.05","123","","1.05","130020004","7.4","0","","3002","1.05"
"","1000001","3","","wait","130020005","","0.2","","3002","0"
"","2","35","","1","130020006","","","","3002",""
"","5.4","93","","0","130020007","","","","3002",""
"0.95","0.95","123","","0.95","130020008","0.4","0","","3002","0.95"
"","1000001","3","","glad","130020009","","0.2","","3002","0"
"","300100","32","","1","130020010","","","","3002",""
"","996","32","","1","130020011","","","","3002",""
"","0.1","93","","0","130020012","","","","3002",""
"","2","32","","0","130020013","","","","3002",""
"","3","32","","0","130020014","","","","3002",""
"","1.5","93","","0","130020015","","","","3002",""
"","1000001","3","","joy","130020016","","0.2","","3002","0"
"","1.7","93","","0","130020017","","","","3002",""
"","1000001","3","","run_gatein","130020018","","0","","3002","1"
"1","1000001","2","","450","130020019","0","","","3002","-195"
"","0.5","93","","1","130020020","","","","3002",""
"1","1000001","6","","1","130020021","0","0.4","0","3002","1"
"","0.4","93","","0","130020022","","","","3002",""
"","1","113","","","130020023","","","","3002",""
"0","6","31","","6","130110001","1","0","","3011","345.4"
"0","8","31","","8","130110002","1","0","","3011","345.4"
"0","301100","31","","301100","130110003","1","0","","3011","345.4"
"","0","91","","","130110004","","","","3011",""
"1.05","1.05","123","","1.05","130110005","7.4","0","","3011","1.05"
"","1000001","3","","wait","130110006","","0.2","","3011","0"
"","2","35","","1","130110007","","","","3011",""
"","4.9","93","","0","130110008","","","","3011",""
"0.95","0.95","123","","0.95","130110009","0.3","0","","3011","0.95"
"","se_travel","23","","se_travel_treasure_ghost_success","130110010","","","","3011","0"
"","8","32","","1","130110011","","","","3011",""
"","8","35","","0","130110012","","","","3011",""
"","6","32","","1","130110013","","","","3011",""
"","0.1","93","","0","130110014","","","","3011",""
"","2","32","","0","130110015","","","","3011",""
"","3","32","","0","130110016","","","","3011",""
"","1000001","3","","dotEyes","130110017","","","","3011","0"
"","0.87","93","","0","130110018","","","","3011",""
"","1000001","3","","glad","130110019","","0.2","","3011","0"
"","301100","32","","1","130110020","","","","3011",""
"","8","35","","1","130110021","","","","3011",""
"","0.6","93","","0","130110022","","","","3011",""
"","996","32","","1","130110023","","","","3011",""
"","0.5","93","","0","130110024","","","","3011",""
"","1000001","3","","joy","130110025","","","","3011","0"
"","1.67","93","","0","130110026","","","","3011",""
"","1000001","3","","run_gatein","130110027","","0","","3011","1"
"1","1000001","2","","450","130110028","0","","","3011","-195"
"","0.5","93","","1","130110029","","","","3011",""
"1","1000001","6","","1","130110030","0","0.4","0","3011","1"
"","0.4","93","","0","130110031","","","","3011",""
"","1","113","","","130110032","","","","3011",""
"","1000001","3","","idle","130120001","","0.2","","3012","1"
"0","301200","31","","13","130120002","1","0","","3012","0"
