1857ae2d8a805e22023ba61eb61d05bd7b047f90ab9278378d98a222df57dc0d,06ec31ff6a969d42d0c39dfb5c56fb894cde7fa2684e697ebe97f146d68fea78,08b666f7e2badb8075a3ee7f0081987f347fd98e73919fab72ad1b80c6a9dd45,dc525f580bc014c088c7adf35f11b0da83b70257778f98b7cdbcd53d3c395821,c632fb56f0e021c29ab5922cd9e62a614bdacc9d583de4ec4ab0c6920ef98cc1,ef49f0e83958694c9039e8013e0b5387c2a5bc53d33c63b972566298750ed720,b91257256bb7585220aa69ced3f6663da38c185510f0278137f56cf5fdc5bd8a,1fa42b80499f73d18d5a6bcef654a883886ce65c8ecabd6807e01792ff41c31e,f62e8d25f88ceb378c61adeb2f35991d55aa52d17a7dd147b1eb4153ea03a0e7
"1","2","6","2","3","100101","3","1","2"
"3","1","5","1","2","100201","3","2","1"
"1","2","7","3","3","100301","2","3","1"
"1","2","13","2","3","100401","2","3","2"
"2","3","18","2","1","100501","3","2","2"
"1","3","25","2","2","100601","3","2","1"
"3","1","26","3","2","100701","3","2","2"
"3","1","40","3","1","100801","2","3","2"
"1","3","34","3","3","100901","2","2","1"
"3","1","8","1","2","101001","3","2","1"
"2","1","56","2","2","101101","3","2","3"
"1","2","43","2","3","101201","1","2","3"
"1","3","33","2","1","101301","3","3","1"
"3","2","11","1","1","101401","2","2","1"
"3","1","42","1","2","101501","2","3","1"
"2","1","46","2","1","101601","3","3","3"
"1","2","10","2","1","101701","3","2","3"
"3","2","45","1","1","101801","2","3","1"
"2","2","12","1","3","102001","3","1","2"
"1","2","30","1","2","102101","3","3","1"
"1","2","24","1","2","102201","1","3","3"
"1","3","31","2","3","102301","3","1","2"
"3","1","29","1","1","102501","2","2","3"
"3","1","51","1","2","102601","3","1","2"
"2","1","36","3","3","102701","1","3","2"
"2","1","28","1","1","102801","2","3","2"
"2","1","52","1","2","102901","3","2","2"
"2","2","39","2","1","103001","3","3","1"
"3","1","27","3","3","103101","2","1","2"
"3","1","19","2","3","103201","1","2","2"
"2","2","48","2","3","103301","3","1","1"
"2","3","20","1","2","103401","1","2","2"
"3","3","14","3","1","103601","1","2","2"
"1","3","17","3","1","103701","2","3","2"
"3","3","49","3","2","103801","2","1","1"
"2","3","44","1","2","104001","1","1","3"
"3","2","53","3","1","104201","2","2","2"
"1","1","9","3","3","104301","2","2","3"
"3","2","23","3","3","104401","2","1","1"
"2","3","38","1","2","104501","2","2","1"
"3","1","21","2","2","104601","2","1","3"
"1","3","15","3","1","104701","2","2","3"
"1","2","22","3","2","104801","1","3","3"
"2","1","55","1","3","104901","2","2","2"
"2","2","47","1","1","105001","3","2","3"
"3","2","35","3","1","105101","1","1","3"
"2","1","50","2","2","105201","3","2","2"
"1","1","37","3","3","105301","2","3","2"
"2","1","54","2","2","105401","3","1","3"
"2","3","41","1","3","105501","2","1","1"
"1","1","32","3","2","105601","3","2","3"
"1","2","67","1","2","105701","3","2","2"
"2","1","1","2","2","105801","3","2","2"
"3","2","2","1","2","105901","2","2","1"
"2","3","3","3","1","106001","2","1","3"
"1","2","58","2","3","106101","3","2","2"
"1","2","68","1","3","106301","3","1","2"
"1","3","4","1","2","106401","3","2","2"
"1","3","61","3","1","106501","3","2","2"
"3","3","62","2","1","106601","3","1","2"
"2","2","60","3","1","106701","2","2","1"
"1","3","57","1","1","106801","1","2","2"
"3","2","59","3","2","107001","1","1","1"
"1","2","16","3","2","107101","1","3","2"
"2","2","70","1","2","109201","2","2","1"
"2","1","72","2","2","109301","3","2","3"
"1","2","71","3","1","109401","2","3","3"
"1","2","64","1","2","110801","2","2","3"
"2","1","65","2","1","110901","2","3","2"
"3","2","63","3","1","111001","3","1","1"
"2","3","69","2","2","111401","2","1","3"
"3","2","66","2","1","118001","1","2","3"
