dc4e3c150452568bbca78cb012b39ff4d2b1c4db7758dae0d7d4a642cadd82f2,b9f1e8bd125422ebb040ab48b008a26d5edc61d56a71a1189586e65308267916,efd87de192a987896f3055a2aa2bccb6706aa38bc07f9d55d9e7bb8b4bfcf7bf,864da61fd96b279a1872cac75ffd7fcbdd86b2440a6bedd4eb1070afbaba7726,7c63e6594d9c73c04599237420823e1c6f7c96849707394691ef883374c4582e,5b37714ab660b6badc6c0423d55d555ce4701847205a322e868666d4ab40720e,8d6f713ae4dc7caa372e917bb72b218659185793a94917b8aaedbc1fc8de6e72,3292aee7f2c48fcd7672f7f75265469954d75d609786e79388e014ec7a5b3129,b74fce9fe0d6c79403cabefb3aed8c1c01ad4a948af9a5fce9354a27bf7bc657,bfe00d3445bd3dd72d47d7ff77339f8083e7b74795e5ff7d1c829d10627c7717,e95367bd395309f6de15ea2260271dac65994637d9ba783591c821ed54c281db,9db2697949d0775fc1f0a2c1e6c55b0bbeb4046b559f62938d3f134ac867ef19,ebb2794497b05c1daacc60e95dadb74455d3b9179b4f878b1a43587eb445462b,3a2ecdcc700ccd09e9f10756da97bf4cf654e6bc92eedd52f04b3ac1d1a05aef
"2018/09/19 15:59:59","0","0","1","6008","61001001","101","挑戰席茲1次（NORMAL、HARD共通）","61001001","9012","10001","2018/08/28 16:00:00","0","601"
"2018/09/19 15:59:59","0","0","10","6004","61001002","102","完成10次活動冒險","61001002","9004","10001","2018/08/28 16:00:00","0","601"
"2018/10/28 15:59:59","0","0","1","6008","61002001","101","挑戰阿爾瑪1次（NORMAL、HARD共通）","61002001","9012","10002","2018/10/03 16:00:00","0","601"
"2018/10/28 15:59:59","0","0","10","6004","61002002","102","完成10次活動冒險","61002002","9004","10002","2018/10/03 16:00:00","0","601"
"2018/11/25 15:59:59","0","0","1","6008","61003001","101","挑戰食屍巨狼1次（NORMAL、HARD共通） ","61003001","9012","10003","2018/11/01 15:59:59","0","601"
"2018/11/25 15:59:59","0","0","10","6004","61003002","102","完成10次活動冒險","61003002","9004","10003","2018/11/01 15:59:59","0","601"
"2018/12/24 15:59:59","0","0","1","6008","61004001","101","挑戰1次天塔帕斯（全難度共通）","61004001","9012","10004","2018/12/01 16:00:00","0","601"
"2018/12/24 15:59:59","0","0","10","6004","61004002","102","完成10次活動冒險","61004002","9004","10004","2018/12/01 16:00:00","0","601"
"2019/01/25 15:59:59","0","0","1","6008","61005001","101","挑戰1次島鯨（全難度共通）","61005001","9012","10005","2019/01/03 16:00:00","0","601"
"2019/01/25 15:59:59","0","0","10","6004","61005002","102","完成10次活動冒險","61005002","9004","10005","2019/01/03 16:00:00","0","601"
