9697fceb642cc5c6b585f117192b62507f5fb36fe657305802b11f1f47d847ff,6614eb515d5ef2918748051c0b125fcd0e3233dcf0a6e2b465d4fd64218506df,33dfbe0d3eeadc166c00fd73fd3cc2cd6d66ad444be9f67aaa9f131c03156ac7,8ef20690641b94f043224c19f8244237d09fea76ec00709e3eefce80b631384d,5cdeba8a828a08133f2b27766a5ba1528aaea29471aefb69aab7a48bc39523fb,df3c7774a78e512d669a99f6f229a790f7519517ede948a0616822d9c423083e
"1","0","150","10","150","1"
"1","0","400","10","250","2"
"1","0","800","10","400","3"
"2","0","150","20","150","1"
"2","0","400","20","250","2"
"2","0","800","20","400","3"
"2","1","1300","20","500","4"
"3","0","800","30","800","1"
"3","0","1800","30","1000","2"
"3","0","3000","30","1200","3"
"3","1","4400","30","1400","4"
"3","2","6000","30","1600","5"
"4","0","800","40","800","1"
"4","0","1800","40","1000","2"
"4","0","3000","40","1200","3"
"4","1","4400","40","1400","4"
"4","2","6000","40","1600","5"
"5","0","0","0","0","0"
