3507e8cfc9ff78abbf153e1e0b956c10ff0963449999957ad29fbcf3c1fe0802,d9b8878448091eda82154a4386bd75168a2760ca091d9581f1d5fba8df5a4f81,c163c41ea824b6ab0096653b63747e6cd3888671121f9d332d4a6b6c05901b7f,e0fc2fb899ded1d7acd2f6dd09dfa62c61172005410c95b953566a172ea551d7,27e36bbd4bfd135310e716ef96575d34f162d160d79484700482b2dcb79814d7,3d913af2abd77e3257abdd097dd3b89f7b3fb49ec7e40bf017cb02aec42f71a1,8d84884e137b4fa8c06c7786d9b605f10629ceff085f09cbbe75e74cd674356f,b5df8dd0bcfe95e722a5bc443501b1c43f6e44bb4c9d6225a752aeaddfc0c9fa
"1005","TP提升250","0","0","1005","2","1005","戰鬥開始時，我方的TP提升250。"
"1006","TP提升250","0","0","1006","2","1006","戰鬥開始時，我方的TP提升250。"
"1007","TP提升250","0","0","1007","2","1007","戰鬥開始時，我方的TP提升250。"
"1008","TP提升250","0","0","1008","2","1008","戰鬥開始時，我方的TP提升250。"
"100501","降低物理攻擊90秒","7469000000000","36000","100501","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100502","降低物理攻擊90秒","7161000000000","36000","100502","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100503","降低物理防禦90秒","6930000000000","36000","100503","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100504","降低魔法防禦90秒","6699000000000","36000","100504","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100505","降低物理攻擊90秒","6468000000000","36000","100505","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100506","降低物理攻擊90秒","6160000000000","36000","100506","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100507","降低物理防禦90秒","5929000000000","36000","100507","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100508","降低魔法防禦90秒","5698000000000","36000","100508","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100509","降低物理攻擊90秒","5390000000000","36000","100509","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100510","降低物理攻擊90秒","5159000000000","36000","100510","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100511","降低物理攻擊90秒","4928000000000","36000","100511","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100512","降低物理攻擊90秒","4620000000000","36000","100512","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100513","降低物理防禦90秒","4389000000000","36000","100513","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100514","降低魔法防禦90秒","4158000000000","36000","100514","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100515","降低物理攻擊90秒","3927000000000","36000","100515","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100516","降低物理攻擊90秒","3619000000000","36000","100516","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100517","降低物理防禦90秒","3388000000000","36000","100517","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100518","降低魔法防禦90秒","3157000000000","36000","100518","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100519","降低物理攻擊90秒","2849000000000","36000","100519","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100520","降低物理攻擊90秒","2618000000000","36000","100520","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100521","降低物理攻擊90秒","2387000000000","36000","100521","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100522","降低物理攻擊90秒","2079000000000","36000","100522","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100523","降低物理防禦90秒","1848000000000","36000","100523","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100524","降低魔法防禦90秒","1617000000000","36000","100524","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100525","降低物理攻擊90秒","1386000000000","36000","100525","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100526","TP提升150","1078000000000","36000","100526","1","1005","戰鬥開始時，我方的TP提升150。"
"100527","無敵10秒","847000000000","36000","100527","1","1005","戰鬥開始10秒內，我方進入無敵狀態。"
"100528","降低物理攻擊90秒","616000000000","36000","100528","1","1005","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100529","降低物理防禦90秒","308000000000","36000","100529","1","1005","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100530","降低魔法防禦90秒","77000000000","36000","100530","1","1005","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100601","提升魔法攻擊90秒","12028000000000","36000","100601","1","1006","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
