2034e7cf254b320d6d25a5b532ab3cb650299872320c964d95bbe26a610e0893,29ead3e211d8b84b8cc37b9eece538e6cb2c6b568bb45efe846dd16cc032a4ed,6bc20996588df70acbe17722b5788439679a86c11b9bb8fae9fea6a6898dac60,916d01950197f62c251100ef31055edfd239f7408780d12629b5d7e8deaaa26b,91148102a10c2a291a1c4d30b9037c027ddedc53da477d54d6dbc7b7e21ad204
"8","91002","100","30109001","1"
"2","20002","10","30109001","2"
"8","91002","100","30109002","3"
"12","94002","40000","30109002","4"
"8","91002","300","30109003","5"
"8","91002","500","30109004","6"
"8","91002","500","30109005","7"
"12","94002","1000000","30109005","8"
"8","91002","500","30109006","9"
"12","94002","500000","30109006","10"
"8","91002","600","30110001","11"
"12","94002","200000","30110006","12"
