accd7c8d5b7c86e80ab3781b85ad19183ff2cb6b97965ab0d8c5dc8d4d73c59f,506da72a3d472188f2ba5ec17211ca92d5d4988b9e7da6f908f28d4c4c772031,894f4b3eda9fdf62bbca97658787f4cdb389d5f655a0d56463abe614574932ef,b39b9ce6b0ae756403a01a756bde266d9679179bc5526d850a6b1f6858f0d518,2fea1ddf2ca863186eca628715f10ddaa8943bcbafd91fa555ebe1bffc167696,bd73fe3d01cb6f2e4bbe50dbf2c00a112db16b53fcb45e51bedc9593251cb483,6bb239573f9eb7c72c63258883bd51c24f48d5ebe361ea294bb37316ead18e8c,7648bd0b09bbeea16a06bb4f9f856eb04d8f82cd7d36fca5b04ee86a422c9c1b,cc085b10b8f4b3536e45201a4b8af20261c2f3f57f058eeafbe1ae320ecc1273,6b25fda997279339c9045745e4edc8fb552ad32621d560233d93bf15544b3ec5,455f14c3981f2326a4a28eeb0ae8c2c73661de458ad07a3858c8080c1bce64dc,59d5953015192aa318b68ede75d4abefb12cd35953c0d3e124d63e0cc6a4d764,fce0f9239143ff5e1a1d04f0f3856504b9b42666119089ae440075fc955ad668
"","29","","31001_01","","","1","","","","","3100101",""
"","59","","31001_03","","","30","","","","","3100101",""
"","-1","","31001_05","","","60","","","","","3100101",""
"","29","","31001_01","31001_01","","1","","","","","3100102",""
"","59","","31001_03","31001_03","","30","","","","","3100102",""
"","-1","","31001_05","31001_05","","60","","","","","3100102",""
"","29","","31001_01","31001_01","","1","","","","31001_01","3100103",""
"","59","","31001_03","31001_03","","30","","","","31001_03","3100103",""
"","-1","","31001_05","31001_05","","60","","","","31001_05","3100103",""
"","29","31001_01","31001_01","31001_01","","1","","","","31001_01","3100104",""
"","59","31001_03","31001_03","31001_03","","30","","","","31001_03","3100104",""
"","-1","31001_05","31001_05","31001_05","","60","","","","31001_05","3100104",""
"","29","","61003_01","61003_02","","1","","","","","3100201",""
"","49","","61003_03","61003_04","","30","","","","","3100201",""
"","79","","61003_05","61003_06","","50","","","","","3100201",""
"","99","","61003_07","61003_08","","80","","","","","3100201",""
"","109","","61003_09","61003_10","","100","","","","","3100201",""
"","119","","61003_11","61003_12","","110","","","","","3100201",""
"","129","","61003_13","61003_14","","120","","","","","3100201",""
"","139","","61003_15","61003_16","","130","","","","","3100201",""
"","149","","61003_17","61003_18","","140","","","","","3100201",""
"","159","","61003_19","61003_20","","150","","","","","3100201",""
"","169","","61003_21","61003_22","","160","","","","","3100201",""
"","179","","61003_23","61003_24","","170","","","","","3100201",""
"","189","","61003_25","61003_26","","180","","","","","3100201",""
"","199","","61003_27","61003_28","","190","","","","","3100201",""
"","209","","61003_29","61003_30","","200","","","","","3100201",""
"","219","","61003_31","61003_32","","210","","","","","3100201",""
"","229","","61003_33","61003_34","","220","","","","","3100201",""
"","239","","61003_35","61003_36","","230","","","","","3100201",""
"","249","","61003_37","61003_38","","240","","","","","3100201",""
"","259","","61003_39","61003_40","","250","","","","","3100201",""
"","269","","61003_41","61003_42","","260","","","","","3100201",""
"","279","","61003_43","61003_44","","270","","","","","3100201",""
"","289","","61003_45","61003_46","","280","","","","","3100201",""
"","299","","61003_47","61003_48","","290","","","","","3100201",""
"","309","","61003_49","61003_50","","300","","","","","3100201",""
"","319","","61003_51","61003_52","","310","","","","","3100201",""
"","329","","61003_53","61003_54","","320","","","","","3100201",""
"","-1","","61003_55","61003_56","","330","","","","","3100201",""
