052c88934ca6ba02ad85cb395934c9e8da0a462e3deaefee59e48ad8db9ee266,f67fa6a0d3bf1a702fd8beda5ad4c10c2201b1f07f4e84507ac36b3d112c93eb,6843d8febf06baa46335192071490508cfed913e531c5ccb0e049642d9ea26b5,f794318e4225857dab1a7280b9223ddc930cb168eb4bf747ce448d9bc094147e,df3ceede5346416a8265364a488294aee32dbe747355959c7643a2895c781c13,e18ffeac4d10421c499593a774780f24d46ee0230176d5e74cb0b97c93bad0b3,b8f45ec2d7d2ad52647ab062b36b1f450fa202bfb03218aaaa89fede9e44b442,7448be5a7a518ce899be08a25bb224a7cdab58bebbe0e0d44b3821b34efb5914
"1","170","1","71","-401","182","-90","1"
"2","170","1","81","-401","182","-90","2"
"3","255","1","121","-255","182","90","3"
"4","255","1","131","-255","182","90","4"
"5","255","1","141","-255","182","90","5"
"6","229","1","191","-107","176","-80","6"
"7","229","1","201","-107","176","-80","7"
"8","218","1","271","136","151","-85","8"
"9","218","1","281","136","151","-85","9"
"10","218","1","291","136","151","-85","10"
"11","156","1","331","280","219","80","11"
"12","156","1","341","280","219","80","12"
"13","156","1","351","280","219","80","13"
"14","213","1","401","417","183","-97","14"
"15","213","1","411","417","183","-97","15"
"1","242","2","451","-259","229","-73","2"
"2","226","2","481","-222","179","124","4"
"3","219","2","501","-101","192","-67","6"
"4","168","2","521","-26","190","-27","8"
"5","192","2","551","117","260","-50","11"
"6","159","2","601","241","138","120","14"
"7","159","2","611","241","138","120","14"
"8","224","2","621","243","229","-71","14"
"1","71","3","781","-353","43","32","1"
"2","235","3","801","-228","268","-30","2"
"3","80","3","831","-243","45","144","3"
"4","221","3","851","20","225","-76","4"
"5","211","3","861","230","222","-74","5"
"6","115","3","891","-100","136","44","6"
"7","115","3","901","-100","136","44","7"
"8","306","3","991","116","250","76","8"
"9","306","3","1001","116","250","76","9"
"10","306","3","1011","116","250","76","10"
"11","96","3","1041","322","188","40","11"
"12","96","3","1051","322","188","40","12"
"1","294","4","1091","-211","272","-6","1"
"2","92","4","1101","-288","115","129","2"
"3","92","4","1111","-288","115","129","3"
"4","135","4","1121","-58","174","128","4"
"5","222","4","1151","143","184","133","5"
"6","134","4","1161","-277","98","-129","6"
"7","134","4","1171","-277","98","-129","7"
"8","67","4","1211","-60","70","-12","8"
"9","67","4","1221","-60","70","-12","9"
"10","132","4","1231","116","185","-55","10"
"11","93","4","1261","-17","89","-103","11"
"12","93","4","1271","-17","89","-103","12"
"13","150","4","1311","232","239","23","13"
"1","114","5","1391","-289","72","-161","1"
"2","114","5","1401","-289","72","-161","2"
"3","228","5","1411","-261","248","80","3"
"4","223","5","1431","-103","211","-91","4"
"5","186","5","1471","-87","181","95","5"
"6","132","5","1551","69","176","-122","6"
"7","132","5","1561","69","176","-122","7"
"8","143","5","1611","54","184","91","8"
"9","211","5","1641","204","247","45","9"
"10","137","5","1651","308","167","141","10"
