e887850f1e4977e4ecf4699a8b6ad18d45ec9cf7ed1e746793482b7203860061,007425b66d83dabc21be5641c9093867f3b9af77fc19d0ad5942a0e57b775b14,a6b4d74e664e39f515193334d9a95cc657e6d80e1d9d39cde508925d883f0f03,27343e68cbd99cc7b00d5bbae4b3fec3bfe23234496c187367fc43a58b129fd5,b05bf4f8142c4a9ee748d2bceb14b774437bc93a8240a42bdce310703391c212,84feec6e14cf658f279c45d6efbc48888ea0cf9ea867ef52bcdf9c4836f292c0,1be55c09f45c9feaa5dd56e77b51c2e1d507f423b7a2b3f89f35694bcb2740f8,03d62eb7bada8edc0e4b0413d95dd59cf1bcaec326283e02f588d9918859c405,5c1f01afd922c7465394708fd0a30d907ddc27f18028f5bb5abde123b8a1a14b,9be26485c44cdce5b62c6e73d342b490a867cc4c98cbe5598d6d22a7155aa99e,bd8673ba85a484823b551bf195b20ffd2a628485b23d22234eed4b44480c2fa7,d7a7f55a0d69c17aaf478b7262ffc3801e5c00303e7820e3e055dd56e8317ef1
"70","5","5201321","5.5","10201201","5201322","1","0","610201102","1","0","0"
"0","5","0","1.5","10201201","5201323","3","3","610201103","2","600","15"
"0","5","0","1.5","10201201","0","1","0","610201104","3","0","0"
"70","5","0","5.5","10201501","0","1","0","610201105","1","0","0"
"0","5","0","1.5","10201501","0","3","3","610201106","2","600","15"
"0","5","0","1.5","10201501","0","1","0","610201107","3","0","0"
"0","5","5201331","5.5","10201251","5201332","2","3","610201152","1","600","0"
"65","5","0","1.5","10201251","5201333","1","0","610201153","2","0","0"
"0","5","0","1.5","10201251","0","1","0","610201154","3","0","0"
"0","5","0","5.5","10201551","0","2","3","610201155","1","600","0"
"65","5","0","1.5","10201551","0","1","0","610201156","2","0","0"
"0","5","0","1.5","10201551","0","1","0","610201157","3","0","0"
"0","5","5202321","5.5","10202201","5202322","2","3","610202102","1","600","0"
"70","5","0","1.5","10202201","5202323","1","0","610202103","2","0","0"
"0","5","0","1.5","10202201","0","1","0","610202104","3","0","0"
"0","5","0","5.5","10202501","0","2","3","610202105","1","600","0"
"70","5","0","1.5","10202501","0","1","0","610202106","2","0","0"
"0","5","0","1.5","10202501","0","1","0","610202107","3","0","0"
"0","5","5203321","5.5","10203201","5203322","2","3","610203102","1","600","0"
"66","5","0","1.5","10203201","5203323","1","0","610203103","2","0","0"
"0","5","0","1.5","10203201","0","1","0","610203104","3","0","0"
"0","5","0","5.5","10203501","0","2","3","610203105","1","600","0"
"66","5","0","1.5","10203501","0","1","0","610203106","2","0","0"
"0","5","0","1.5","10203501","0","1","0","610203107","3","0","0"
"0","5","5204321","5.5","10204201","5204322","2","3","610204102","1","600","0"
"60","5","0","1.5","10204201","5204323","1","0","610204103","2","0","0"
"0","5","0","1.5","10204201","0","1","0","610204104","3","0","0"
"0","5","0","5.5","10204501","0","2","3","610204105","1","600","0"
"80","5","0","1.5","10204501","0","1","0","610204106","2","0","0"
"0","5","0","1.5","10204501","0","1","0","610204107","3","0","0"
"0","5","5205321","5.5","10205201","5205322","2","3","610205102","1","600","0"
"65","5","0","1.5","10205201","5205323","1","0","610205103","2","0","0"
"0","5","0","1.5","10205201","0","1","0","610205104","3","0","0"
"0","5","0","5.5","10205501","0","2","3","610205105","1","600","0"
"66","5","0","1.5","10205501","0","1","0","610205106","2","0","0"
"0","5","0","1.5","10205501","0","1","0","610205107","3","0","0"
"0","5","5206321","5.5","10206201","5206322","2","3","610206102","1","600","0"
"0","5","0","1.5","10206201","5206323","2","3","610206103","2","600","0"
"0","5","0","1.5","10206201","0","1","0","610206104","3","0","0"
"0","5","0","5.5","10206501","0","2","3","610206105","1","600","0"
"0","5","0","1.5","10206501","0","2","3","610206106","2","600","0"
"0","5","0","1.5","10206501","0","1","0","610206107","3","0","0"
"0","5","5207321","5.5","10207201","5207322","2","3","610207102","1","600","0"
"66","5","0","1.5","10207201","5207323","1","0","610207103","2","0","0"
"0","5","0","1.5","10207201","0","1","0","610207104","3","0","0"
"0","5","0","5.5","10207501","0","2","3","610207105","1","600","0"
"66","5","0","1.5","10207501","0","1","0","610207106","2","0","0"
"0","5","0","1.5","10207501","0","1","0","610207107","3","0","0"
"0","5","5208321","5.5","10208201","5208322","2","3","610208102","1","600","0"
"70","5","0","1.5","10208201","5208323","1","0","610208103","2","0","0"
"0","5","0","1.5","10208201","0","1","0","610208104","3","0","0"
"0","5","0","5.5","10208501","0","2","3","610208105","1","600","0"
"70","5","0","1.5","10208501","0","1","0","610208106","2","0","0"
"0","5","0","1.5","10208501","0","1","0","610208107","3","0","0"
"0","5","5209321","5.5","10209201","5209322","2","3","610209102","1","600","0"
"55","5","0","1.5","10209201","5209323","1","0","610209103","2","0","0"
"0","5","0","1.5","10209201","0","1","0","610209104","3","0","0"
"0","5","0","5.5","10209501","0","2","3","610209105","1","600","0"
"60","5","0","1.5","10209501","0","1","0","610209106","2","0","0"
"0","5","0","1.5","10209501","0","1","0","610209107","3","0","0"
"0","5","5210321","5.5","10210201","5210322","2","3","610210102","1","600","0"
"65","5","0","1.5","10210201","5210323","1","0","610210103","2","0","0"
"0","5","0","1.5","10210201","0","1","0","610210104","3","0","0"
"0","5","0","5.5","10210501","0","2","3","610210105","1","600","0"
"60","5","0","1.5","10210501","0","1","0","610210106","2","0","0"
"0","5","0","1.5","10210501","0","1","0","610210107","3","0","0"
