122e99be80849df14e72752025956bdb73b42242331338c0dc027f1d52b5b903,20a1b55dbd0d60274ceaff558c7355b44158146a2ef3a64478434f064d0e6f33,0d9b8317d97c36a986ddae5821ed282eefd1b0470a98cf2c1667909387108d3a,b2e22709b423b35f7eb841ba53d21481f40171c898c9387b29c569824297e748,d9dbd34601a7eb18b7d0a76679687f87d700d8a1d56165e0d687338f62568153,81dab952f39696540195ebaca109d8dcf1fb90d36923c7cd7c1e315930960e9c,97769ab0517b96949d36f35a5216abb3e15ea20752de041d5a53c988b0262fa4,39459e7641838d2752522e5b9dc41acdd0cb784a222db04e8d4747fed6add1a0,4658e0446630cd774de22226fcc041c4bfe4b27734f94f6082054307a593241e,82669363cbd3f62cd6eb2f1b571d1e5c6f08c0951e0c8e89e012209d65d72f23,1724942b1605a2f6c6d593d3fa48d6f9297a521f7c6cf62aa16dd3bcb8d3eaf2
"11","1","30000","0","0","2","","30","0","23001",""
"12","2","30000","0","0","2","","2000","0","90007",""
"13","3","30000","0","0","2","","20","0","20003",""
"14","4","30000","0","0","8","","50","0","91002",""
"15","5","30000","0","0","12","","50000","0","94002",""
"16","6","30000","0","0","8","","50","0","91002",""
"17","7","30000","0","0","2","","3000","0","90007",""
"18","8","30000","0","0","2","","20","0","20003",""
"19","9","30000","0","0","8","","80","0","91002",""
"20","10","30000","0","0","2","","1","0","24001",""
"21","11","30000","0","0","8","","80","0","91002",""
"22","12","30000","0","0","2","","20","0","22002",""
"23","13","30000","0","0","2","","20","0","20003",""
"24","14","30000","0","0","8","","100","0","91002",""
"25","15","30000","0","0","2","","1","0","24001",""
"27","1","40001","107501","0","8","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪","150","1","91002","貪吃佩可"
"28","2","40001","107601","0","8","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪","150","1","91002","可可蘿"
"29","3","40001","107801","0","8","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪","150","1","91002","凱留"
"30","4","40001","107701","0","8","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！","150","1","91002","鈴莓"
"31","5","40001","107901","0","8","今天對你來說是個\n特別的紀念日呢喵。\n對於你的活躍，我總是\n以貓的方式在感謝你喵～♪","150","1","91002","珠希"
"32","6","40001","107501","0","8","嗚～吃了太多的刨冰，\n身體變得好冷哦…\n請用你的體溫溫暖我吧！\n抱緊──♪","150","2","91002","貪吃佩可"
"33","7","40001","107601","0","8","夏天總是充滿著許多的危險…\n但是在下會好好地\n保護著主人的哦。","150","2","91002","可可蘿"
"34","8","40001","107801","0","8","嗯～到底為什麼會和你\n一起度過了一整個夏天啊…\n雖然我很開心就是了！\n來吧，我們要繼續玩囉！","150","2","91002","凱留"
"35","9","40001","107701","0","8"," 和您一起度過的第一個夏天…\n我現在就已經心跳不已了呢。\n快樂又美好的回憶，\n又增加一個了呢♪","150","2","91002","鈴莓"
"36","10","40001","107901","0","8","明明夏天是最好賺錢的時候，\n但今年我卻想和你\n一起度過呢喵。你能和我一起\n創造愉快的回憶喵？","150","2","91002","珠希"
"47","1","20000","0","0","8","","300","0","91002",""
"48","1","20000","0","0","2","","20","0","23001",""
"49","2","20000","0","0","8","","300","0","91002",""
"50","2","20000","0","0","2","","20","0","23001",""
"51","3","20000","0","0","8","","300","0","91002",""
"52","3","20000","0","0","2","","20","0","23001",""
"53","4","20000","0","0","8","","300","0","91002",""
"54","4","20000","0","0","2","","20","0","23001",""
"55","5","20000","0","0","8","","500","0","91002",""
"56","5","20000","0","0","2","","20","0","23001",""
"57","6","20000","0","0","8","","300","0","91002",""
"58","6","20000","0","0","2","","20","0","23001",""
"59","7","20000","0","0","8","","300","0","91002",""
"60","7","20000","0","0","2","","20","0","23001",""
"61","8","20000","0","0","8","","300","0","91002",""
"62","8","20000","0","0","2","","20","0","23001",""
"63","9","20000","0","0","8","","300","0","91002",""
"64","9","20000","0","0","2","","20","0","23001",""
"65","10","20000","0","0","8","","600","0","91002",""
"66","10","20000","0","0","2","","20","0","23001",""
"67","1","49001","0","0","8","","150","0","91002",""
"68","2","49001","0","0","8","","150","0","91002",""
"69","3","49001","0","0","8","","150","0","91002",""
"70","4","49001","0","0","8","","150","0","91002",""
"71","5","49001","0","0","8","","150","0","91002",""
"72","6","49001","0","0","8","","150","0","91002",""
"73","7","49001","0","0","8","","150","0","91002",""
"74","8","49001","0","0","8","","150","0","91002",""
"75","9","49001","0","0","8","","150","0","91002",""
"76","10","49001","0","0","8","","150","0","91002",""
"77","1","49002","0","0","8","","150","0","91002",""
"78","2","49002","0","0","8","","150","0","91002",""
"79","3","49002","0","0","8","","150","0","91002",""
"80","4","49002","0","0","8","","150","0","91002",""
"81","5","49002","0","0","8","","150","0","91002",""
"82","6","49002","0","0","8","","150","0","91002",""
"83","7","49002","0","0","8","","150","0","91002",""
"84","8","49002","0","0","8","","150","0","91002",""
"85","9","49002","0","0","8","","150","0","91002",""
"86","10","49002","0","0","8","","150","0","91002",""
"87","1","49003","0","0","8","","150","0","91002",""
"88","2","49003","0","0","8","","150","0","91002",""
"89","3","49003","0","0","8","","150","0","91002",""
"90","4","49003","0","0","8","","150","0","91002",""
"91","5","49003","0","0","8","","150","0","91002",""
"92","6","49003","0","0","8","","150","0","91002",""
"93","7","49003","0","0","8","","150","0","91002",""
"94","8","49003","0","0","8","","150","0","91002",""
"95","9","49003","0","0","8","","150","0","91002",""
