cdeff8777f9270973679012e11b53cd7db001f841ebbb478a9b57a7239d6c45f,9eee07abf4210dd5611319b4dd046633021e7a6816ba6ae4437eb05d8c0851ac,f24038b62ad09be6fe63d0726a30b556894aa27784d178d62c8af3eeb2f9aa30,ff645ebf0f71eb302c3773673a8350e67c9f8d6df8d983040c2ed477c8f781ef,55991cdeb9a368ff1c708091b11b9cd056ac9548d1fa03223695305a28c43250,6eff8dfef4f81b166a56db44858074b49effb41e4d4b4cf9212b6dd19dd69d2b,0a8c4780ae882b27df26917f2f7eb2f7b4e5030cfb8b4ebed3bd6ad51af7b484,4fe3e7ecb06fb7b21929f22674d4b95813cb9474e8313aed22874e29ec3e018d,37aa189889dd92097e17972a22085cdd3aee32bf0327713dd548eda1b48835ea,bc78cbc694b8dd80cc33a1a221f21827dca6a7d6f343dc84e6da24eb2c398827,288464bb2780bdac30531ab408db525d3785bfb77440ee47cd7c0a4aeac4dc6e
"31","25014","2","25021","2","10","1","8","8","91002","284001001"
"31","25014","2","25021","2","10","2","8","8","91002","284001002"
"32","25014","2","25021","2","10","3","8","8","91002","284001003"
"32","25014","2","25021","2","10","4","8","8","91002","284001004"
"33","25014","2","25021","2","10","5","8","8","91002","284001005"
"33","25014","2","25021","2","10","6","9","8","91002","284001006"
"34","25014","2","25021","2","10","7","9","8","91002","284001007"
"35","25014","2","25021","2","10","8","9","8","91002","284001008"
"35","25014","2","25021","2","10","9","9","8","91002","284001009"
"37","25014","2","25021","2","30","10","10","8","91002","284001010"
"41","25014","2","25021","2","10","11","10","8","91002","284001011"
"43","25014","2","25021","2","10","12","11","8","91002","284001012"
"46","25014","2","25021","2","10","13","11","8","91002","284001013"
"48","25014","2","25021","2","10","14","12","8","91002","284001014"
"50","25014","2","25021","2","10","15","12","8","91002","284001015"
"53","25014","2","25021","2","10","16","13","8","91002","284001016"
"55","25014","2","25021","2","10","17","14","8","91002","284001017"
"58","25014","2","25021","2","10","18","14","8","91002","284001018"
"60","25014","2","25021","2","10","19","15","8","91002","284001019"
"62","25014","2","25021","2","30","20","15","8","91002","284001020"
"68","25014","2","25021","2","10","21","16","8","91002","284001021"
"70","25014","2","25021","2","10","22","16","8","91002","284001022"
"72","25014","2","25021","2","10","23","16","8","91002","284001023"
"75","25014","2","25021","2","10","24","17","8","91002","284001024"
"77","25014","2","25021","2","10","25","18","8","91002","284001025"
"79","25014","2","25021","2","10","26","18","8","91002","284001026"
"82","25014","2","25021","2","10","27","19","8","91002","284001027"
"84","25014","2","25021","2","10","28","19","8","91002","284001028"
"86","25014","2","25021","2","10","29","19","8","91002","284001029"
"89","25014","2","25021","2","30","30","20","8","91002","284001030"
"94","25014","2","25021","2","10","31","20","8","91002","284001031"
"96","25014","2","25021","2","10","32","21","8","91002","284001032"
"99","25014","2","25021","2","10","33","21","8","91002","284001033"
"101","25014","2","25021","2","10","34","22","8","91002","284001034"
"103","25014","2","25021","2","10","35","22","8","91002","284001035"
"106","25014","2","25021","2","10","36","23","8","91002","284001036"
"108","25014","2","25021","2","10","37","23","8","91002","284001037"
"111","25014","2","25021","2","10","38","24","8","91002","284001038"
"113","25014","2","25021","2","10","39","25","8","91002","284001039"
"115","25014","2","25021","2","30","40","25","8","91002","284001040"
"121","25014","2","25021","2","10","41","26","8","91002","284001041"
"123","25014","2","25021","2","10","42","27","8","91002","284001042"
"125","25014","2","25021","2","10","43","28","8","91002","284001043"
"128","25014","2","25021","2","10","44","28","8","91002","284001044"
"130","25014","2","25021","2","10","45","29","8","91002","284001045"
"132","25014","2","25021","2","10","46","30","8","91002","284001046"
"135","25014","2","25021","2","10","47","30","8","91002","284001047"
"137","25014","2","25021","2","10","48","31","8","91002","284001048"
"139","25014","2","25021","2","10","49","31","8","91002","284001049"
"142","25014","2","25021","2","30","50","31","8","91002","284001050"
