f23ac0f4e6fcd90d08e73c9fc16f86fbb3d9c25c4cd6e135539be999ae116a52,79147f8a684f2143752f52be3a9f364a37f2c0a9c24b2e8fdab48467d836babe,63553071393571c397d4360d6e3493e3ac59a7ac1b6aa6102ebe1502b0f49102,9932c01fa7ea1c6d1bf72739bd89f954d944e48d61b3d1b3643dc2727ba3c0e6,231c5e2d7d654cb404164f5f8088aca667f6dc7925cfa94d39ca753959ffa648,63f966205d48a7d8f21855871998eae0e1a6c28c53adb1be87c2bf6f64e7c444,d1d03e847d08658ddeea288f4bb0bd6546611982eee6114a100727e26dcb6bf4,4b17876ea5bd0f14bd1155a5a68b369f94d4da85e48879c74252f8df99179bf7,6a3c2cd5d3c82733fe062c52ec8aa290c02863dcc2a77f11bc953ca7a4b2377b,eb6e4b28af649e20400fa51fe2b3479e2426a74bdb2e6facfd80fc284e9f9c23,37d924979cdd29bf01f420e7e18c527fced7a1707a98c9728f4dd5e8f2aa8103,cd5e206c6afaec0214607803fb2b200fc08e83d8fd5041530814115360fa5187
"0","0","0","0","0","0","1","0","0","0","0","0"
"1","0","1","0","800","0","11002","2","0","0","0","3"
"1","0","1","0","500","0","12001","1","0","0","0","1"
"1","0","1","0","700","0","12002","1","0","0","0","1"
"1","0","1","0","600","0","13001","2","0","0","0","1"
"1","0","1","0","700","0","13002","2","0","0","0","1"
"1","0","1","0","600","0","14002","2","0","0","0","1"
"1","0","2","0","900","0","21001","2","0","0","0","3"
"2","0","8000","0","0","0","22001","0","0","0","0","0"
"3","0","5","0","1","0","23001","1","0","0","1","99"
"3","0","7","0","1","0","23002","1","0","0","1","99"
"5","0","0","0","3","0","25001","4","0","0","1","0"
"5","1","0","0","0","0","25002","1","0","0","0","0"
"5","0","1","0","3","0","25003","4","0","0","1","0"
"5","1","1","0","0","0","25004","1","0","0","0","0"
"6","40","76","0","37","0","26001","0","0","0","0","0"
"7","1","2","0","1","0","27001","0","0","0","0","0"
"7","1","3","0","1","0","27002","0","0","0","0","0"
"8","0","0","0","0","0","28001","0","0","0","0","0"
