9d6afd95f7b128e12ae0a5875aea7c299ffe29a624eb0b09dfd9436b1e2aea79,c528cdbe2ebf1d8616618130b1cbc8f303b8678d9b179113d2fbdcb43dc7f884,6faf4491b11f7c610cbf3d86da2566a731c30315504f073ec5a04c7e63c79eb7,941876df7880e83dc222e3fbcffc36d0956a707a731cc5b8dfd7a9c37ebe4596,63de7a7e888765f783a8afe14fa3b802af0ebb8d3f99339e854068abd1e6b18b,217216f24a11610c51c5dd61220a9b5b514fbf4b4139b2b24c10f90e92d9c861,84b6bfee655ec965166b44ebc3674b253ad9dc9a916877d7302da3e334266b45,7021f8015431529e65ecc5670798d11687ed9bd0ea3b85d7e0dec92eef3efc58,d04dce61bbdbcba06f2371801dd1acd3b20318bc3798ace14893f2aa572de937,b0866f20d475f704ddc94286cb973ae71f143dba33ff00fa203cb1164c0c29fc,aee5f802b1faf246e75fe61a1d0a77bdd5018c1b99c8f7ec855f04078bec9a63,947e926d3ec89a4cefcc4a8e0a5a285999332efe7e9284e39ecb2d3f13dd2049,0b219e82f34a5cf72a7d7c18553f28f9cea9055ddbb58aa99f2be7be3c927eab,5f0f1dd0b3429bf393d42ca4d201f02ba55460ec382ff88fecfede2285ad370a,132a0e6a8889d2bef3941d32e375e30f65376c8fb74ef9e3f99e57e588cbb830,06aae9053400e7f1e55729419ed39b9e3b960a2a33b6978313ac3d1d848f3db1,1d462149d049dd05902397c8dae220c53a25f12e700a3cf1bb280537fe226613,3a09ddd62a16cd5a045e9f7e9fb62329648ab0a27fd0fb9a9f859a71ed02a9ce,275321c10d8b75e93085604e5aed9bc73abd7e0ac0761de6c7fe407bf614af85
"610132501","0","-60","1","0","3","1","","289","5.5","0","3","12","0","0","1","5","10132","610132007"
"610132502","0","-60","1","70","1","1","","289","1.5","0","0","0","0","0","2","5","10132","610132008"
"0","0","-60","1","0","1","1","","289","1.5","0","0","0","0","0","3","5","10132","610132009"
"0","0","-50","1.85","55","1","1","","292","5.5","0","3","0","0","0","1","5","10134","610134007"
"610134502","0","-50","1.85","0","3","1","","292","1.5","0","0","30","0","0","2","5","10134","610134008"
"0","0","-50","1.85","0","1","1","","292","1.5","0","0","0","0","0","3","5","10134","610134009"
"610136501","0","0","1.1","0","2","1","","295","5.5","0","3","0","600","0","1","5","10136","610136007"
"0","0","-50","1.5","84","1","1","","295","1.5","0","0","0","0","0","2","5","10136","610136008"
"0","0","-50","1.5","0","1","1","","295","1.5","0","0","0","0","0","3","5","10136","610136009"
"0","0","0","0.85","75","1","1","","295","5.5","0","0","0","0","0","1","5","10137","610137007"
"0","0","0","0.85","50","1","1","","295","1.5","0","0","0","0","0","2","5","10137","610137008"
"0","0","0","0.85","0","1","1","","295","1.5","0","0","0","0","0","3","5","10137","610137009"
"0","0","0","1.4","77","1","1","","298","5.5","0","3","0","0","0","1","5","10140","610140007"
"0","0","0","1.4","52","1","1","","298","1.5","0","0","0","0","0","2","5","10140","610140008"
"0","0","0","1.4","0","1","1","","298","1.5","0","0","0","0","0","3","5","10140","610140009"
"0","0","-33","1.45","76","1","1","","301","5.5","0","3","0","0","0","1","5","10142","610142007"
"610142502","0","-40","1.23","0","2","1","","301","1.5","0","3","0","600","0","2","5","10142","610142008"
"0","0","-33","1.45","0","1","1","","301","1.5","0","0","0","0","0","3","5","10142","610142009"
"0","0","-33","1","65","1","1","","304","5.5","0","3","0","0","0","1","5","10144","610144007"
"610144502","0","-40","0.85","0","2","1","","304","1.5","0","3","0","600","0","2","5","10144","610144008"
"0","0","-33","1","0","1","1","","304","1.5","0","0","0","0","0","3","5","10144","610144009"
"610146501","0","-45","0.87","0","2","1","","307","5.5","0","3","0","600","0","1","5","10146","610146007"
"0","0","-45","1.18","58","1","1","","307","1.5","0","0","0","0","0","2","5","10146","610146008"
"0","0","-45","1.18","0","1","1","","307","1.5","0","0","0","0","0","3","5","10146","610146009"
"610148501","0","-50","1.4","0","2","1","","310","5.5","0","3","0","600","0","1","5","10148","610148007"
"0","0","-50","1.7","68","1","1","","310","1.5","0","0","0","0","0","2","5","10148","610148008"
"0","0","-50","1.7","0","1","1","","310","1.5","0","0","0","0","0","3","5","10148","610148009"
"0","0","-33","1.35","71","1","1","","313","5.5","0","3","0","0","0","1","5","10150","610150007"
"0","0","-33","1.35","50","1","1","","313","1.5","0","3","0","0","0","2","5","10150","610150008"
"0","0","-33","1.35","0","1","1","","313","1.5","0","0","0","0","0","3","5","10150","610150009"
"610152501","0","20","0.7","0","2","1","","316","5.5","0","4.8","0","600","0","1","5","10152","610152007"
"0","0","30","0.96","81","1","1","","316","1.5","0","0","0","0","0","2","5","10152","610152008"
"0","0","30","0.96","0","1","1","","316","1.5","0","0","0","0","0","3","5","10152","610152009"
"0","0","-33","1.25","68","1","1","","319","5.5","0","3","0","0","0","1","5","10154","610154007"
"610154502","0","-10","1","0","2","1","","319","1.5","0","3","0","600","0","2","5","10154","610154008"
"0","0","-33","1.25","0","1","1","","319","1.5","0","0","0","0","0","3","5","10154","610154009"
