f63c11bf8a4cd5cfb6b1f004fdff651a166f36e83bf135da3fadc56f3fe16fb9,8e6d5410f262090b8e65614be78e0c3ae2b48bd47248bef08e9c2ff623607fa0,9dd178aa8bb42867194d3a0324a56bc769376ae5fd75b05af73dc18604438c21,f5d47964f8ea80f8da885f1718c21ffe30fe2ced0389024fcde4f8e47bd870c2,a085259a2e5c7bf0aa43c03cefaa773f82af11d7455910bfeda65f10985e3607,65d027cb506d4a4a0b043c0fd24bee6e9696ba7920ac29c88abede3f8dc5a3a8,83c2e62faece11552c929cdc5ba6f4014637fabe8f125af01bd79e3d7577345c,a9e1d7077b756fbac337319c48545860743b4311774c6700d1125896ab4c9ad1,445c284319f32d636bcbbbf41d32c1830b27d9ca1c26dcbf4c769bd9afef78b6,885f1b4fda841a8714f877a8562f83cac0b47ec4047798d1c75c802009f680cf,b8ca8a68321f9f6707d3753d8ab1c016f00c83f6ae979666dd04dc8e042a5c90
"1","1","100","64","1","1","1010001","1.65","pkb_idle_normal","-175","113511"
"113511","1","1","","","3","1010002","0.2","","","pkb_talk_wish"
"vo_minigame_1006","1","0","0","","21","1010003","","","","vo_minigame_1006_top_101"
"113511","1","8","0","0","11","1010004","0","0","0","今天也和老師\n一起努力加油吧～"
"0","1","","","","91","1010005","","","",""
"113511","1","1","","","3","1010006","0.2","","","pkb_idle_normal"
"1","2","100","64","1","1","1020001","1.65","pkb_idle_normal","-175","113511"
"113511","2","1","","","3","1020002","0.2","","","pkb_talk_wish"
"vo_minigame_1006","2","0","0","","21","1020003","","","","vo_minigame_1006_top_102"
"113511","2","6","0","0","11","1020004","0","0.5","0","老師很相信\n大家的實力喔～！\n要加油喲～♪"
"6","2","","","","93","1020005","","","",""
"113511","2","0","pkb_idle_normal","","3","1020006","0.2","","1","pkb_talk_fun"
"1020004","2","","","","91","1020007","","","",""
"113511","2","1","","","3","1020008","0.2","","","pkb_idle_normal"
"1","3","100","64","1","1","1030001","1.65","pkb_idle_normal","-175","113511"
"113511","3","0","pkb_idle_normal","0.2","3","1030002","0.2","","1","pkb_smile"
"vo_minigame_1006","3","0","0","","21","1030003","","","","vo_minigame_1006_top_103"
"113511","3","6","0","0","11","1030004","0","0","0","要小心別受傷喔，\n不可以勉強自己～♪"
"2","3","","","","93","1030005","","","",""
"113511","3","1","","","3","1030006","0.2","","","pkb_talk_wish"
"1030004","3","","","","91","1030007","","","",""
"113511","3","1","","","3","1030008","0.2","","","pkb_idle_normal"
"3","4","100","64","1","5","1040001","57","pkb_idle_normal_l","-155","3"
"3","4","0","pkb_idle_arm_crossed_l","0.2","3","1040002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","4","0","0","","21","1040003","","","","vo_minigame_1006_top_601"
"3","4","8","0","","11","1040004","0","0","0","今天的練習\n我也不會手下留情的！\n好好跟上我吧！"
"0","4","","","","91","1040005","","","",""
"3","4","1","","","3","1040006","0.2","","","pkb_idle_normal_l"
"3","5","100","64","1","5","1050001","57","pkb_idle_normal_l","-155","3"
"3","5","0","pkb_idle_arm_crossed_l","0.2","3","1050002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","5","0","0","","21","1050003","","","","vo_minigame_1006_top_602"
"3","5","8","0","","11","1050004","0","0","0","很好！\n提起幹勁\n開始練習吧──！"
"2","5","","","","93","1050005","","","",""
"3","5","0","pkb_idle_normal_l","0.2","3","1050006","0.2","","1","pkb_talk_handsup_l"
"1050004","5","","","","91","1050007","","","",""
"3","5","1","","","3","1050008","0.2","","","pkb_idle_normal_l"
"3","6","100","64","1","5","1060001","57","pkb_idle_normal_l","-155","3"
"3","6","0","pkb_idle_arm_crossed_l","0.2","3","1060002","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","6","0","0","","21","1060003","","","","vo_minigame_1006_top_603"
"3","6","8","0","","11","1060004","0","0","0","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！"
"3","6","","","","93","1060005","","","",""
"3","6","0","pkb_idle_guts_l","","3","1060006","0.2","","1","pkb_talk_guts_l"
"1060004","6","","","","91","1060007","","","",""
"3","6","1","","","3","1060008","0.2","","","pkb_idle_normal_l"
"1","7","100","64","1","1","1070001","1.65","pkb_idle_normal","-175","113411"
"113411","7","0","pkb_talk_joy1","0.2","3","1070002","0.2","","1","pkb_talk_fun"
