53fc16a865574eebd3463be80e8f1f45f8f680faa049adc71a14b98ca8cc3888,013346b0eab5f02789d972c51c6d0a9a258b869f791ff08d17ec74fca1c250d0,e770821e96be317d23fa9318d869737f8468fa6a6f6b61e5e9e9cc4132904271,41bd8fc1064e87984b9b3c52d821dc01f60d82b807e823ac0102c80f6874e692,5310f636ca0be867a90e5ecf1139073df63203a5a5aeb4314db6d66fe9144b86,7ed195e26814dca070f26ce063e58d1b7213053281c39d658f062316298eca0e,96678c8e825a8cc3052bbc55003295149db564deb019a3cc1d47c0bc79db6cb4,230c6459c39b131a8b20228fbdc18d172da36ead62faf1e493bcbf57abe816f5,4119c1c000462085a637737c6a70bba9ad90a0c2e1ce8ccd3afccf34b5335cab,1d04f217f67b944de0e563f27f07474f02bc8956e49040af9c48a46d8d106e90,db1263d2263686082b5faf9728b938ee438be6e3b00c34c7755fd7ef583b86fa
"111","2","-273","118511","0","1","wac_215_karin_idle_normal","111001","202","-345","1"
"111","2","170","105811","1","1","wac_215_idle_joy1","111002","205","-355","1"
"111","2","50","105911","1","1","wac_215_idle_normal_joy","111003","202","-325","1"
"111","2","300","106011","1","1","wac_215_idle_arm_crossed","111004","203","-330","1"
"111","2","450","106431","1","1","wac_215_idle_normal2","111005","204","-360","1"
"111","","","","","1","","111006","","","131"
"112","","","0","","1","","112001","","","93"
"112","0.2","","wac_215_karin_talk_normal","","118511","","112002","1","","3"
"112","","0","vo_wac_220215_000","","vo_wac_220215","","112003","0","","21"
"112","0","1","【美食殿堂】的各位，\n謝謝你們過來！","0","118511","0.5","112004","10","1","11"
"112","","","","","112004","","112005","","","91"
"112","0.2","","wac_215_karin_idle_normal","","118511","","112006","1","","3"
"112","0.2","wac_215_talk_normal","wac_215_peko_oissu","0.2","105811","","112007","0","1","3"
"112","","0","vo_wac_220215_001","","vo_wac_220215","","112008","0","","21"
"112","0","1","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","0","105811","0.5","112009","10","1","11"
"112","","","","","112009","","112010","","","91"
"112","0.2","","wac_215_idle_normal","","105811","","112011","1","","3"
"112","0.2","","wac_215_karin_talk_normal","","118511","","112012","1","","3"
"112","","0","vo_wac_220215_002","","vo_wac_220215","","112013","0","","21"
"112","0","1","我今天有個重要的委託\n想要拜託各位。","0","118511","0.5","112014","10","1","11"
"112","","","","","112014","","112015","","","91"
"112","0.2","","wac_215_karin_idle_normal","","118511","","112016","1","","3"
"112","0.2","wac_215_talk_arm_crossed_loop","wac_215_talk_arm_crossed","0","106011","","112017","0","1","3"
"112","","0","vo_wac_220215_003","","vo_wac_220215","","112018","0","","21"
"112","0","1","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","0","106011","0.5","112019","10","1","11"
"112","","","","","112019","","112020","","","91"
"112","0.2","","wac_215_idle_arm_crossed","","106011","","112021","1","","3"
"112","0.2","","wac_215_karin_talk_normal","","118511","","112022","1","","3"
"112","","0","vo_wac_220215_004","","vo_wac_220215","","112023","0","","21"
"112","0","1","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","0","118511","0.5","112024","10","1","11"
"112","","","","","112024","","112025","","","91"
"112","0.2","","wac_215_karin_idle_normal","","118511","","112026","1","","3"
"112","0.2","wac_215_talk_normal","wac_215_shefy_humu","0.2","106431","","112027","0","1","3"
"112","","0","vo_wac_220215_005","","vo_wac_220215","","112028","0","","21"
"112","0","1","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","0","106431","0.5","112029","10","1","11"
"112","","","","","112029","","112030","","","91"
"112","0.2","","wac_215_idle_normal2_joy","","106431","","112031","1","","3"
"112","0.2","","wac_215_karin_talk_normal","","118511","","112032","1","","3"
"112","","0","vo_wac_220215_006","","vo_wac_220215","","112033","0","","21"
"112","0","1","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","0","118511","0.5","112034","10","1","11"
"112","","","","","112034","","112035","","","91"
"112","0.2","","wac_215_karin_idle_normal","","118511","","112036","1","","3"
"112","0.2","","wac_215_talk_sad","","106431","","112037","1","","3"
"112","","0","vo_wac_220215_007","","vo_wac_220215","","112038","0","","21"
"112","0","1","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","0","106431","0.5","112039","10","1","11"
"112","","","","","112039","","112040","","","91"
"112","0.2","","wac_215_idle_sad","","106431","","112041","1","","3"
"112","0.2","","wac_215_karin_talk_wish","","118511","","112042","1","","3"
"112","","0","vo_wac_220215_008","","vo_wac_220215","","112043","0","","21"
"112","0","1","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","0","118511","0.5","112044","10","1","11"
"112","","","","","112044","","112045","","","91"
"112","0.2","","wac_215_karin_idle_normal","","118511","","112046","1","","3"
"112","0.2","","wac_215_coccoro_talk_wish","","105911","","112047","1","","3"
"112","","0","vo_wac_220215_009","","vo_wac_220215","","112048","0","","21"
"112","0","1","這個計畫……還真是壯闊啊。\n花凜小姐。","0","105911","0.5","112049","10","1","11"
"112","","","","","112049","","112050","","","91"
"112","0.2","","wac_215_coccoro_idle_wish","","105911","","112051","1","","3"
"112","0.2","wac_215_peko_talk_guts2_loop","wac_215_peko_talk_guts2","0","105811","","112052","0","1","3"
"112","","0","vo_wac_220215_010","","vo_wac_220215","","112053","0","","21"
"112","0","1","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","0","105811","0.5","112054","10","1","11"
"112","","","","","112054","","112055","","","91"
"112","0.2","","wac_215_peko_idle_guts2","","105811","","112056","1","","3"
"112","","","0","","105811","","112057","","","4"
"112","","","0","","105911","","112058","","","4"
"112","0.2","","wac_215_idle_joy1","","105811","","112059","1","","3"
"112","0.2","","wac_215_idle_normal","","105911","","112060","1","","3"
"112","0.2","","wac_215_idle_surprise1","","106431","","112061","1","","3"
"112","0.2","wac_215_talk_anger2","wac_215_kyaru_anger","0.2","106011","","112062","1","1","3"
"112","","0","vo_wac_220215_011","","vo_wac_220215","","112063","0","","21"
