952cd36646f4ded1ddb9b9fc7c4a22e208f01b237f6843a2c29fc986091ee7dc,97562a3ec0c7a32b7b65491e1ad2c5af3510bf3c9af5f798055ec0350a759062,d14adc79f7f62ec3468e61b791f0de1742ee735d79e8681a903d13c5e0b2abc1,81e58a206fe9a82cb120e82ff57b4876cd28318f67a2ed5482003ffcbf65929b,63ee371768d066986c2cacf746db3ee0e79b01f91b676027c4aeff1f6c2c204c,f7e912ed0b4ae75f94dc2ff2bcfd7de4126a6a6c38aed1f7958ebb78335a6792,461ec3c9b3d60e9757428f6a0a3d9bb3220aa896eef226298e8df9a3eacece06,fdecb20375d3adc2a49410ad0347f74f959bc2795caf5b71b0cee39ed4933efd,59254db8b278bfeb8c4cbd6221dbef428db7de177067d83121198fe1f12e301c,5283b8f9821bd08f1f25f0371f652e5539eea434029f030779869c3b3ef292a1,8b5b4de675b99172f57572e7679702fa3d7c2ff6269bbd1b392568770c1ee02b,3181187ab06cff94038fb2c1a7ce297144720996121d5adb8620c1e597961408,04ed4fff762965237b6ce756fa3dcfc036aa90793b1f9dc05de521b271077c82,82f1b23a1c5aa4904ce8bf775ecb3e6559e763ac7dbc4d096547138d6f0e8f70
"1","1.47","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","2","2023/11/01 16:00:00","126401","克蘿茜","2024/01/16 15:59:59","10001","0","1","1","2002","-470"
"1","2.15","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","1","2023/11/01 16:00:00","126401","克蘿茜","2024/01/16 15:59:59","10002","0","2","2","2002","-470"
"1","0","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","2","2023/11/01 16:00:00","126501","萊拉耶爾","2024/01/16 15:59:59","10003","0","2","1","2002","-470"
"1","0","還請在此商店\n購買東西，\n享受愉快的旅途吧","1","2023/11/01 16:00:00","126501","萊拉耶爾","2024/01/16 15:59:59","10004","0","1","2","2002","-470"
"2","0","歡迎光臨\n可以利用巡遊幣\n來買東西喔","2","2024/01/16 16:00:00","127702","琳德","2024/04/23 15:59:59","10005","0","2","1","2002","-470"
"2","0","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","2","2024/01/16 16:00:00","127702","琳德","2024/04/23 15:59:59","10006","0","2","2","2002","-470"
"2","0","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","1","2024/01/16 16:00:00","127802","烏爾姆","2024/04/23 15:59:59","10007","0","1","1","2002","-470"
"2","6.5","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","1","2024/01/16 16:00:00","127802","烏爾姆","2024/04/23 15:59:59","10008","0","2","2","2002","-470"
"3","0","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","1","2024/04/16 16:00:00","129602","安涅默涅","2024/07/23 15:59:59","10009","0","2","1","2002","-470"
"3","0","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","1","2024/04/16 16:00:00","129602","安涅默涅","2024/07/23 15:59:59","10010","0","2","2","2002","-470"
"3","0","歡迎光臨\n用巡遊幣在這裡進行交換吧","1","2024/04/16 16:00:00","129701","涅妃‧涅羅","2024/07/23 15:59:59","10011","0","1","1","2002","-470"
"3","6.2","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","1","2024/04/16 16:00:00","129701","涅妃‧涅羅","2024/07/23 15:59:59","10012","0","2","2","2002","-470"
"4","3.1","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","5","2024/07/16 16:00:00","130301","華音","2024/10/23 15:59:59","10013","0","3","1","2002","-470"
"4","6.15","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","2","2024/07/16 16:00:00","130301","華音","2024/10/23 15:59:59","10014","0","3","2","2002","-470"
"4","0","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","2","2024/07/16 16:00:00","130401","拿娜","2024/10/23 15:59:59","10015","0","2","1","2002","-470"
"4","3.35","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","1","2024/07/16 16:00:00","130401","拿娜","2024/10/23 15:59:59","10016","0","2","2","2002","-470"
"5","0","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","1","2024/10/16 16:00:00","130502","鳳凰","2025/01/23 15:59:59","10017","0","1","1","2002","-470"
"5","3.18","我可沒有對外販售\n稱呼小鳳的權利哦？\n這是騎士先生的特別待遇！","1","2024/10/16 16:00:00","130502","鳳凰","2025/01/23 15:59:59","10018","0","2","2","2002","-470"
"5","0","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","4","2024/10/16 16:00:00","130503","鳳凰","2025/01/23 15:59:59","10019","0","4","3","2002","-470"
"5","4.9","你好～♪\n什麼都可以交換～\n小卡里莎除外。","2","2024/10/16 16:00:00","123301","涅婭","2025/01/23 15:59:59","10020","0","1","1","2002","-470"
"5","4.8","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","2","2024/10/16 16:00:00","123301","涅婭","2025/01/23 15:59:59","10021","0","1","2","2002","-470"
"6","4.922","哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","1","2025/01/16 16:00:00","133301","卡里莎","2025/04/24 15:59:59","10022","0","3","1","2002","-470"
"6","9.638","一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","5","2025/01/16 16:00:00","133301","卡里莎","2025/04/24 15:59:59","10023","0","3","2","2002","-470"
"6","2.88","歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","2","2025/01/16 16:00:00","133401","米亞","2025/04/24 15:59:59","10024","0","1","1","2002","-470"
"6","4.818","我蛻下的空殼\n會有人想要嗎～\n我是在說笑的啦！","1","2025/01/16 16:00:00","133401","米亞","2025/04/24 15:59:59","10025","0","5","2","2002","-470"
