861b58a42a9761b540b5556297c9bd81de11c58e00d8e4c0621f62417de236ca,2f0c43b8c762dd9c8be80c78e9e8c6a723e2b97957927e2fb26adb9cda20a1ed,e3a87cb7b310955e7c4ef8335c2c3f2fc4f9d37a652d7ddfa8b8a62eb940e522,5e4afc51abf21859a6c75a9881faf5d2e0403a55e52c190dd3fc7b326c8a738e,114fd2768c3ea623d0c9aca86584d82c3e618b8ca681a9f56df8457a6c627e43,6cb38c93f2ca4eeb25fafb2e6df994e1fc1a11a0a3b461aae4a951c3ce25d84b
"1","10009106","1","1","0","10009101"
"2","10009112","1","1","0","10009101"
"3","10010110","1","1","0","10010101"
"4","1001901","1","2","0","10019101"
"5","10021112","1","1","0","10021101"
"6","10025109","1","1","0","10025101"
"7","5025001","2","3","500810","10025"
"8","20009106","1","1","0","20009101"
"9","20009112","1","1","0","20009101"
"10","20010110","1","1","0","20010101"
"12","5042001","2","3","501001","10042"
"13","2001501","1","2","0","20015101"
"14","5044001","2","3","501031","10044"
"15","20016112","1","1","0","20016101"
"16","5046002","2","3","501103","10046"
"17","10049109","1","1","0","10049101"
"19","10066112","1","1","0","10066101"
"20","5066005","2","3","501291","10066"
"21","5042001","2","3","501001","10069"
"22","5044001","2","3","501031","10071"
"23","5068001","2","3","501341","10068"
"24","5070004","2","3","501353","10070"
"25","5070005","2","3","500016","10070"
"26","5072004","2","3","501364","10072"
"27","5072006","2","3","501365","10072"
"28","5046002","2","3","501103","10073"
"29","5074001","2","3","501383","10074"
"30","10076112","1","1","0","10076101"
"31","5076005","2","3","505036","10076"
"32","5078004","2","3","501451","10078"
"33","5080005","2","3","501463","10080"
"34","10082105","1","1","0","10082101"
"35","10082108","1","1","0","10082102"
"36","10082111","1","1","0","10082103"
"37","5082002","2","3","501160","10082"
"38","5082004","2","3","501031","10082"
"39","5082005","2","3","501483","10082"
"40","5084001","2","3","500368","10084"
"41","5084002","2","3","510306","10084"
"42","5084003","2","3","500039","10084"
"43","5085002","2","3","500368","10085"
"44","5085003","2","3","510203","10085"
"45","5085004","2","3","500272","10085"
"46","5085005","2","3","501501","10085"
"47","5088005","2","3","501810","10088"
"50","5042001","2","3","501001","20025"
"51","5090002","2","3","501541","10090"
"55","5044001","2","3","501031","20026"
"56","10093112","1","1","0","10093101"
"57","5066005","2","3","501291","10093"
"58","5046002","2","3","501103","20027"
"59","5092001","2","3","501031","10092"
"60","5092004","2","3","501551","10092"
"61","5094001","2","3","501593","10094"
"62","5068001","2","3","501341","10095"
"67","5025001","2","3","500810","20018"
"68","5096002","2","3","501613","10096"
"73","5070004","2","3","501353","10097"
"74","5070005","2","3","500016","10097"
"75","5098000","2","3","501031","10098"
"76","10098104","1","1","0","10098101"
"77","10098111","1","1","0","10098102"
"78","5072004","2","3","501364","10099"
"79","5072006","2","3","501365","10099"
"80","5100003","2","3","500837","10100"
"82","5074001","2","3","501383","10101"
"83","5074001","2","3","501383","10101"
"84","5102002","2","3","501873","10102"
"85","10103112","1","1","0","10103101"
"86","5076005","2","3","505036","10103"
"88","5108002","2","3","501911","10108"
"89","5104003","2","3","500133","10104"
"90","5078004","2","3","501451","10105"
"93","5110005","2","3","501931","10110"
"94","5111005","2","3","500013","10111"
"95","5080005","2","3","501463","10107"
"96","10109105","1","1","0","10109101"
"97","10109108","1","1","0","10109102"
"98","10109111","1","1","0","10109103"
"99","5082002","2","3","501160","10109"
"100","5082004","2","3","501031","10109"
