0b4100418668da818cb780806bb17be2b02580edf9724504f3e043dd8d5462e3,2ecb6fce627522bcc793debc21da7638825b977b38add13551208f1f0ec4b3a4,f5ba2204c83395f10ec68b4712c8992a0ff5c97c5b987a7f959f1fed1cce5ad9,6c1a05180884cb6a26cbe6329c143978a7bdc08c36b73f14c05c5bcdaf31784c,edcd63f04869d49d273a61a7eafd2ba5a9a22a5b7a86ccaae7e662316f6d168f
"加油！","2015/04/01 14:00:00","2099/08/01 14:59:59","100101","29"
"謝謝","2015/04/01 14:00:00","2099/08/01 14:59:59","100201","30"
"參戰","2015/04/01 14:00:00","2099/08/01 14:59:59","100301","31"
"早安~！！","2015/04/01 14:00:00","2099/08/01 14:59:59","100401","32"
"有點難為情呢","2021/12/09 12:00:00","2099/08/01 14:59:59","100501","59"
"好厲害喔～♪","2021/12/09 12:00:00","2099/08/01 14:59:59","100601","60"
"布丁～布丁～","2021/12/09 12:00:00","2099/08/01 14:59:59","100701","61"
"叫我嗎？","2021/12/09 12:00:00","2099/08/01 14:59:59","100801","62"
"就是現在！","2015/04/01 14:00:00","2099/08/01 14:59:59","100901","33"
"真是辛苦呀","2015/04/01 14:00:00","2099/08/01 14:59:59","101001","34"
"收到！","2015/04/01 14:00:00","2099/08/01 14:59:59","101101","35"
"開始囉─","2015/04/01 14:00:00","2099/08/01 14:59:59","101201","36"
"出現了！","2021/12/09 12:00:00","2099/08/01 14:59:59","101301","63"
"線索湊齊了呢","2021/12/09 12:00:00","2099/08/01 14:59:59","101401","64"
"好乖好乖♪","2021/12/09 12:00:00","2099/08/01 14:59:59","101501","65"
"OK！","2015/04/01 14:00:00","2099/08/01 14:59:59","101601","37"
"船到橋頭自然直","2015/04/01 14:00:00","2099/08/01 14:59:59","101701","38"
"我來教‧教‧你","2021/12/09 12:00:00","2099/08/01 14:59:59","101801","66"
"晚安","2015/04/01 14:00:00","2099/08/01 14:59:59","102001","39"
"哇！哇！","2015/04/01 14:00:00","2099/08/01 14:59:59","102101","40"
"抖~抖~","2015/04/01 14:00:00","2099/08/01 14:59:59","102201","41"
"怒怒","2015/04/01 14:00:00","2099/08/01 14:59:59","102301","42"
"辛苦啦…哇哇！？","2015/04/01 14:00:00","2099/08/01 14:59:59","102501","43"
"好累喔～","2021/12/09 12:00:00","2099/08/01 14:59:59","102601","67"
"呵呵呵…","2015/04/01 14:00:00","2099/08/01 14:59:59","102701","44"
"要上了！","2015/04/01 14:00:00","2099/08/01 14:59:59","102801","45"
"交給我！","2015/04/01 14:00:00","2099/08/01 14:59:59","102901","46"
"統一天下是也！","2021/12/09 12:00:00","2099/08/01 14:59:59","103001","68"
"晚晚安！","2015/04/01 14:00:00","2099/08/01 14:59:59","103101","47"
"真不好意思","2021/12/09 12:00:00","2099/08/01 14:59:59","103201","69"
"騙你的！","2021/12/09 12:00:00","2099/08/01 14:59:59","103301","70"
"乾杯！！","2015/04/01 14:00:00","2099/08/01 14:59:59","103401","48"
"已通報!!","2015/04/01 14:00:00","2099/08/01 14:59:59","103601","49"
"每日鍛鍊","2021/12/09 12:00:00","2099/08/01 14:59:59","103701","71"
"要不要……休息一下？","2021/12/09 12:00:00","2099/08/01 14:59:59","103801","72"
"剩下就拜託了…","2015/04/01 14:00:00","2099/08/01 14:59:59","104001","50"
"賜你守護……","2021/12/09 12:00:00","2099/08/01 14:59:59","104201","73"
"熱血沸騰啦！","2021/12/09 12:00:00","2099/08/01 14:59:59","104301","74"
"隨我而來吧！","2015/04/01 14:00:00","2099/08/01 14:59:59","104401","51"
"想吃…","2015/04/01 14:00:00","2099/08/01 14:59:59","104501","52"
"喵！","2015/04/01 14:00:00","2099/08/01 14:59:59","104601","53"
