688e638bf23ae3b9be046ba14598e43da30694f78b5cbdba32700ab0129d48cb,84c98777c3c2decfb9282b408057979400d9b18fc7917cb2164b56233c14c4d9,9b45c5b320dd584d0f7b9d56e85f914ed063c3285cd7613b078c5969a568bbc8,cdc23f65e5eb2f961568ce0db57671f3122526571a956b311757e0f4742f7815,47b1e5f1fb296e568da2dcecf4ec0122a602ddb0d86bd41041d0bea51b97dd5a,06f431ed3996612cac7bf8bac808aa4d20256f52f70926145595234de22a5552,0ac5c7ff8cd00da774ec6841edad9c1836b00a4530a884a25a5265e7e2c9b1b4,a6f00bfc773097ed2fc11b46681def2a041a5938c121bc4d81c65b4080270501,438bad497936afc3f29a40641bb4cc589735e52e5a310491abaa9e0d7dc6be9f,633874f8a79d6cb892346f00a80ff075c46d2813b1fbd13a8a20033b446e20d5,7163dc2699e80d876732212fed37d1470c5c6eff02d89401eccc9803ecdf0520,e3205ba71cff90e8b20c2c34b517fd72fafd412bd5c5c198a7cdda1c99106025,5ef5afd3b790fb9dc33216c9ae62b87b94d0b6b3c763c7a58a03c3b24964eedd,91fc9db5fcb867320b0a08492369756cdcf85bcf89f127d9ca0fd298a9337205,3342be10645c2ebc61486c62ceabd8df0d1f0482b4124d1a63a386cfc8dcf087
"100198","0","-30","0","0","bgm_MC170","0","0","100198","1","92407110","bgm_MC170","1.3","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","1","92407120","bgm_MC170","1.3","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","1","92407130","bgm_MC170","1.3","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","1","92407140","bgm_MC170","1.3","94002","-30"
"100198","0","20","0","0","bgm_MC170","0","0","100198","2","92407210","bgm_MC170","1.45","94002","-30"
"100198","0","20","0","0","bgm_MC170","0","0","100198","2","92407220","bgm_MC170","1.45","94002","-30"
"100198","0","20","0","0","bgm_MC170","0","0","100198","2","92407230","bgm_MC170","1.45","94002","-30"
"100198","0","20","0","0","bgm_MC170","0","0","100198","2","92407240","bgm_MC170","1.45","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","3","92407310","bgm_MC170","1.4","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","3","92407320","bgm_MC170","1.4","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","3","92407330","bgm_MC170","1.4","94002","-30"
"100198","0","-30","0","0","bgm_MC170","0","0","100198","3","92407340","bgm_MC170","1.4","94002","-30"
"101822","0","-30","0","0","bgm_MC170","0","0","101822","1","92408110","bgm_MC170","0.9","94002","-30"
"101822","0","-30","0","0","bgm_MC170","0","0","101822","1","92408120","bgm_MC170","0.9","94002","-30"
"101822","0","-30","0","0","bgm_MC170","0","0","101822","1","92408130","bgm_MC170","0.9","94002","-30"
"101822","0","-30","0","0","bgm_MC170","0","0","101822","1","92408140","bgm_MC170","0.9","94002","-30"
"101822","0","20","0","0","bgm_MC170","0","0","101822","2","92408210","bgm_MC170","1","94002","-30"
"101822","0","20","0","0","bgm_MC170","0","0","101822","2","92408220","bgm_MC170","1","94002","-30"
