d130755b69db034cfa2460553a6c8a55cfaf0262831d57ef059fe703f08d4893,a3ac6ebe473f4f59c2a9291a3c5df17de1bb937da78b54a036035d6cdb4dffbe,e622f7ef9ab1eb652a437853fb87b97f7e504cbbbf0d04b8f0dca7ed14ec5cd9,730853514a2c0a5588c3e2651ec35562071a065479ca440718c50e59f8270898,19caf039182c8cdfd62c5dd9c15dbdd2308391ef344127f3a649798ffb984aea,25577d41e57d8a128b748da526907682e43d55c1eb1417472532208701539491,e07fec18d18a191e39315a5b873e8cd9c9653139c19ce0c9e06a0af2c101ad24,93203a77864511d24b06fb75820520dbcbcdbe015f35395fa44a9e7e47c0bc22,ef5bfb902cc2ac4de13cf8e46acff70d51da458aa4e00e2d359d96a1a73ecf73,22214caff79d6ea1afe97edf45332a8511779adde222a4d2e105c6931066b2e1,0cb1a39c749748e7e746e4eed9cc1ca48ceeba991a59945ae52bbc8d044eaa8a,fc38159b2cd43c16af82e98c6076c54616f085a2f3515a27b49d949bb6484e64,47f8105415c960e14993f6ebc2af3948826983cfde6eba8fa8224b5fce7e91b1,a24a1d1517827823942069d9d417c16dee7774ed69bf0fbed112774e480782d9,bd2523360177e3045dbb5f6322869c10c13ad2c7c4b796b09c9d0e1b55802b26,d4ce54a93a744ccb7f86a6a8b4e9420983b888d25e3642fbaf3d5d587bd56656,99c64d724b6e8fa8617e43a5d9f8337608430c5ff3dc3596df15bb6c79a5daa8,75c6d06632ddaa6d56b513ec34fb172a3dcb3d41895743e0388fad75249feb53
"0","用空花大旋轉飛行共2000ｍ吧","0","5000","0","0","0","1","12","0","0","0","94002","0","0","0","0","2000"
"0","用空花大旋轉飛行共4000ｍ吧","0","10000","0","0","0","2","12","0","0","0","94002","0","0","0","0","4000"
"0","用空花大旋轉飛行共6000ｍ吧","0","15000","0","0","0","3","12","0","0","0","94002","0","0","0","0","6000"
"0","用空花大旋轉飛行共8000ｍ吧","0","20000","0","0","0","4","12","0","0","0","94002","0","0","0","0","8000"
"2","用空花大旋轉飛行共10000ｍ吧","0","50","0","0","0","5","8","5","0","0","91002","0","0","23001","0","10000"
"0","用空花大旋轉飛行共12000ｍ吧","0","25000","0","0","0","6","12","0","0","0","94002","0","0","0","0","12000"
"0","用空花大旋轉飛行共14000ｍ吧","0","30000","0","0","0","7","12","0","0","0","94002","0","0","0","0","14000"
"0","用空花大旋轉飛行共16000ｍ吧","0","35000","0","0","0","8","12","0","0","0","94002","0","0","0","0","16000"
"0","用空花大旋轉飛行共18000ｍ吧","0","40000","0","0","0","9","12","0","0","0","94002","0","0","0","0","18000"
"2","用空花大旋轉飛行共20000ｍ吧","0","50","0","0","0","10","8","5","0","0","91002","0","0","23001","0","20000"
"0","用空花大旋轉飛行共22000ｍ吧","0","55000","0","0","0","11","12","0","0","0","94002","0","0","0","0","22000"
"0","用空花大旋轉飛行共24000ｍ吧","0","35000","0","0","0","12","12","0","0","0","94002","0","0","0","0","24000"
"0","用空花大旋轉飛行共26000ｍ吧","0","40000","0","0","0","13","12","0","0","0","94002","0","0","0","0","26000"
"0","用空花大旋轉飛行共28000ｍ吧","0","45000","0","0","0","14","12","0","0","0","94002","0","0","0","0","28000"
"8","用空花大旋轉飛行共30000ｍ吧","0","1","0","0","23001","15","7","150","0","0","1405","10","0","91002","2","30000"
