199ca372b3b7d2391dd2ddeb1ff049c4146c2f30b20f235fd0821ca176b44957,4222c94b06509927f61473c518055437720d2997b81c52e1cc333a861d2c7752,6683595674f305d861dc7359121b3b18e3db57cc97d872cabae61ad1810abfbc,25f15642b9e2eb46d4469591181796f02c60547d8a9afa797de071041bf5f713,7029932c37fed0696ff0d35a0360d7fd2314f589ea32040891fcb7b40638585b,a97dad4d8e3ecbaf1c882c7d31f3fa9cfd5c448060d05f11469d198e8a143fbe,392f17d0cacef68f24d7731b4839cb5250a5f7592984e180cb95336faa812216,ed84801301d46cd457b67f01fa8d6874c9f0517f58c7c1f133e0ec755b4348ae,ffd9eb0e14e14f4f55eb860c698826a1502d9fc2d00b64d2e09b9072155c174e,a4c118bbb5bc32b301341e01aedd2f02811b304281421f34420873949a8997c5,8bec86c22d12d8a92b00a854e2c07d50df61fb9a1ff1dcaf363b8c0daccd0c4b,40b9ba9efbdd5bf15540c8a6bd3f013271e48b1d9877c48692385fe49ddae322,b75db5d02559d4de4dffbddbac0e30bcabf05f277412f939323662182f73a7f2,b525e34420b984964a05d858414b07e57e654f377194d76481f29bb262f6aac2,e7f773828d410d7f6ae4d2ab8b27713261661650af40320eb09e5218a169446a,26919ed156cc27a5d4be31038ba7ffbcbe1fd5a726fa764969087064b1e11492,0c3cfeb42474a5caea7bc3ff9dd3b65d6001517f1dc3c9b05b2413951a4fef84,af24979ff9a519f9a7b14187bfaac1ec25dc1928fb124d23a1d7e993d12c01fc
"91002","20","0","1","1","8","2","150000","0","5","12","150","5","20003","0","22003","94002","2"
"91002","15","0","6","2","8","2","100000","0","2","12","145","9","20003","0","22003","94002","2"
"91002","11","0","10","3","8","2","80000","0","5","12","140","19","20003","0","22002","94002","2"
"91002","10","0","20","4","8","2","80000","0","5","12","130","29","20003","0","22002","94002","2"
"91002","9","0","30","5","8","2","70000","0","4","12","120","39","20003","0","22002","94002","2"
"91002","8","0","40","6","8","2","70000","0","4","12","110","49","20003","0","22002","94002","2"
"91002","7","0","50","7","8","2","60000","0","3","12","100","99","20003","0","22002","94002","2"
"91002","2","0","100","8","8","2","40000","0","2","12","80","499","20003","0","22002","94002","2"
"91002","7","0","500","9","8","2","20000","0","1","12","50","999","20002","0","22002","94002","2"
"91002","4","0","1000","10","8","2","16000","0","3","12","20","4999","20002","0","22001","94002","2"
"91002","3","0","5000","11","8","2","9000","0","2","12","15","9999","20002","0","22001","94002","2"
"91002","8","0","10000","12","8","2","4000","0","1","12","10","11999","20001","0","22001","94002","2"
"91002","7","0","12000","13","8","2","3000","0","1","12","5","13999","20001","0","22001","94002","2"
"91002","6","0","14000","14","8","2","2000","0","1","12","4","14999","20001","0","22001","94002","2"
"91002","5","0","15000","15","8","2","1800","0","1","12","3","30000","20001","0","22001","94002","2"
