6daa3f60fb1cef5be466f72fb6b270fbe18a85e21542807d24d2b6c52fa58797,844282afa092cee598a06b3144625853d80c66e53ef32efd9ae36b492d59b078,ed263fdb0f8d1394ec160a16e66fa979c79afc55f3ecf0de3a1e7d54bf5a0940,e45b40321cedf309190d200dd3bbca1d56fb7480a95100b7983df57b036cf745,7c276623d04f70c04ea6ea5064538c87da7b3db6e4facfcd90fe3dba5808f7e9,f99b111fbde6e81177b884b36ea86ff275a9abbb22216b9afbffb22dea6e4bf8,9f09789b91419ea9b7a159ab0128c3e46abafd9dbe7f0f01af3ded61b999187d,c3b2b8a3457a5a33388c75aadd28e878c17991c1bfa8aa34484eeb46fa52975a,7c72790e64f3efd380c18d61e69700bd4b49c6fc705bc11e86b580dc29fc3c83,f6d27b69eea9027b1c1c12a04caa87bf5d93ba17191e8f3c82cc5d4a4e7e9b8d,e36404e485bc2ae34ca32f801672a323bf920e1285d089d92b82de6b457c4190,8ee80f5c02cd8ca4a6c887a83ec9d9692ded02504146d871123c57c5d387f888,596c220137fffabbd816c2fa75c85c990b04ee94285a35a67885ad5735566d21,f6c246c6c92a5673880b5790fdae47e7ae8365f46a5218ce820a4a7ad3523ac2,326cf3a162771389bc2a038c25ca399adebd902c5af39f1d6e4681b0bb9ff288,b56a6a1acf270607df99b0a223c2bbf280dc40a562ea17dbdc0d69f74084f814,a7147e168d3044d430087c0faf2320af78565c0bb247e46e9742fec71a5ff0f3,e7778eb2af4452af77a9053f41a854b054c6c5212c096225c2f944651e6fd745
"2","8","150000","12","22003","91002","94002","5","1","0","5","150","0","20003","20","1","0","2"
"2","8","100000","12","22003","91002","94002","2","2","0","9","145","0","20003","15","6","0","2"
"2","8","80000","12","22002","91002","94002","5","3","0","19","140","0","20003","11","10","0","2"
"2","8","80000","12","22002","91002","94002","5","4","0","29","130","0","20003","10","20","0","2"
"2","8","70000","12","22002","91002","94002","4","5","0","39","120","0","20003","9","30","0","2"
"2","8","70000","12","22002","91002","94002","4","6","0","49","110","0","20003","8","40","0","2"
"2","8","60000","12","22002","91002","94002","3","7","0","99","100","0","20003","7","50","0","2"
"2","8","40000","12","22002","91002","94002","2","8","0","499","80","0","20003","2","100","0","2"
"2","8","20000","12","22002","91002","94002","1","9","0","999","50","0","20002","7","500","0","2"
"2","8","16000","12","22001","91002","94002","3","10","0","4999","20","0","20002","4","1000","0","2"
"2","8","9000","12","22001","91002","94002","2","11","0","9999","15","0","20002","3","5000","0","2"
"2","8","4000","12","22001","91002","94002","1","12","0","11999","10","0","20001","8","10000","0","2"
"2","8","3000","12","22001","91002","94002","1","13","0","13999","5","0","20001","7","12000","0","2"
"2","8","2000","12","22001","91002","94002","1","14","0","14999","4","0","20001","6","14000","0","2"
"2","8","1800","12","22001","91002","94002","1","15","0","30000","3","0","20001","5","15000","0","2"
