c1545c0c090d780dbaf71851b01e6afeacdfe57d5d179c0afd2062c7fe7b5cd5,36e63f76b41370ffe4c51d94e0785846b604183e574dd30ada619b4e8ee9e260,823a21dfd0c1a22b249c67e524ddc8d1e589e55b305f24cae1f08f9eaaeadc8c,1dded5aef400b9c3297f96f8694b919ac43e4564a065379d5581bdeb187b4273,79716638a6cd104a6152a75af1dbd1f5527bc55a388dcc6171b4039026094f13,84f2cedd068de2b8d597fbfee79167ecac8b706d249e6b45f339f9857a021d8a
"750000011","0","0","0","0","750000101"
"750000021","0","0","0","0","750000201"
"750000031","0","0","0","0","750000301"
"750000041","0","0","0","0","750000401"
"750000051","0","0","0","0","750000501"
"750000061","0","0","0","0","750000601"
"750000071","0","0","0","0","750000701"
"750000081","0","0","0","0","750000801"
"750000091","0","0","0","0","750000901"
"750000101","0","0","0","0","750001001"
"750000111","0","0","0","0","750001101"
"750000121","0","0","0","0","750001201"
"760100011","0","0","0","0","760100101"
"760100021","0","0","0","0","760100201"
"760100031","0","0","0","0","760100301"
"760100041","0","0","0","0","760100401"
"760100051","0","0","0","0","760100501"
"760100061","0","0","0","0","760100601"
"760100071","0","0","0","0","760100701"
"760100081","0","0","0","0","760100801"
"760100091","0","0","0","0","760100901"
"760100101","0","0","0","0","760101001"
"760200011","0","0","0","0","760200101"
"760200021","0","0","0","0","760200201"
"760200031","0","0","0","0","760200301"
"760200041","0","0","0","0","760200401"
"760200051","0","0","0","0","760200501"
"760200061","0","0","0","0","760200601"
"760200071","0","0","0","0","760200701"
"760200081","0","0","0","0","760200801"
"760200091","0","0","0","0","760200901"
"760200101","0","0","0","0","760201001"
"760300011","0","0","0","0","760300101"
"760300021","0","0","0","0","760300201"
"760300031","0","0","0","0","760300301"
"760300041","0","0","0","0","760300401"
"760300051","0","0","0","0","760300501"
