0d9fb8c41df62bfd73c9cf74a295855da731d0b35cdb1951871cb45604a87031,76ce2cde8f091042e62df8680f4e1b1d9c446226e625d0dc538a680757aa3a24,7e5995bc076d98daed73c4debe10a4a08dfa6176be9308375326d6bb10543b45,aac4f1706e6c02796c95ad0814712b948fbce9d8d1199dc3e3ce4643cb8cbe0f,1b0343fa3935cf8a0bc59cfbe2d8d637a5d67134e21a16132675761f319dc600,85c949f8c555faab1f121b9ec44aa4e4512a68bf86719fc75aafb43cba88d4e8,babe209d642121139782fb8067bb96d39757facc675c3d639bcb8af3e0218887,7d9d7b3c0b8deb1aad52c1005f7923e7f47e5db99a4920176fe19d3bd84b13ed,86f43bc0d59f57c0a037b171d58310661eb023acd2be591f7a5ab04a9d73eec1,3b38cbc540ad7464928d203516eec8da0d57322563bcc8845656d74e7b167478,f9322de0397e618bfe45b9924c1f4c3448c8b796e270d7010d6a81427d788e88,e2dc4ab66d886a2e7f0d3999644bc6f6454f5d7efa7a63f67f9d669409bdb9da,f9db8de362e4f3a996593508f32a8dac6c9da20f7e1e09b0f0f4ddb2aca1443e
"10001","31012","0","0","0","0","60001","31038","0","0","0","0","60002"
"10002","31020","0","0","0","0","60011","31004","0","0","0","0","60012"
"10003","31010","0","0","0","0","60021","31017","0","0","0","0","60022"
"10004","31076","0","0","0","0","60031","31028","0","0","0","0","60032"
"10005","31080","0","0","0","0","60041","31032","0","0","0","0","60042"
"10006","31047","0","0","0","0","60051","31034","0","0","0","0","60052"
"10007","31082","0","0","0","0","60061","31022","0","0","0","0","60062"
"10008","31009","0","0","0","0","60071","31051","0","0","0","0","60072"
"10009","31085","0","0","0","0","60081","31029","0","0","0","0","60082"
"10010","31089","0","0","0","0","60091","31002","0","0","0","0","60092"
"10011","31090","0","0","0","0","60101","31011","0","0","0","0","60102"
"10012","31043","0","0","0","0","60111","31008","0","0","0","0","60112"
"10013","31093","0","0","0","0","60121","31018","0","0","0","0","60122"
"10014","31012","0","0","0","0","60131","31038","0","0","0","0","60132"
"10015","31053","0","0","0","0","60141","31045","0","0","0","0","60142"
"10016","31020","0","0","0","0","60151","31004","0","0","0","0","60152"
"10017","31098","0","0","0","0","60161","31025","0","0","0","0","60162"
"10018","31010","0","0","0","0","60171","31017","0","0","0","0","60172"
"10019","31101","0","0","0","0","60181","31050","0","0","0","0","60182"
"10020","31076","0","0","0","0","60191","31028","0","0","0","0","60192"
"10021","31105","0","0","0","0","60201","31014","0","0","0","0","60202"
"10022","31080","0","0","0","0","60211","31032","0","0","0","0","60212"
"10023","31056","0","0","0","0","60221","31040","0","0","0","0","60222"
"10024","31047","0","0","0","0","60231","31034","0","0","0","0","60232"
"10025","31112","0","0","0","0","60241","31036","0","0","0","0","60242"
"10026","31082","0","0","0","0","60251","31022","0","0","0","0","60252"
"10027","31037","0","0","0","0","60261","31005","0","0","0","0","60262"
"10028","31009","0","0","0","0","60271","31051","0","0","0","0","60272"
"10029","31116","0","0","0","0","60281","31044","0","0","0","0","60282"
"10030","31085","0","0","0","0","60291","31029","0","0","0","0","60292"
"10031","31121","0","0","0","0","60301","31021","0","0","0","0","60302"
"10032","31089","0","0","0","0","60311","31002","0","0","0","0","60312"
"10033","31123","0","0","0","0","60321","31049","0","0","0","0","60322"
"10034","31090","0","0","0","0","60331","31011","0","0","0","0","60332"
"10035","31126","0","0","0","0","60341","31042","0","0","0","0","60342"
"10036","31126","0","0","0","0","60341","31042","0","0","0","0","60342"
"10037","31043","0","0","0","0","60361","31008","0","0","0","0","60362"
"10038","31107","0","0","0","0","60371","31046","0","0","0","0","60372"
"10039","31093","0","0","0","0","60381","31018","0","0","0","0","60382"
"10040","31028","0","0","0","0","60391","31033","0","0","0","0","60392"
"10041","31053","0","0","0","0","60401","31045","0","0","0","0","60402"
"10042","31130","0","0","0","0","60411","31065","0","0","0","0","60412"
"10043","31101","0","0","0","0","60421","31050","0","0","0","0","60422"
"10044","31132","0","0","0","0","60431","31027","0","0","0","0","60432"
"10045","31105","0","0","0","0","60441","31014","0","0","0","0","60442"
"10046","31135","0","0","0","0","60451","31023","0","0","0","0","60452"
"10047","31056","0","0","0","0","60461","31040","0","0","0","0","60462"
"10048","31016","0","0","0","0","60471","31013","0","0","0","0","60472"
"10049","31112","0","0","0","0","60481","31036","0","0","0","0","60482"
"10050","31141","0","0","0","0","60491","31054","0","0","0","0","60492"
"10051","31037","0","0","0","0","60501","31005","0","0","0","0","60502"
"10052","31014","0","0","0","0","60511","31037","0","0","0","0","60512"
"10053","31098","0","0","0","0","60521","31025","0","0","0","0","60522"
"10054","31146","0","0","0","0","60531","31048","0","0","0","0","60532"
"10055","31116","0","0","0","0","60541","31044","0","0","0","0","60542"
"10056","31147","0","0","0","0","60551","31060","0","0","0","0","60552"
"10057","31121","0","0","0","0","60561","31021","0","0","0","0","60562"
"10058","31156","0","0","0","0","60571","31003","0","0","0","0","60572"
"10059","31156","0","0","0","0","60571","31003","0","0","0","0","60572"
"10060","31123","0","0","0","0","60591","31049","0","0","0","0","60592"
"10061","31158","0","0","0","0","60601","31010","0","0","0","0","60602"
"10062","31126","0","0","0","0","60611","31042","0","0","0","0","60612"
"10063","31126","0","0","0","0","60611","31042","0","0","0","0","60612"
"10064","31032","0","0","0","0","60631","31031","0","0","0","0","60632"
"10065","31107","0","0","0","0","60641","31046","0","0","0","0","60642"
"10066","31065","0","0","0","0","60651","31015","0","0","0","0","60652"
"10067","31028","0","0","0","0","60661","31033","0","0","0","0","60662"
"10068","31168","0","0","0","0","60671","31040","0","0","0","0","60672"
"10069","31130","0","0","0","0","60681","31065","0","0","0","0","60682"
"10070","31018","0","0","0","0","60691","31050","0","0","0","0","60692"
"10071","31132","0","0","0","0","60701","31027","0","0","0","0","60702"
"10072","31174","0","0","0","0","60711","31109","0","0","0","0","60712"
"10073","31135","0","0","0","0","60721","31023","0","0","0","0","60722"
"10074","31096","0","0","0","0","60731","31051","0","0","0","0","60732"
"10075","31016","0","0","0","0","60741","31013","0","0","0","0","60742"
"10076","31178","0","0","0","0","60751","31047","0","0","0","0","60752"
"10077","31141","0","0","0","0","60761","31054","0","0","0","0","60762"
"10078","31053","0","0","0","0","60771","31055","0","0","0","0","60772"
"10079","31014","0","0","0","0","60781","31037","0","0","0","0","60782"
"10080","31192","0","0","0","0","60791","31006","0","0","0","0","60792"
"10081","31146","0","0","0","0","60801","31048","0","0","0","0","60802"
