733f4a59c2fd40e4b7a1e0ecae915371ed8704eff166bdd8532fee2e55f61a02,cac52146ce8d6dc1f7a32f48cdb1dc3c62a7a40619ca8cf1ac256be0385f17ca,5dd8941d23e76f987c179d7aadc483cc5d0ef93fd700cd0f2762818eed92b978,39dea5ac83ee4a8773ac516910b4e8642ce3c20cef317449e7f15858e772bb5d,a4043c495d82081f5ea0679ef16a674b79d07946ae4217e1c6d712677a9ddfb2,7360674b6d8d374bb79ec78a9393e5a9a8200b0db1481de7c2187789414351e5,441c739a62bf33f69dd1475842cdd0a415f46a482203c081e746960b7345e229,3a64499252a3513c4cbfa42757ed104864e7b4594a06facfaf3a11d432ca96a3,c7268ece545ee37f8904e4571c509340e98e7bc726d560c4146089766e1c5084
"1","1","0","1","2018/11/08 16:00:00","2018/11/12 15:59:59","0","0","0"
"2","2","0","1","2018/11/30 16:00:00","2018/12/04 15:59:59","0","0","0"
"3","3","0","1","2019/02/13 16:00:00","2019/02/23 15:59:59","0","0","0"
"4","4","0","1","2019/05/03 16:00:00","2019/05/14 15:59:59","0","0","0"
"5","5","0","1","2019/07/01 16:00:00","2019/07/15 15:59:59","0","0","0"
"6","6","0","1","2019/08/01 16:00:00","2019/08/15 15:59:59","0","0","0"
"7","7","0","1","2019/12/13 16:00:00","2019/12/30 15:59:59","0","0","0"
"8","8","0","1","2020/04/22 16:00:00","2020/05/08 15:59:59","1","0","0"
"9","9","0","1","2020/06/22 16:00:00","2020/07/07 15:59:59","1","0","0"
"10","10","0","1","2020/08/03 16:00:00","2020/08/09 15:59:59","1","0","0"
"11","11","0","1","2020/12/21 05:00:00","2021/01/06 15:59:59","1","0","0"
"12","12","0","1","2021/02/11 16:00:00","2021/02/18 04:59:59","1","0","0"
"13","13","0","1","2021/04/16 16:00:00","2021/04/22 15:59:59","1","0","0"
"14","14","0","1","2021/04/27 16:00:00","2021/05/03 15:59:59","1","0","0"
"15","15","0","1","2021/06/19 05:00:00","2021/07/02 04:59:59","1","0","0"
"16","16","0","0","2021/07/02 05:00:00","2021/08/02 04:59:59","1","15","14"
"17","17","0","1","2021/09/01 05:00:00","2021/09/11 04:59:59","1","0","0"
"18","18","0","1","2021/12/17 05:00:00","2022/01/03 04:59:59","1","0","0"
"19","19","0","0","2022/01/03 05:00:00","2022/01/31 15:59:59","1","18","17"
"20","20","0","1","2022/03/07 05:00:00","2022/03/14 04:59:59","1","0","0"
"21","21","0","0","2022/03/14 05:00:00","2022/04/03 04:59:59","1","20","7"
"22","22","0","1","2022/04/25 05:00:00","2022/05/08 04:59:59","1","0","0"
"23","23","0","0","2022/05/08 05:00:00","2022/06/04 04:59:59","1","22","13"
"24","24","0","1","2022/06/19 05:00:00","2022/07/04 04:59:59","1","0","0"
"25","25","0","0","2022/07/04 05:00:00","2022/08/02 04:59:59","1","24","15"
"26","26","0","1","2022/09/01 05:00:00","2022/09/11 04:59:59","1","0","0"
"27","27","0","1","2022/12/17 05:00:00","2023/01/03 04:59:59","1","0","0"
"28","28","0","1","2023/02/26 05:00:00","2023/03/05 04:59:59","1","0","0"
"29","29","0","1","2023/04/26 05:00:00","2023/05/08 04:59:59","1","0","0"
"30","30","0","1","2023/06/19 05:00:00","2023/07/03 04:59:59","1","0","0"
"31","31","0","1","2023/08/27 05:00:00","2023/09/02 04:59:59","1","0","0"
"32","32","0","1","2023/12/16 05:00:00","2024/01/02 04:59:59","1","0","0"
"33","33","0","1","2024/02/29 05:00:00","2024/03/06 04:59:59","1","0","0"
"34","34","0","1","2024/04/23 05:00:00","2024/05/06 04:59:59","2","0","0"
