f5d1fc79d7821eefa21a1c1ca7f1b7db5079ef995bac061a236edc2cbeb105f6,17017e59e3b07e27f6db900273af58b0fdc7d4c04fef1c7a2f511d81789178ef,56e3810ed31e8e7590b75301643c41bead526a6647571215eddd2cb530e9a468,2db81614127e4823f3d16f87f754b70556d2c100e08199fa6c1559b23d113134
"10000","2019/08/15 04:59:00","1st Anniversary 特別登入獎勵","2019/08/01 05:00:00"
"10002","2020/02/07 04:59:59","1.5Year Anniversary 特別登入獎勵","2020/01/21 05:00:00"
"10003","2020/07/08 04:59:59","2nd Anniversary 特別登入獎勵","2020/06/22 05:00:00"
"10004","2021/02/26 04:59:59","2.5 Year Anniversary 特別登入獎勵","2021/02/09 05:00:00"
"10005","2021/08/15 04:59:59","3rd Anniversary 特別登入獎勵","2021/08/01 05:00:00"
"10006","2022/02/18 04:59:59","3.5 Year Anniversary 特別登入獎勵","2022/02/01 05:00:00"
"10007","2022/08/15 04:59:59","4th Anniversary 特別登入獎勵","2022/08/01 05:00:00"
"10008","2023/02/06 04:59:59","4.5 Year Anniversary 特別登入獎勵","2023/01/20 05:00:00"
"10009","2023/08/15 04:59:59","5th Anniversary 特別登入獎勵","2023/08/01 05:00:00"
"10010","2024/02/24 04:59:59","5.5 Year Anniversary 特別登入獎勵","2024/02/07 05:00:00"
"10011","2024/08/16 04:59:59","6th Anniversary 特別登入獎勵","2024/08/01 05:00:00"
"10012","2025/02/18 04:59:59","6.5 Year Anniversary 特別登入獎勵","2025/02/01 05:00:00"
"10013","2025/08/15 04:59:59","7th Year Anniversary 特別登入獎勵","2025/08/01 05:00:00"
