5ec144713ad706f3bf85143b8f9604b3ed022d47bdc35a5dd1cc6162c36b8fc7,2a62f559d6b01873a939728495c8cea77d0b9acac2c8c926f24ed7e0ac0e6540,5d4b98df73822c7dfb68684a2492d556708dce71ef4d444b91503d889f75a267,4265b00184ba17572caf3f3afb9f1d8f4543f31219b9d8217a4dbbbdaad2a7a2,9c8dc1e7f9ddf675cd39556dd5ea7c95092d2e5062112f00525fa982a811f4b8,c394a259807757dfbb6dc6d85b032884a2ff58e5e2df0a054c69955e3d754f22,bc8fa222c07e502f59a514ce664b92e7f8e9d7634760becae33840b7970bfc1c
"1","1001101","0","1","0","81001105","306700"
"1","1001102","0","1","0","81001106","306700"
"1","1001201","0","1","0","81001205","306800"
"1","1001202","0","1","0","81001206","306800"
"1","1001301","0","1","0","81001305","307000"
"1","1001302","0","1","0","81001306","307000"
"1","1001401","0","1","0","81001405","307500"
"1","1001402","0","1","0","81001406","307500"
"1","1001501","0","1","0","81001505","307300"
"1","1001502","0","1","0","81001506","307300"
"1","1001601","0","1","0","81001605","307700"
"1","1001602","0","1","0","81001606","307700"
"1","1001701","0","1","0","81001705","307400"
"1","1001702","0","1","0","81001706","307400"
"1","1001801","0","1","0","81001805","307900"
"1","1001802","0","1","0","81001806","307900"
"1","1001901","0","1","0","81001905","307800"
"1","1001902","0","1","0","81001906","307800"
"1","1002001","0","1","0","81002005","308100"
"1","1002002","0","1","0","81002006","308100"
"1","1002101","0","1","0","81002101","308000"
"1","1002102","0","1","0","81002102","308000"
"1","1002201","0","1","0","81002205","308300"
"1","1002202","0","1","0","81002206","308300"
"1","1002301","0","1","0","81002301","308200"
"1","1002302","0","1","0","81002302","308200"
"1","1002401","0","1","0","81002405","304705"
"1","1002402","0","1","0","81002406","304705"
"1","1002501","0","1","0","81002501","308400"
"1","1002502","0","1","0","81002502","308400"
"1","1002601","0","1","0","81002605","305004"
"1","1002602","0","1","0","81002606","305004"
"1","1002701","0","1","0","81002701","308600"
"1","1002702","0","1","0","81002702","308600"
"1","1002801","0","1","0","81002805","305205"
"1","1002802","0","1","0","81002806","305205"
"1","1002901","0","1","0","81002901","309300"
"1","1002902","0","1","0","81002902","309300"
"1","1003001","0","1","0","81003005","305500"
"1","1003002","0","1","0","81003006","305500"
"1","1003101","0","1","0","81003101","310000"
"1","1003102","0","1","0","81003102","310000"
"1","1003201","0","1","0","81003205","306000"
"1","1003202","0","1","0","81003206","306000"
"1","1003301","0","1","0","81000605","310300"
"1","1003302","0","1","0","81003301","310300"
"1","1003401","0","1","0","81001105","306700"
"1","1003402","0","1","0","81001106","306700"
"2.5","1003501","0","2.5","0","100021","310500"
"2.5","1003502","0","2.5","0","100531","310500"
"0.4","1003601","0","0.4","0","81003601","310600"
"0.4","1003602","0","0.4","0","81003602","310600"
"1","1003701","0","1","0","81001205","306800"
"1","1003702","0","1","0","81001206","306800"
"1.2","1003801","0","1.2","0","81003801","310700"
"1.2","1003802","0","1.2","0","81003802","310700"
"1","1003901","0","1","0","81001305","307000"
"1","1003902","0","1","0","81001306","307000"
"1","1004001","0","1","0","81004001","310800"
"1","1004002","0","1","0","81004002","310800"
"1","1004101","0","1","0","81001505","307300"
"1","1004102","0","1","0","81001506","307300"
"1","1004201","0","1","0","81004201","311100"
"1","1004202","0","1","0","81004202","311100"
"1","1004301","0","1","0","81001905","307800"
"1","1004302","0","1","0","81001906","307800"
"1","1004401","0","1","0","81004401","311300"
"1","1004402","0","1","0","81004402","311300"
"1","1004501","0","1","0","81002101","308000"
"1","1004502","0","1","0","81002102","308000"
"1","1004601","0","1","0","81004601","311400"
"1","1004602","0","1","0","81004602","311400"
"1","1004701","0","1","0","81002301","308200"
"1","1004702","0","1","0","81002302","308200"
"1","1004801","0","1","0","81002405","311500"
"1","1004802","0","1","0","81002406","311500"
"1","1004901","0","1","0","81002501","308400"
"1","1004902","0","1","0","81002502","308400"
"1.4","1005001","-28","1.4","0","81005001","311600"
"1.4","1005002","-28","1.4","0","81005002","311600"
"1","1005101","0","1","0","81002701","308600"
"1","1005102","0","1","0","81002702","308600"
"1","1005201","0","1","0","81000605","312100"
"1","1005202","0","1","0","81003301","312100"
"1","1005301","0","1","0","81001705","307400"
"1","1005302","0","1","0","81001706","307400"
"1","1005401","0","1","0","81003005","312200"
"1","1005402","0","1","0","81003006","312200"
"1","1005501","0","1","0","81002901","309300"
"1","1005502","0","1","0","81002902","309300"
"1","1005601","0","1","0","81005601","312300"
"1","1005602","0","1","0","81005602","312302"
"1","1005701","0","1","0","81003101","310000"
"1","1005702","0","1","0","81003102","310000"
"1.75","1005801","0","1.75","0","100021","312600"
"1.75","1005802","0","1.75","0","100531","312600"
"1","1005901","0","1","0","101821","312700"
"1","1005902","0","1","0","101841","312700"
"1","1006001","0","1","0","81000605","310300"
"1","1006002","0","1","0","81003301","310300"
"0.65","1006101","-27","0.65","0","81006101","312800"
"0.65","1006102","-27","0.65","0","81006102","312800"
"2.5","1006201","0","2.5","0","100021","310500"
"2.5","1006202","0","2.5","0","100531","310500"
"0.4","1006301","0","0.4","0","81003601","310600"
"0.4","1006302","0","0.4","0","81003602","310600"
"1","1006401","-30","1","0","81006401","313200"
"1","1006402","-30","1","0","81006402","313200"
"1.2","1006501","0","1.2","0","81003801","310700"
"1.2","1006502","0","1.2","0","81003802","310700"
"0.7","1006601","-25","0.7","0","81006601","313100"
"0.7","1006602","-25","0.7","0","81006602","313100"
"1","1006701","0","1","0","81004001","310800"
"1","1006702","0","1","0","81004002","310800"
"1.25","1006801","-26","1.25","0","81006801","313300"
"1.25","1006802","-26","1.25","0","81006802","313300"
"1","1006901","0","1","0","81004201","311100"
"1","1006902","0","1","0","81004202","311100"
"1.25","1007001","-30","1.25","0","81007001","314001"
"1.25","1007002","-30","1.25","0","81007002","314002"
"1","1007101","0","1","0","81004401","311300"
"1","1007102","0","1","0","81004402","311300"
"0.77","1007201","-27","0.77","0","81007201","314100"
"0.77","1007202","-27","0.77","0","81007202","314100"
"1","1007301","0","1","0","81004601","311400"
"1","1007302","0","1","0","81004602","311400"
"1.33","1007401","-33","1.33","0","81007401","314200"
"1.33","1007402","-33","1.33","0","81007402","314200"
"1","1007501","0","1","0","81002405","311500"
"1","1007502","0","1","0","81002406","311500"
"1.7","1007601","-20","1.7","0","81007601","314300"
"1.7","1007602","-20","1.7","0","81007602","314300"
"1.4","1007701","-28","1.4","0","81005001","311600"
"1.4","1007702","-28","1.4","0","81005002","311600"
"1.25","1007801","-33","1.25","0","81007801","314400"
"1.25","1007802","-33","1.25","0","81007802","314400"
"1","1007901","0","1","0","81000605","312100"
"1","1007902","0","1","0","81003301","312100"
"1","1008001","-20","1","0","81003006","314500"
"1","1008002","-20","1","0","81008002","314500"
"1","1008101","0","1","0","81003005","312200"
"1","1008102","0","1","0","81003006","312200"
"1.6","1008201","-25","1.6","0","81003205","314600"
"1.6","1008202","-25","1.6","0","81003206","314600"
"1","1008301","0","1","0","81005601","312300"
"1","1008302","0","1","0","81005602","312302"
"1","1008401","0","1","0","100111","314700"
"1","1008402","0","1","0","100431","314700"
"0.9","1008501","0","0.9","0","81008501","314800"
"0.9","1008502","0","0.9","0","81008504","314800"
"1.75","1008601","0","1.75","0","100021","312600"
"1.75","1008602","0","1.75","0","100531","312600"
"1","1008701","0","1","0","101821","312700"
"1","1008702","0","1","0","101841","312700"
"0.8","1008801","-20","0.8","0","81008801","315100"
"0.8","1008802","-20","0.8","0","81008802","315100"
"0.65","1008901","-27","0.65","0","81006101","312800"
"0.65","1008902","-27","0.65","0","81006102","312800"
"0.85","1009001","-25","0.85","0","102994","315400"
"0.85","1009002","-25","0.85","0","102997","315400"
"1","1009101","-30","1","0","81006401","313200"
"1","1009102","-30","1","0","81006402","313200"
"0.95","1009201","-20","0.95","0","103021","316000"
"0.95","1009202","-20","0.95","0","103011","316000"
"0.7","1009301","-25","0.7","0","81006601","313100"
"0.7","1009302","-25","0.7","0","81006602","313100"
"1.5","1009401","-20","1.5","0","102091","316200"
"1.5","1009402","-20","1.5","0","102111","316200"
"1.25","1009501","-26","1.25","0","81006801","313300"
"1.25","1009502","-26","1.25","0","81006802","313300"
"0.77","1009601","-27","0.77","0","102591","316300"
"0.77","1009602","-27","0.77","0","102601","316300"
"1.25","1009701","-30","1.25","0","81007001","314001"
"1.25","1009702","-30","1.25","0","81007002","314002"
"0.8","1009801","-27","0.8","0","81000405","316400"
"0.8","1009802","-27","0.8","0","81000406","316400"
"0.77","1009901","-27","0.77","0","81007201","314100"
"0.77","1009902","-27","0.77","0","81007202","314100"
"0.95","1010001","-20","0.95","0","81010001","316500"
"0.95","1010002","-20","0.95","0","81010002","316500"
"1.33","1010101","-33","1.33","0","81007401","314200"
"1.33","1010102","-33","1.33","0","81007402","314200"
"0.8","1010201","-27","0.8","0","81010201","316700"
"0.8","1010202","-27","0.8","0","81010202","316700"
"1.7","1010301","-20","1.7","0","81007601","314300"
"1.7","1010302","-20","1.7","0","81007602","314300"
"1","1010401","-20","1","0","100091","318000"
"1","1010402","-20","1","0","100381","318000"
"1.25","1010501","-33","1.25","0","81007801","314400"
"1.25","1010502","-33","1.25","0","81007802","314400"
"1","1010601","-27","1","0","101361","318200"
"1","1010602","-27","1","0","102961","318200"
"1","1010701","-20","1","0","81003006","314500"
"1","1010702","-20","1","0","81008002","314500"
"1.1","1010801","-17","1.1","0","81001505","318100"
"1.1","1010802","-17","1.1","0","81010802","318100"
"1.6","1010901","-25","1.6","0","81003205","314600"
"1.6","1010902","-25","1.6","0","81003206","314600"
"0.7","1011001","-25","0.7","0","101581","318500"
"0.7","1011002","-25","0.7","0","103141","318500"
"0.92","1011101","-28","0.92","0","103151","318600"
"0.92","1011102","-28","0.92","0","103161","318600"
"1","1011201","0","1","0","100111","314700"
"1","1011202","0","1","0","100431","314700"
"0.9","1011301","0","0.9","0","81008501","314800"
"0.9","1011302","0","0.9","0","81008504","314800"
"1.1","1011401","-27","1.1","0","81011401","318300"
"1.1","1011402","-27","1.1","0","81011402","318300"
"0.8","1011501","-20","0.8","0","81008801","315100"
"0.8","1011502","-20","0.8","0","81008802","315100"
"1.18","1011601","0","1.18","0","102091","318800"
"1.18","1011602","0","1.18","0","102111","318800"
"0.85","1011701","-25","0.85","0","102994","315400"
"0.85","1011702","-25","0.85","0","102997","315400"
"1.1","1011801","-25","1.1","0","81011801","319100"
"1.1","1011802","-25","1.1","0","81011802","319100"
"0.95","1011901","-20","0.95","0","103021","316000"
"0.95","1011902","-20","0.95","0","103011","316000"
"1.1","1012001","-17","1.1","0","81012001","318900"
"1.1","1012002","-17","1.1","0","81012002","318900"
"1.5","1012101","-20","1.5","0","102091","316200"
"1.5","1012102","-20","1.5","0","102111","316200"
"1.4","1012201","0","1.4","0","81012207","319000"
"1.4","1012202","0","1.4","0","81012208","319000"
"0.77","1012301","-27","0.77","0","102591","316300"
"0.77","1012302","-27","0.77","0","102601","316300"
"0.77","1012401","-55","0.77","0","103051","319300"
"0.77","1012402","-55","0.77","0","102601","319300"
"0.8","1012501","-27","0.8","0","81000405","316400"
"0.8","1012502","-27","0.8","0","81000406","316400"
"1.18","1012601","-30","1.18","0","81012601","319500"
"1.18","1012602","-30","1.18","0","81012602","319500"
"0.95","1012701","-20","0.95","0","81010001","316500"
"0.95","1012702","-20","0.95","0","81010002","316500"
"1.5","1012801","0","1.5","0","101111","320000"
"1.5","1012802","0","1.5","0","101131","320000"
"0.8","1012901","-27","0.8","0","81010201","316700"
"0.8","1012902","-27","0.8","0","81010202","316700"
"1","1013001","0","1","0","81011401","313702"
"1","1013002","0","1","0","81013002","313702"
"1","1013101","-20","1","0","100091","318000"
"1","1013102","-20","1","0","100381","318000"
"0.7","1013201","-50","0.7","0","100941","320200"
"0.7","1013202","-50","0.7","0","100961","320200"
