0b816017f6a285cd5a030c7534c23425df76c002468a6c4f88a89a59429cab06,ac8443037eef7897e48727022d2695f5294ad78bf77a61e13ccd85c90489b2b5,1df8a0aac6753fa4dd5124c1780f632b4fb6243d568e536588594ed8e84f8f7b,2ceb35eea134b42cbb28d334091b05ee406ab00189d026079f85d822a91c2424,f12ac3cc614ff8e67cc7e4c15736c03bfc020339a1b91c3304adcde1f7f977af,0420db722e26eabbf8ceee2f4518b0f3840a8cd99282ffbb1151bd74a9c0f805,6ed0658801eb417ab782126267b5c11de4ac508ea6433e273fc6356de5f44ad1,8c9acf9c9947f3b74f86e2fb78aba21ce2c4c51b7fd03ea860cce8a3efabd8ca,ee3edace5acf4e6709b43bbf68dfba7d37e2923dfc0a3ea53a03a17b3c036855,183d75f13c329fbcf3a6d224a920509d1f5f454fae5a4398184e44fcec1ef8a6,483727ab0313742b974d8d2de2df5a2b929df98a4d4bf06bfd2e28f19e04cef2,fd946d48b9da0640724f61d000580244f6ba9bb651272f3d6f158fb0ca4da317
"1","924072101","1","924073101","1","90","92407120","92407110","0","924071100","500000000","92407"
"2","924072102","1","924073102","2","90","92407130","92407120","92407110","924071200","1000000000","92407"
"3","924072103","1","924073103","3","90","92407140","92407130","92407120","924071300","1500000000","92407"
"3","924072104","1","924073104","4","90","0","92407140","92407130","924071400","0","92407"
"1","924072201","1","924073201","1","90","92407220","92407210","0","924072100","500000000","92407"
"2","924072202","1","924073202","2","90","92407230","92407220","92407210","924072200","1000000000","92407"
"3","924072203","1","924073203","3","90","92407240","92407230","92407220","924072300","1500000000","92407"
"3","924072204","1","924073204","4","90","0","92407240","92407230","924072400","0","92407"
"1","924072301","1","924073301","1","90","92407320","92407310","0","924073100","500000000","92407"
"2","924072302","1","924073302","2","90","92407330","92407320","92407310","924073200","1000000000","92407"
"3","924072303","1","924073303","3","90","92407340","92407330","92407320","924073300","1500000000","92407"
"3","924072304","1","924073304","4","90","0","92407340","92407330","924073400","0","92407"
"1","924082101","1","924083101","1","90","92408120","92408110","0","924081100","500000000","92408"
"2","924082102","1","924083102","2","90","92408130","92408120","92408110","924081200","1000000000","92408"
"3","924082103","1","924083103","3","90","92408140","92408130","92408120","924081300","1500000000","92408"
"3","924082104","1","924083104","4","90","0","92408140","92408130","924081400","0","92408"
"1","924082201","1","924083201","1","90","92408220","92408210","0","924082100","500000000","92408"
"2","924082202","1","924083202","2","90","92408230","92408220","92408210","924082200","1000000000","92408"
"3","924082203","1","924083203","3","90","92408240","92408230","92408220","924082300","1500000000","92408"
"3","924082204","1","924083204","4","90","0","92408240","92408230","924082400","0","92408"
"1","924082301","1","924083301","1","90","92408320","92408310","0","924083100","500000000","92408"
"2","924082302","1","924083302","2","90","92408330","92408320","92408310","924083200","1000000000","92408"
"3","924082303","1","924083303","3","90","92408340","92408330","92408320","924083300","1500000000","92408"
"3","924082304","1","924083304","4","90","0","92408340","92408330","924083400","0","92408"
"1","924092101","1","924093101","1","90","92409120","92409110","0","924091100","500000000","92409"
"2","924092102","1","924093102","2","90","92409130","92409120","92409110","924091200","1000000000","92409"
"3","924092103","1","924093103","3","90","92409140","92409130","92409120","924091300","1500000000","92409"
"4","924092104","1","924093104","4","90","0","92409140","92409130","924091400","0","92409"
"1","924092201","1","924093201","1","90","92409220","92409210","0","924092100","500000000","92409"
"2","924092202","1","924093202","2","90","92409230","92409220","92409210","924092200","1000000000","92409"
"3","924092203","1","924093203","3","90","92409240","92409230","92409220","924092300","1500000000","92409"
"4","924092204","1","924093204","4","90","0","92409240","92409230","924092400","0","92409"
"1","924092301","1","924093301","1","90","92409320","92409310","0","924093100","500000000","92409"
"2","924092302","1","924093302","2","90","92409330","92409320","92409310","924093200","1000000000","92409"
"3","924092303","1","924093303","3","90","92409340","92409330","92409320","924093300","1500000000","92409"
"4","924092304","1","924093304","4","90","0","92409340","92409330","924093400","0","92409"
"1","924102101","1","924103101","1","90","92410120","92410110","0","924101100","500000000","92410"
"2","924102102","1","924103102","2","90","92410130","92410120","92410110","924101200","1000000000","92410"
"3","924102103","1","924103103","3","90","92410140","92410130","92410120","924101300","1500000000","92410"
"4","924102104","1","924103104","4","90","0","92410140","92410130","924101400","0","92410"
"1","924102201","1","924103201","1","90","92410220","92410210","0","924102100","500000000","92410"
"2","924102202","1","924103202","2","90","92410230","92410220","92410210","924102200","1000000000","92410"
"3","924102203","1","924103203","3","90","92410240","92410230","92410220","924102300","1500000000","92410"
"4","924102204","1","924103204","4","90","0","92410240","92410230","924102400","0","92410"
"1","924102301","1","924103301","1","90","92410320","92410310","0","924103100","500000000","92410"
"2","924102302","1","924103302","2","90","92410330","92410320","92410310","924103200","1000000000","92410"
"3","924102303","1","924103303","3","90","92410340","92410330","92410320","924103300","1500000000","92410"
"4","924102304","1","924103304","4","90","0","92410340","92410330","924103400","0","92410"
"1","924112101","1","924113101","1","90","92411120","92411110","0","924111100","500000000","92411"
"2","924112102","1","924113102","2","90","92411130","92411120","92411110","924111200","1000000000","92411"
"3","924112103","1","924113103","3","90","92411140","92411130","92411120","924111300","1500000000","92411"
"4","924112104","1","924113104","4","90","0","92411140","92411130","924111400","0","92411"
"1","924112201","1","924113201","1","90","92411220","92411210","0","924112100","500000000","92411"
"2","924112202","1","924113202","2","90","92411230","92411220","92411210","924112200","1000000000","92411"
"3","924112203","1","924113203","3","90","92411240","92411230","92411220","924112300","1500000000","92411"
"4","924112204","1","924113204","4","90","0","92411240","92411230","924112400","0","92411"
"1","924112301","1","924113301","1","90","92411320","92411310","0","924113100","500000000","92411"
"2","924112302","1","924113302","2","90","92411330","92411320","92411310","924113200","1000000000","92411"
"3","924112303","1","924113303","3","90","92411340","92411330","92411320","924113300","1500000000","92411"
"4","924112304","1","924113304","4","90","0","92411340","92411330","924113400","0","92411"
"1","924122101","1","924123101","1","90","92412120","92412110","0","924121100","500000000","92412"
"2","924122102","1","924123102","2","90","92412130","92412120","92412110","924121200","1000000000","92412"
"3","924122103","1","924123103","3","90","92412140","92412130","92412120","924121300","1500000000","92412"
"4","924122104","1","924123104","4","90","0","92412140","92412130","924121400","0","92412"
"1","924122201","1","924123201","1","90","92412220","92412210","0","924122100","500000000","92412"
"2","924122202","1","924123202","2","90","92412230","92412220","92412210","924122200","1000000000","92412"
"3","924122203","1","924123203","3","90","92412240","92412230","92412220","924122300","1500000000","92412"
"4","924122204","1","924123204","4","90","0","92412240","92412230","924122400","0","92412"
"1","924122301","1","924123301","1","90","92412320","92412310","0","924123100","500000000","92412"
"2","924122302","1","924123302","2","90","92412330","92412320","92412310","924123200","1000000000","92412"
"3","924122303","1","924123303","3","90","92412340","92412330","92412320","924123300","1500000000","92412"
"4","924122304","1","924123304","4","90","0","92412340","92412330","924123400","0","92412"
