2a4252e60894fdada9fe8ad2438ccda5e2b77fb2a825c57e550153de0e25ac5b,b6dd6f8bd246a669834fdf6cb401195a1359ac153e76d4c4885cdedf32709394,0a93c4cac3226482b87a62f516de01cc6c9ab77a1a4555a8d59457d3d4a84450,575a0213163fe9b3e0e2fb7b332d36fe784b4ed3b9cfb9e8966267fd098b5bf6,71e6ec6347b60ba13008eda06a6d8d05cbfb57d4da07d2f4451c7cc04b8a1acf
"91002","30","8","72001001","20001001"
"22002","1","2","72001001","20001002"
"91002","30","8","72001002","20001003"
"22002","1","2","72001002","20001004"
"91002","30","8","72001003","20001005"
"22002","1","2","72001003","20001006"
"91002","30","8","72001004","20001007"
"22002","1","2","72001004","20001008"
"91002","30","8","72001005","20001009"
"22002","1","2","72001005","20001010"
"91002","30","8","72001006","20001011"
"22002","1","2","72001006","20001012"
"91002","30","8","72001007","20001013"
"22002","1","2","72001007","20001014"
"91002","30","8","72001008","20001015"
"22002","1","2","72001008","20001016"
"91002","30","8","72001009","20001017"
"22002","1","2","72001009","20001018"
"91002","30","8","72001010","20001019"
"22002","1","2","72001010","20001020"
"91002","30","8","72001011","20001021"
"22002","1","2","72001011","20001022"
"91002","30","8","72001012","20001023"
"22002","1","2","72001012","20001024"
"91002","30","8","72001013","20001025"
"22002","1","2","72001013","20001026"
"91002","30","8","72001014","20001027"
"22002","1","2","72001014","20001028"
"91002","200","8","72001015","20001029"
"22002","1","2","72001015","20001030"
"91002","60","8","72001016","20001031"
"22002","2","2","72001016","20001032"
"91002","60","8","72001017","20001033"
"22002","2","2","72001017","20001034"
"91002","60","8","72001018","20001035"
"22002","2","2","72001018","20001036"
"91002","60","8","72001019","20001037"
"22002","2","2","72001019","20001038"
"91002","300","8","72001020","20001039"
"22002","2","2","72001020","20001040"
"31012","5","2","72001021","20001041"
"31038","5","2","72001021","20001042"
"31012","5","2","72001022","20001043"
"31038","5","2","72001022","20001044"
"31012","10","2","72001023","20001045"
"31038","10","2","72001023","20001046"
"91002","30","8","72002001","20002001"
"22002","1","2","72002001","20002002"
"91002","30","8","72002002","20002003"
"22002","1","2","72002002","20002004"
"91002","30","8","72002003","20002005"
"22002","1","2","72002003","20002006"
"91002","30","8","72002004","20002007"
"22002","1","2","72002004","20002008"
"91002","30","8","72002005","20002009"
"22002","1","2","72002005","20002010"
"91002","30","8","72002006","20002011"
"22002","1","2","72002006","20002012"
"91002","30","8","72002007","20002013"
"22002","1","2","72002007","20002014"
"91002","30","8","72002008","20002015"
"22002","1","2","72002008","20002016"
"91002","30","8","72002009","20002017"
"22002","1","2","72002009","20002018"
"91002","30","8","72002010","20002019"
"22002","1","2","72002010","20002020"
"91002","30","8","72002011","20002021"
"22002","1","2","72002011","20002022"
"91002","30","8","72002012","20002023"
"22002","1","2","72002012","20002024"
"91002","30","8","72002013","20002025"
"22002","1","2","72002013","20002026"
"91002","30","8","72002014","20002027"
"22002","1","2","72002014","20002028"
"91002","200","8","72002015","20002029"
"22002","1","2","72002015","20002030"
"91002","60","8","72002016","20002031"
"22002","2","2","72002016","20002032"
"91002","60","8","72002017","20002033"
"22002","2","2","72002017","20002034"
"91002","60","8","72002018","20002035"
"22002","2","2","72002018","20002036"
"91002","60","8","72002019","20002037"
"22002","2","2","72002019","20002038"
"91002","300","8","72002020","20002039"
"22002","2","2","72002020","20002040"
"31020","5","2","72002021","20002041"
"31004","5","2","72002021","20002042"
"31020","5","2","72002022","20002043"
"31004","5","2","72002022","20002044"
"31020","10","2","72002023","20002045"
"31004","10","2","72002023","20002046"
"91002","30","8","72003001","20003001"
"22002","1","2","72003001","20003002"
"91002","30","8","72003002","20003003"
"22002","1","2","72003002","20003004"
"91002","30","8","72003003","20003005"
"22002","1","2","72003003","20003006"
"91002","30","8","72003004","20003007"
"22002","1","2","72003004","20003008"
"91002","30","8","72003005","20003009"
"22002","1","2","72003005","20003010"
