bf09b6ed1090fabb5bdec26f06c2410ff8cf6dc22a25d926b652804cf265acbc,de235b7402f856b3285de4f2199fe874ded73af1109ebc7d73d27cbd0da8e027,b8b391aef832172fb7962bbd82f4d32cccf23716c1a77a6155df985392789de6,76c97b6d236f6c63a89264aae3ba96ca033873dc1f0441401ba5edf7b15f08cf,1ed32dd3da7ea2757c0b0b83e92068f88ea26ade43dd98e7c12e4c3538705821,40656b62f7e47a1b15ef325fb02e5a8b7d01f65fd386b61c10fa6144b22fdf53,8009646ace09652c33126945838a947f54d3840c581ec0d495e0109ac2ea1b5b,94d66d023573327551e7421634d6d68f549600aef02dec90359ab17794905b00,641c1f241e9195b0f5728051b55f5db89ea40032986cb7688ec336ca6ca232f9,62d018a2871106ff56e8dc847920123b61ed0c2cd883a4d9003abcfe28287cac,8c205862c9aaa5d430c50bdac573817760b341d59f30b2ba4fb371380ca52edf,05d2002ffe93eaeb51bfbb0205f8277dea89a7c0b47275b7fc4b55ca06a3ff9c,57a173fe284b4f311a06794769deb8b8d1d10a75c183a3fcd62be8f049585a59,7bbbc7c61486e7edb21272e564d4e6144976be2974d020c2e5745228ac134f89,3082b64fad2e0012120a5c92db962da7497f0e3a7c438a83ae99673afb31ba9a,962e0866119f052a602a838b01f7a45387b0b057b99f09fab021e0f1ffad5929,8e604ce697779d9dbf0e31d12739ea79a9def72ecf3efde69e6fbdcc5947869f,154d1f6d0f7199c6987952a70184288914cb93b9e135bd71afa5ed97f5dc70e2,58b02697264562351bab0b57417f8911904ca76b27bb28cf5a969ccc0b2cad87,f45dec27c9c9abf86d575c0333a56c3ccc96e217f7e31accfa22ba5eb2ca0891,07e567befe9da2bfe870ff9c1cbe90a19c1787080646c6cd5c3d22d26dfa1f9a,e7b3d9a7c0fb0af9ed443e4830b51214570d9a06db59f8976e8e6dc870892891,5df904a5daca7c3e57d49467696fcfe631b2d1f5916f8c30e4bf6457b69855e3,36a4b3c9c1edfd6f9f4c079a9ff8ca3e542ae8562eee2f0d4da304d0c73f9b8a,196f8f556143b5682f49c7a63328f99b79b104cb1e4a076ca1514f162ffe5891,ba89c67096a347cdfa01b8cffec0e85fad031dce2020a5a8ed2440e35be3d674,e78ffec9993155ace7d287c2a41c9a0218f75ae0c22c9f6d070e14cb48f4c315
"5","0","0","0","2","5","1","0","0","10001","20002","0","5035003","8008","0","請看活動劇情前篇第3話。","94002","0","6001","0","23001","2500","0","10062","12","2","1"
"5","0","0","0","2","5","1","0","0","10002","20002","0","5035005","8008","0","請看活動劇情前篇的結局。","94002","0","6001","0","23001","5000","0","10062","12","2","1"
"5","0","0","0","2","5","3","0","0","10003","20002","0","10062201","9004","0","請通關3次活動前篇的HARD冒險1-1。","94002","0","6005","0","23001","7500","0","10062","12","2","1"
"5","0","0","0","2","1","3","0","0","10004","31126","0","1006202","9011","0","請打倒3次活動前篇的HARD Boss。","91002","0","6007","0","20002","50","0","10062","8","2","1"
"5","0","0","0","2","10","1","0","0","20001","20002","0","5036001","8008","0","請看活動劇情後篇第1話。","94002","0","6003","0","23001","10000","0","10063","12","2","2"
"5","0","0","0","2","10","1","0","0","20002","20002","0","0","9006","0","請重置1次討伐證交換。","94002","0","6002","0","23001","12500","0","10063","12","2","2"
"5","0","0","0","2","10","3","0","0","20003","20002","0","10063201","9004","0","請通關3次活動後篇的HARD冒險1-1。","94002","0","6005","0","23001","15000","0","10063","12","2","2"
"10","0","0","0","2","2","3","0","0","20004","31126","0","1006302","9011","0","請打倒3次活動後篇的HARD Boss。","91002","0","6007","0","20002","75","0","10063","8","2","2"
"5","0","0","0","2","10","1","0","0","30001","20003","0","5036003","8008","0","請看活動劇情後篇第3話。","94002","0","6003","0","23001","17500","0","10063","12","2","3"
"5","0","0","0","2","10","2","0","0","30002","20003","0","112601","6011","0","請將未央（NGs）的★提升到2。","94002","0","501","0","23001","20000","0","0","12","2","3"
"5","0","0","0","2","10","3","0","0","30003","20003","0","0","9006","0","請重置3次討伐證交換。","94002","0","6002","0","23001","22500","0","10063","12","2","3"
"5","112601","0","0","2","2","1","0","0","30004","31126","1","1006302","10000","0","請將未央（NGs）編入隊伍，打倒活動後篇的HARD Boss。","91002","0","6007","0","20003","100","0","10063","8","2","3"
"5","0","0","0","2","15","1","0","0","40001","20004","0","5036005","8008","0","請看活動劇情後篇的結局。","94002","0","6003","0","23001","25000","0","10063","12","2","4"
"5","0","0","0","2","15","5","0","0","40002","20004","0","0","9006","0","請重置5次討伐證交換。","94002","0","6002","0","23001","27500","0","10063","12","2","4"
"5","0","0","0","2","20","1","0","0","40003","20004","0","1006203","9011","0","請打倒活動前篇的VERY HARD Boss。","94002","0","6010","0","23001","30000","0","10062","12","2","4"
"20","0","0","0","2","4","1","0","0","40004","31126","0","1006303","9011","0","請打倒活動後篇的VERY HARD Boss。","91002","0","6010","0","20004","125","0","10063","8","2","4"
