a53cd2f1fc04bbcf35fdbd23af7b027309b8bf3154e5bc927967220b95d8b50a,b1c458d58bf3cbc6e3af1a1cdc4627e4222c465199c648272078cebdf5bc42de,5218dec99b2112f3aea0129e0f1703095c0f48a51bd30675e02fa8a8909a2053,06708476f96f7b9a2ea7e6bd6029a9cde73a27662ec0c610b86fbffe26092ccc,c7d553e7bf6fc639d9533edd73871cc8eb752f0d06968c6ede3cabceffdb238b,f9ff13bdb3cdb4d1a3b16b09cb2409a57a4c79f34b4d0c199fabb61358659c52
"20001","20001115","0","2000102","20001201","2000101"
"20001","0","2000101","2000103","0","2000102"
"20001","0","2000102","0","0","2000103"
"20002","20002115","0","2000202","20002201","2000201"
"20002","0","2000201","2000203","0","2000202"
"20002","0","2000202","0","0","2000203"
"20003","20003115","0","2000302","20003201","2000301"
"20003","0","2000301","2000303","0","2000302"
"20003","0","2000302","0","0","2000303"
"20004","20004115","0","2000402","20004201","2000401"
"20004","0","2000401","2000403","0","2000402"
"20004","0","2000402","0","0","2000403"
"20005","20005115","0","2000502","20005201","2000501"
"20005","0","2000501","2000503","0","2000502"
"20005","0","2000502","0","0","2000503"
"20006","20006115","0","2000602","20006201","2000601"
"20006","0","2000601","2000603","0","2000602"
"20006","0","2000602","0","0","2000603"
"20007","20007115","0","2000702","20007201","2000701"
"20007","0","2000701","2000703","0","2000702"
"20007","0","2000702","0","0","2000703"
"20008","20008115","0","2000802","20008201","2000801"
"20008","0","2000801","2000803","0","2000802"
"20008","0","2000802","0","0","2000803"
"20009","20009115","0","2000902","20009201","2000901"
"20009","0","2000901","2000903","0","2000902"
"20009","0","2000902","0","0","2000903"
"20010","20010115","0","2001002","20010201","2001001"
"20010","0","2001001","2001003","0","2001002"
"20010","0","2001002","0","0","2001003"
"20011","20011115","0","2001102","20011201","2001101"
"20011","0","2001101","2001103","0","2001102"
"20011","0","2001102","0","0","2001103"
"20012","20012115","0","2001202","20012201","2001201"
"20012","0","2001201","2001203","0","2001202"
"20012","0","2001202","0","0","2001203"
"20013","20013115","0","2001302","20013201","2001301"
"20013","0","2001301","2001303","0","2001302"
"20013","0","2001302","0","0","2001303"
"20014","20014115","0","2001402","20014201","2001401"
"20014","0","2001401","2001403","0","2001402"
"20014","0","2001402","0","0","2001403"
"20015","20015115","0","2001502","20015201","2001501"
"20015","0","2001501","2001503","0","2001502"
"20015","0","2001502","0","0","2001503"
"20016","20016115","0","2001602","20016201","2001601"
"20016","0","2001601","2001603","0","2001602"
"20016","0","2001602","0","0","2001603"
"20017","20017115","0","2001702","20017201","2001701"
"20017","0","2001701","2001703","0","2001702"
"20017","0","2001702","0","0","2001703"
"20018","20018115","0","2001802","20018201","2001801"
"20018","0","2001801","2001803","0","2001802"
"20018","0","2001802","0","0","2001803"
"20019","20019115","0","2001902","20019201","2001901"
"20019","0","2001901","2001903","0","2001902"
"20019","0","2001902","0","0","2001903"
"20020","20020115","0","2002002","20020201","2002001"
"20020","0","2002001","2002003","0","2002002"
"20020","0","2002002","0","0","2002003"
"20021","20021115","0","2002102","20021201","2002101"
"20021","0","2002101","2002103","0","2002102"
"20021","0","2002102","0","0","2002103"
"20022","20022115","0","2002202","20022201","2002201"
"20022","0","2002201","2002203","0","2002202"
"20022","0","2002202","0","0","2002203"
"20023","20023115","0","2002302","20023201","2002301"
"20023","0","2002301","2002303","0","2002302"
"20023","0","2002302","0","0","2002303"
"20024","20024115","0","2002402","20024201","2002401"
"20024","0","2002401","2002403","0","2002402"
"20024","0","2002402","0","0","2002403"
"20025","20025115","0","2002502","20025201","2002501"
"20025","0","2002501","2002503","0","2002502"
"20025","0","2002502","0","0","2002503"
"20026","20026115","0","2002602","20026201","2002601"
"20026","0","2002601","2002603","0","2002602"
"20026","0","2002602","0","0","2002603"
"20027","20027115","0","2002702","20027201","2002701"
"20027","0","2002701","2002703","0","2002702"
"20027","0","2002702","0","0","2002703"
"20028","20028115","0","2002802","20028201","2002801"
"20028","0","2002801","2002803","0","2002802"
"20028","0","2002802","0","0","2002803"
"20029","20029115","0","2002902","20029201","2002901"
"20029","0","2002901","2002903","0","2002902"
"20029","0","2002902","0","0","2002903"
"20030","20030115","0","2003002","20030201","2003001"
"20030","0","2003001","2003003","0","2003002"
"20030","0","2003002","0","0","2003003"
"20031","20031115","0","2003102","20031201","2003101"
"20031","0","2003101","2003103","0","2003102"
"20031","0","2003102","0","0","2003103"
"20032","20032115","0","2003202","20032201","2003201"
"20032","0","2003201","2003203","0","2003202"
"20032","0","2003202","0","0","2003203"
"20033","20033115","0","2003302","20033201","2003301"
"20033","0","2003301","2003303","0","2003302"
"20033","0","2003302","0","0","2003303"
"20034","20034115","0","2003402","20034201","2003401"
"20034","0","2003401","2003403","0","2003402"
"20034","0","2003402","0","0","2003403"
"20035","20035115","0","2003502","20035201","2003501"
"20035","0","2003501","2003503","0","2003502"
"20035","0","2003502","0","0","2003503"
"20036","20036115","0","2003602","20036201","2003601"
"20036","0","2003601","2003603","0","2003602"
"20036","0","2003602","0","0","2003603"
"20037","20037115","0","2003702","20037201","2003701"
"20037","0","2003701","2003703","0","2003702"
"20037","0","2003702","0","0","2003703"
"20038","20038115","0","2003802","20038201","2003801"
"20038","0","2003801","2003803","0","2003802"
"20038","0","2003802","0","0","2003803"
"20039","20039115","0","2003902","20039201","2003901"
"20039","0","2003901","2003903","0","2003902"
"20039","0","2003902","0","0","2003903"
"20040","20040115","0","2004002","20040201","2004001"
"20040","0","2004001","2004003","0","2004002"
"20040","0","2004002","0","0","2004003"
"20041","20041115","0","2004102","20041201","2004101"
"20041","0","2004101","2004103","0","2004102"
"20041","0","2004102","0","0","2004103"
"20042","20042115","0","2004202","20042201","2004201"
"20042","0","2004201","2004203","0","2004202"
"20042","0","2004202","0","0","2004203"
"20043","20043115","0","2004302","20043201","2004301"
"20043","0","2004301","2004303","0","2004302"
"20043","0","2004302","0","0","2004303"
"20044","20044115","0","2004402","20044201","2004401"
"20044","0","2004401","2004403","0","2004402"
"20044","0","2004402","0","0","2004403"
"20045","20045115","0","2004502","20045201","2004501"
"20045","0","2004501","2004503","0","2004502"
"20045","0","2004502","0","0","2004503"
"20046","20046115","0","2004602","20046201","2004601"
"20046","0","2004601","2004603","0","2004602"
"20046","0","2004602","0","0","2004603"
"20047","20047115","0","2004702","20047201","2004701"
"20047","0","2004701","2004703","0","2004702"
"20047","0","2004702","0","0","2004703"
"20048","20048115","0","2004802","20048201","2004801"
"20048","0","2004801","2004803","0","2004802"
"20048","0","2004802","0","0","2004803"
"20049","20049115","0","2004902","20049201","2004901"
"20049","0","2004901","2004903","0","2004902"
"20049","0","2004902","2004904","0","2004903"
"20050","20050115","0","2005002","20050201","2005001"
"20050","0","2005001","2005003","0","2005002"
"20050","0","2005002","0","0","2005003"
"20051","20051115","0","2005102","20051201","2005101"
"20051","0","2005101","2005103","0","2005102"
"20051","0","2005102","0","0","2005103"
"20052","20052115","0","2005202","20052201","2005201"
"20052","0","2005201","2005203","0","2005202"
"20052","0","2005202","0","0","2005203"
"20053","20053115","0","2005302","20053201","2005301"
"20053","0","2005301","2005303","0","2005302"
"20053","0","2005302","0","0","2005303"
"20054","20054115","0","2005402","20054201","2005401"
"20054","0","2005401","2005403","0","2005402"
"20054","0","2005402","0","0","2005403"
"20055","20055115","0","2005502","20055201","2005501"
"20055","0","2005501","2005503","0","2005502"
"20055","0","2005502","0","0","2005503"
"20056","20056115","0","2005602","20056201","2005601"
"20056","0","2005601","2005603","0","2005602"
"20056","0","2005602","0","0","2005603"
