36c627808541514759e8da80c7757a331cf3d87d7a7ece6d3e31e52bb025dbc2,f7c80a55fca52053f066bdf61073ca9bc44a1d990a00624f9cd4a42b54d72f81,126217f188daf2f2daffda0e32fb7f9a17c426684bf2a47140a073b0350e390c
"1","1","114601"
"2","2","114701"
"3","3","115601"
"5","4","115801"
"6","5","116801"
"7","6","117401"
"8","7","117801"
"9","8","119201"
"10","9","120801"
"12","10","121201"
"13","11","122101"
"14","12","122401"
"15","13","122801"
"16","14","123501"
"17","15","124101"
"20","16","124701"
"21","17","124901"
"22","18","125701"
"24","19","126701"
"25","20","127001"
"27","21","128301"
"28","22","128801"
"29","23","105801"
"30","24","105901"
"31","25","106001"
"32","26","106401"
