0d3f31ad1e661f5abdb224427ec2018e9c4430fb20787c5fcc45dd6796eed35b,f471def54f4408edc7fc6aaafcc4eeceecc26d50f5b7d5e2492682f206211dc7,873d603748533b2444fc951791a4c6ef78d248dd2ca5404a9601236825c7c94a,e5cc31f05466e285a41f918ee84a41a0f3172248f9bb3aa765a0fde2770adc74,4ff40f9f969bcf08ca7bd1975d7b3cd957a115fd3a4114bfbff4121fc11301ae,3ac2df7dff23ac3a3c23e5c7d1ed2b38f38ead4c2ab069685f59684180ef49e3,f080acef577176e91a3b3d5a3c32d6cd88a6276a5b66298f9845ab1b266b7477,461b69fa88daf6e14101f701c4028fcb72d46d5eea7da7bf1c65fc6b020086f3,ccc3f425b766d500272c2b220b9d32d46d880889cce4ce932d7c06e66742c06f
"1","610201101","","50","1.6","0","0","0","1"
"1","610201151","","-75","1.8","200","0","0","1"
"1","610201201","","50","1.6","0","0","0","1"
"1","610201202","","50","1.6","0","0","0","1"
"1","610201203","","50","1.6","0","0","0","1"
"1","610201251","","-75","1.65","200","0","0","1"
"1","610201252","","-75","1.8","200","0","0","1"
"1","610201253","","-75","1.8","200","0","0","1"
"1","610201301","","50","1.6","0","0","0","1"
"1","610201302","","50","1.6","0","0","0","1"
"1","610201303","","50","1.6","0","0","0","1"
"1","610201351","","-75","1.65","200","0","0","1"
"1","610201352","","-75","1.8","200","0","0","1"
"1","610201353","","-75","1.8","200","0","0","1"
"2","610201401","","0","1","0","0","1","0"
"3","610201402","","0","1","0","0","1","0"
"4","610201403","","0","1","0","0","1","0"
"2","610201451","","0","0.78","0","-200","0","0"
"3","610201452","","0","0.78","0","-140","0","0"
"4","610201453","","0","0.78","0","-60","0","0"
"2","610201501","","0","1","0","0","1","0"
"3","610201502","","0","1","0","0","1","0"
"4","610201503","","0","1","0","0","1","0"
"2","610201551","","0","0.78","0","-200","0","0"
"3","610201552","","0","0.78","0","-140","0","0"
"4","610201553","","0","0.78","0","-60","0","0"
"1","610202101","","-45","1.7","190","0","0","1"
"1","610202201","","-55","1.4","190","0","0","1"
"1","610202202","","-45","1.7","190","0","0","1"
"1","610202203","","-45","1.7","190","0","0","1"
"1","610202301","","-55","1.4","190","0","0","1"
"1","610202302","","-45","1.7","190","0","0","1"
"1","610202303","","-45","1.7","190","0","0","1"
"2","610202401","","0","1","0","-200","0","0"
"3","610202402","","0","1","0","-140","0","0"
"4","610202403","","0","1","0","-60","0","0"
"5","610202404","","0","1","0","-60","0","0"
"2","610202501","","0","1","0","-200","0","0"
"3","610202502","","0","1","0","-140","0","0"
"4","610202503","","0","1","0","-60","0","0"
"5","610202504","","0","1","0","-60","0","0"
"1","610203101","","-80","1.03","190","0","0","1"
"1","610203201","","-42","0.66","190","0","0","1"
"1","610203202","","-80","1.03","190","0","0","1"
"1","610203203","","-80","1.03","190","0","0","1"
"1","610203301","","-42","0.66","190","0","0","1"
"1","610203302","","-80","1.03","190","0","0","1"
"1","610203303","","-80","1.03","190","0","0","1"
"2","610203401","","0","0.78","0","-200","0","0"
"3","610203402","","0","0.78","0","-140","0","0"
"4","610203403","","0","0.78","0","-60","0","0"
"5","610203404","","0","0.78","0","-30","0","0"
"2","610203501","","0","0.78","0","-200","0","0"
"3","610203502","","0","0.78","0","-140","0","0"
"4","610203503","","0","0.78","0","-60","0","0"
