5870b839d2e694d8ae02f3c70e4e4519b6dcf9e02221ff5e494efbfdfae4c054,e02582977a508e57541eff3d79a25d970476701d6d81817d8df2f13777655241,a322a00fdb2d0d8e8a9fbd3796027d144aadec955d70beb473671bbbbe72b897,e4ee77277b50128d0f4766f0d49d89df1c4b84370bebbab266cb5b0ab1e0bcee,b5bf31d8b4e5654a7567f5e61a5339c36bed68ffb627b37834579a3c1c101c45,545ba0cf079463d992cee5e70e04abfcfa7eb9797bc6d0492ddc6112d0b70929,50cbb470b203131b337116e98df57ff8e05e623b65dbd534df602e41bc85e2ac,6d9ad046ce752c4588d2c8d9c62e53406d0bdc8f2450ff2a7f205d8eae5267e8,f4667438d9541e610fe99502b1bd857d692f70f6d3ac7b9d637acdb7e97f9228,110c376a8d566d6fb2c1efa1c793f06d99888c07a566d71c4a2f4c974d1828be,61fc60ff13710b1822cc5e74488487aa451cc2d7f1ca1660103a05c395df4cb5,d7e0e92f2017363105c11c5a84a0e3abd5eee94a73020d0f929ef7a0d1bb3f17
"80000","★3必中3周年轉蛋券","1","2","0","24009","80005","80005_1","1","80005_2","80005_3","1"
"80000","★3必中4周年轉蛋券","1","2","0","24010","80006","80006_1","1","80006_2","80006_3","1"
"80000","★3必中 公主連結慶典2023紀念轉蛋券","1","2","0","24014","80010","80010_1","1","80010_2","80010_3","1"
"80000","★3必中 5周年紀念轉蛋券","1","2","0","24015","80011","80011_1","1","80011_2","80011_3","1"
"80000","★3必中 新手衝刺轉蛋券","1","2","0","24016","80012","80012_1","1","80012_2","80012_3","1"
"80000","★3必中 公主連結慶典2024紀念轉蛋券","1","2","0","24017","80013","80013_1","1","80013_2","80013_3","1"
"80000","★3必中 公主連結慶典2025紀念轉蛋券","1","2","0","24018","80014","80014_1","1","80014_2","80014_3","1"
"80000","支援轉蛋券（火）2026","1","2","0","24019","80015","80015_1","1","80015_2","80015_3","1"
"80000","精選支援轉蛋券（火）2026","1","2","0","24020","80016","80016_1","1","80016_2","80016_3","1"
"80000","支援轉蛋券（闇）2026","1","2","0","24021","80017","80017_1","1","80017_2","80017_3","1"
"80000","精選支援轉蛋券（闇）2026","1","2","0","24022","80018","80018_1","1","80018_2","80018_3","1"
"80000","支援轉蛋券（水）2026","1","2","0","24023","80019","80019_1","1","80019_2","80019_3","1"
"80000","精選支援轉蛋券（水）2026","1","2","0","24024","80020","80020_1","1","80020_2","80020_3","1"
"80000","支援轉蛋券（風）2026","1","2","0","24025","80021","80021_1","1","80021_2","80021_3","1"
"80000","精選支援轉蛋券（風）2026","1","2","0","24026","80022","80022_1","1","80022_2","80022_3","1"
"80000","★3必中 新手衝刺任務轉蛋券","1","2","0","24027","80023","80023_1","1","80023_2","80023_3","1"
"80001","回歸10連轉蛋券","10","2","3","24028","80024","80024_1","1","80024_2","80024_3","0"
"80001","回歸SP10連轉蛋券","10","2","3","24029","80025","80025_1","1","80025_2","80025_3","0"
"80001","佐賀偶像是傳奇合作紀念 10連轉蛋券","10","2","2","24030","80026","80026_1","1","80026_2","80026_3","0"
"80000","2026 七夕紀念★3必中轉蛋券","1","2","0","24031","80027","80027_1","1","80027_2","80027_3","1"
"80000","支援轉蛋券（光）2026","1","2","0","24032","80028","80028_1","1","80028_2","80028_3","1"
"80000","精選支援轉蛋券（光）2026","1","2","0","24033","80029","80029_1","1","80029_2","80029_3","1"
"80000","8th Anniv. 線下活動★3必中轉蛋券","1","2","0","24034","80030","80030_1","1","80030_2","80030_3","1"
