4e58b8fa950a25ea6d91ae4ee8e07652ffeda2bd05627e4fd8b19af2268516ec,1a7e2d7ef0d6b8485065fac790c4e851a8b1b6a1d596a042ad93735be3be1061,20600913046441fd86e7c24819f3fc23604d18a93e4eb19a74d5d4f635c413d1,1aa4e02545bcfc6af72ca3b1beeb1ffa65110d2a33b127501c7c24a74757b114,63e3b2185fd695f8796949b8f8f6719ae6e7b6f52fc664d5e61200fe093da5e1,57ef8556997b4b40320b5a4a24221fd3e8feaacb38a064887b6bcfe32d68841e
"610010501","0","100","1","0","10010"
"610010502","0","250","1","0","10010"
"610010503","0","450","1","0","10010"
"610010601","6","440","2","4","10010"
"610010602","3","300","2","3","10010"
"610010603","1","140","2","2","10010"
"610010605","1","20","2","1","10010"
"610012501","0","80","1","0","10012"
"610012502","0","180","1","0","10012"
"610012503","0","280","1","0","10012"
"610012504","0","380","1","0","10012"
"610013501","0","-500","1","0","10013"
"610013502","0","-400","1","0","10013"
"610013503","0","-300","1","0","10013"
"610015501","0","0","1","0","10015"
"610015502","0","10","1","0","10015"
"610015503","0","20","1","0","10015"
"610017501","0","-180","1","0","10017"
"610017502","0","-80","1","0","10017"
"610021501","1","20","2","1","10021"
"610021502","1","140","2","2","10021"
"610021503","1","300","2","3","10021"
"610025501","0","-120","1","0","10025"
"610025502","0","-10","1","0","10025"
"610025503","0","30","1","0","10025"
"610027502","0","-220","1","0","10027"
"610027503","0","10","1","0","10027"
"610027504","0","800","1","0","10027"
"610027505","0","100","1","0","10027"
"610029501","0","-120","1","0","10029"
"610029502","0","-10","1","0","10029"
"610029503","0","30","1","0","10029"
"610031501","0","-120","1","0","10031"
"610031502","0","-40","1","0","10031"
"610031503","0","10","1","0","10031"
"610031504","0","50","1","0","10031"
"610033501","0","-120","1","0","10033"
"610033502","0","-10","1","0","10033"
"610033503","0","30","1","0","10033"
"610033504","0","-80","1","0","10033"
"610035501","0","10","1","0","10035"
"610035502","0","-120","1","0","10035"
"610035503","0","90","1","0","10035"
"610035601","0","-220","1","0","10035"
"610035602","0","10","1","0","10035"
"610035603","0","100","1","0","10035"
"610035604","0","800","1","0","10035"
"610037501","0","80","1","0","10037"
"610037502","0","180","1","0","10037"
"610037503","0","280","1","0","10037"
"610037504","0","380","1","0","10037"
"610038501","0","-120","1","0","10038"
"610038502","0","-40","1","0","10038"
"610038503","0","10","1","0","10038"
"610038504","0","50","1","0","10038"
"610039501","0","-500","1","0","10039"
"610039502","0","-400","1","0","10039"
"610039503","0","-300","1","0","10039"
"610040501","0","-205","1","0","10040"
"610040502","0","122","1","0","10040"
"610040503","0","25","1","0","10040"
"610040504","0","295","1","0","10040"
"610041501","0","0","1","0","10041"
"610041502","0","10","1","0","10041"
"610041503","0","20","1","0","10041"
"610042501","0","-120","2","0","10042"
"610042502","0","-40","2","0","10042"
"610042503","0","10","2","0","10042"
"610045501","1","20","2","1","10045"
"610045502","1","140","2","2","10045"
"610045503","1","300","2","3","10045"
"610046404","0","-275","1","0","10046"
"610046405","0","-45","1","0","10046"
"610046406","0","115","1","0","10046"
"610046407","0","175","1","0","10046"
"610048601","0","-150","2","0","10048"
"610048602","0","-145","2","0","10048"
"610049501","0","-120","1","0","10049"
"610049502","0","-10","1","0","10049"
"610049503","0","30","1","0","10049"
"610050404","1","20","1","1","10050"
"610050405","1","140","1","2","10050"
"610050406","1","300","1","3","10050"
"610051502","0","-220","1","0","10051"
"610051503","0","10","1","0","10051"
"610051505","0","100","1","0","10051"
"610052401","0","20","1","1","10052"
"610052402","0","140","1","2","10052"
"610052403","0","300","1","3","10052"
"610053501","0","-180","1","0","10053"
"610053502","0","-80","1","0","10053"
"610054501","0","-180","2","0","10054"
"610054502","0","20","2","0","10054"
"610054503","0","150","2","0","10054"
"610055501","0","-120","1","0","10055"
"610055502","0","-10","1","0","10055"
"610055503","0","30","1","0","10055"
"610057501","0","-120","1","0","10057"
"610057502","0","-40","1","0","10057"
"610057503","0","10","1","0","10057"
"610057504","0","50","1","0","10057"
"610058501","1","20","1","1","10058"
"610058502","1","140","1","2","10058"
"610058503","1","300","1","3","10058"
"610058601","0","200","1","0","10058"
"610058602","0","-200","1","0","10058"
"610059501","0","40","2","0","10059"
"610059502","0","-15","2","0","10059"
"610059503","0","-90","2","0","10059"
"610059504","0","200","2","0","10059"
"610060501","0","-120","1","0","10060"
"610060502","0","-10","1","0","10060"
"610060503","0","30","1","0","10060"
"610060504","0","-80","1","0","10060"
"610061501","0","-200","1","0","10061"
"610061502","0","-80","1","0","10061"
"610061503","0","100","1","0","10061"
"610062501","0","10","1","0","10174"
"610062502","0","-120","1","0","10174"
"610062503","0","90","1","0","10174"
"610062601","0","-220","1","0","10174"
"610062603","0","100","1","0","10174"
"610062604","0","150","1","0","10174"
"610065501","0","-120","1","0","10065"
"610065502","0","-40","1","0","10065"
"610065503","0","10","1","0","10065"
"610065504","0","50","1","0","10065"
"610066501","0","-220","2","0","10066"
"610066502","0","60","2","0","10066"
"610066503","0","89","2","0","10066"
"610067501","0","-205","1","0","10067"
"610067502","0","122","1","0","10067"
"610067503","0","25","1","0","10067"
"610067504","0","295","1","0","10067"
"610068501","0","-180","2","0","10068"
"610068502","0","20","2","0","10068"
"610068503","0","150","2","0","10068"
"610069501","0","-170","2","0","10069"
"610069502","0","-80","2","0","10069"
"610069503","0","120","2","0","10069"
"610070506","0","350","2","0","10070"
"610070507","0","250","2","0","10070"
"610070640","0","250","1","0","10070"
"610070641","0","350","1","0","10070"
"610070642","0","700","1","0","10070"
"610070643","0","800","1","0","10070"
"610072501","1","20","1","1","10072"
"610072502","1","140","1","2","10072"
