6e2ab73b61199c77887d48a98b5373878f9678938d9dd24f5cdcad314d5dc72f,6ecbf2799a3d40752884f5d46b5c426d373b0246e731ada9c53e1506c494b915,348b04ea703fc1271888d5e5e9251b9b8948bc46a77923cb2e348b50c2911cd3,828abc6c87305b4452e724087ce501c25d53845beea389cc4cfc7a59012ada9e,2afbe7ab316d510f8bf8cab5b79d8948aaf9dd23a338869eb133791f3efa07e3
"12","94002","150000","31000101","310001011"
"2","22003","10","31000101","310001012"
"12","94002","500000","31000102","310001021"
"2","22003","10","31000102","310001022"
"12","94002","500000","31000103","310001031"
"4","140001","5","31000103","310001032"
"2","25001","5","31000103","310001033"
"12","94002","500000","31000104","310001041"
"2","22003","10","31000104","310001042"
"12","94002","500000","31000105","310001051"
"4","140001","5","31000105","310001052"
"2","25001","5","31000105","310001053"
"12","94002","500000","31000106","310001061"
"2","22003","10","31000106","310001062"
"12","94002","500000","31000107","310001071"
"4","140001","5","31000107","310001072"
"2","25001","5","31000107","310001073"
"12","94002","500000","31000108","310001081"
"2","22003","10","31000108","310001082"
"12","94002","500000","31000109","310001091"
"4","140001","5","31000109","310001092"
"2","25001","5","31000109","310001093"
"12","94002","150000","31001101","310011011"
"2","22003","5","31001101","310011012"
"12","94002","150000","31001102","310011021"
"2","22003","5","31001102","310011022"
"12","94002","150000","31001103","310011031"
"2","22003","5","31001103","310011032"
"12","94002","150000","31001111","310011111"
"2","22003","5","31001111","310011112"
"12","94002","200000","31001112","310011121"
"2","22003","5","31001112","310011122"
"12","94002","150000","31001201","310012011"
"2","22003","5","31001201","310012012"
"12","94002","150000","31001202","310012021"
"2","22003","5","31001202","310012022"
"12","94002","150000","31001203","310012031"
"2","22003","5","31001203","310012032"
"12","94002","150000","31001211","310012111"
"2","22003","5","31001211","310012112"
"12","94002","200000","31001212","310012121"
"2","22003","5","31001212","310012122"
"12","94002","150000","31001301","310013011"
"2","22003","5","31001301","310013012"
"12","94002","150000","31001302","310013021"
"2","22003","5","31001302","310013022"
"12","94002","150000","31001303","310013031"
"2","22003","5","31001303","310013032"
"12","94002","150000","31001311","310013111"
"2","22003","5","31001311","310013112"
"12","94002","200000","31001312","310013121"
"2","22003","5","31001312","310013122"
"12","94002","150000","31001401","310014011"
"2","22003","5","31001401","310014012"
"12","94002","150000","31001402","310014021"
"2","22003","5","31001402","310014022"
"12","94002","150000","31001403","310014031"
"2","22003","5","31001403","310014032"
"12","94002","150000","31001411","310014111"
"2","22003","5","31001411","310014112"
"12","94002","200000","31001412","310014121"
"2","22003","5","31001412","310014122"
"12","94002","150000","31002101","310021011"
"2","22003","5","31002101","310021012"
"12","94002","150000","31002102","310021021"
"2","22003","5","31002102","310021022"
"12","94002","150000","31002103","310021031"
"2","22003","5","31002103","310021032"
"8","91002","50","31002104","310021041"
"12","94002","150000","31002111","310021111"
"2","22003","5","31002111","310021112"
"12","94002","200000","31002112","310021121"
"2","22003","5","31002112","310021122"
"8","91002","100","31002113","310021131"
"12","94002","150000","31003101","310031011"
"2","22003","5","31003101","310031012"
"12","94002","150000","31003102","310031021"
"2","22003","5","31003102","310031022"
"12","94002","150000","31003103","310031031"
"2","22003","5","31003103","310031032"
"8","91002","50","31003104","310031041"
"12","94002","150000","31003111","310031111"
"2","22003","5","31003111","310031112"
"12","94002","200000","31003112","310031121"
"2","22003","5","31003112","310031122"
"8","91002","100","31003113","310031131"
"12","94002","150000","31003201","310032011"
"2","22003","5","31003201","310032012"
"12","94002","150000","31003202","310032021"
"2","22003","5","31003202","310032022"
"12","94002","150000","31003203","310032031"
"2","22003","5","31003203","310032032"
"8","91002","50","31003204","310032041"
"12","94002","150000","31003211","310032111"
"2","22003","5","31003211","310032112"
"12","94002","200000","31003212","310032121"
"2","22003","5","31003212","310032122"
"8","91002","100","31003213","310032131"
