ea65784590eae946edc7bb16aad87de252d2986f11f9e8f5592695d4e35da6d9,1b11678c3c4b1acb14eb3b3820b548b331fd7e5c9f9eb342a59b6c722bd67a30,5cb1067f8705a66cd619b04b689ca2db555aaf9565bf7427652dd225230c2db9,44081a4d91e3466b3eb07251b5316eb5ecc5e215caea3077ede9d2ae3a8e303c,f1b96b3eb3b7993a4d920b901b087053540677c7aa9d58981b30b6f37c10faec,62cbfd6460d4f6223dec0c69fe8b751479935d62e0544308ae14dbc88bd9b496,68861368fcd01bb408f0ecee24e0cae6677fe24ee92890b96b91cf35a6c11ce2
"10008111","1","0","","1","10008101","0"
"10008115","2","0","","1","10008112","0"
"10008103","3","0","","3","10008101","0"
"10008115","4","0","","3","10008105","0"
"150","5","0","","4","10008112","0"
"10028111","6","0","","1","10028101","0"
"10028115","7","0","","1","10028112","0"
"10028103","8","0","","3","10028101","0"
"10028115","9","0","","3","10028105","0"
"150","10","0","","4","10028112","0"
"20012104","11","20012107","","11","20012104","0"
"20012108","12","20012109","","11","20012108","0"
"20012110","13","20012114","","11","20012110","0"
"20012115","14","20012115","","11","20012115","0"
"120","15","0","","4","20012110","0"
"20008111","16","0","","1","20008101","0"
"20008115","17","0","","1","20008112","0"
"20008103","18","0","","3","20008101","0"
"20008115","19","0","","3","20008105","0"
"150","20","0","","4","20008112","0"
