644d6b1722416cea4f6ee17451dcc0590adfc6f8c47b32803c3c0ae3a516afe3,cb2f801c3925c9b60c1706ef29b7bd9e291eba6938cb575afc140282cbdd2877,993a0374d335075408b5d44e06911bbb449f888853439642761ed66da0018fc6,734b8e2ed8c0c4b988ccd11ffb863f8154fae4dda56757b2f9613b79e037648c,6bdd37682fa0e32fe86255335b971303a01ccf1e52b4aaa8994711dbeed9ffc2,ae22db89abf9b723afba99c5402071bdb663027f7e1dee15503e9aed97036027,fb4f8397a80cedf4d655fc29c7c18dbefa215425ac47e7732ee6206208689cfa
"71004025","10004","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","1","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","107601"
"71005025","10005","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","2","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","108001"
"71007031","10007","[3C404E]討伐NORMAL BOSS解放！","3","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108201"
"71009031","10009","[3C404E]討伐NORMAL BOSS解放！","4","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108501"
"71010031","10010","[3C404E]討伐NORMAL BOSS解放！","5","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108901"
"71011031","10011","[3C404E]討伐NORMAL BOSS解放！","6","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109001"
"71013031","10013","[3C404E]討伐NORMAL BOSS解放！","7","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109301"
"71017031","10017","[3C404E]討伐NORMAL BOSS解放！","8","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109801"
"71019031","10019","[3C404E]討伐NORMAL BOSS解放！","9","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","110101"
"72004021","20004","[3C404E]討伐NORMAL BOSS解放！","10","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","107601"
"71021035","10021","[3C404E]討伐NORMAL BOSS解放！","11","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","110501"
"72005021","20005","[3C404E]討伐NORMAL BOSS解放！","12","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108001"
"71025031","10025","[3C404E]討伐NORMAL BOSS解放！","13","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","111201"
"71026031","10026","[3C404E]討伐NORMAL BOSS解放！","15","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108201"
"71029031","10029","[3C404E]討伐NORMAL BOSS解放！","16","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","111601"
"71030031","10030","[3C404E]討伐NORMAL BOSS解放！","17","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108501"
"71031031","10031","[3C404E]討伐NORMAL BOSS解放！","18","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","112101"
"71032031","10032","[3C404E]討伐NORMAL BOSS解放！","19","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","108901"
"71033031","10033","[3C404E]討伐NORMAL BOSS解放！","20","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","112301"
"71035031","10035","[3C404E]討伐NORMAL BOSS解放！","21","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","112601"
"71034031","10034","[3C404E]討伐NORMAL BOSS解放！","22","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109001"
"71039031","10039","[3C404E]討伐NORMAL BOSS解放！","24","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109301"
"71042031","10042","[3C404E]討伐NORMAL BOSS解放！","25","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","113001"
"71043031","10043","[3C404E]討伐NORMAL BOSS解放！","26","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","110101"
"71044031","10044","[3C404E]討伐NORMAL BOSS解放！","27","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","113201"
"71046031","10046","[3C404E]討伐NORMAL BOSS解放！","28","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","113501"
"71045035","10045","[3C404E]討伐NORMAL BOSS解放！","29","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","110501"
"71049031","10049","[3C404E]討伐NORMAL BOSS解放！","30","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","111201"
"71050031","10050","[3C404E]討伐NORMAL BOSS解放！","31","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","114101"
"71053031","10053","[3C404E]討伐NORMAL BOSS解放！","32","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","109801"
"71054033","10054","[3C404E]討伐NORMAL BOSS解放！","33","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","114601"
"71055031","10055","[3C404E]討伐NORMAL BOSS解放！","34","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","111601"
"71056032","10056","[3C404E]討伐NORMAL BOSS解放！","35","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","114701"
