a3f6352a39c4a53347435bc035548ddfd660fd7de1b432a1d974b5880c05e89a,54a84820af715b94de00c053f4175721267e01724bae1b404a33f16a473c300f,77f246108c7b40ed6f69e2013df62cd48f97b039e8810f2e71da26de62e0c2a7,025c5579ef90004fd8dc756f0010ccce050dfb0b1b27df344a23284bcb88ea6e,770186e652cd8d38971250eea3668c7f76b5d894da239cc4d5d2e0054886d6f2,455528ae6996157b86c385f9e7f42eee20f3462147a887e77deec72717363303,54d68907197d1917b474137cc32a2531c0b6d0ab0f85f4569fbdcb0231de8b30
"10008101","1","1","0","10008111","","0"
"10008112","1","2","0","10008115","","0"
"10008101","3","3","0","10008103","","0"
"10008105","3","4","0","10008115","","0"
"10008112","4","5","0","150","","0"
"10028101","1","6","0","10028111","","0"
"10028112","1","7","0","10028115","","0"
"10028101","3","8","0","10028103","","0"
"10028105","3","9","0","10028115","","0"
"10028112","4","10","0","150","","0"
"20012104","11","11","20012107","20012104","","0"
"20012108","11","12","20012109","20012108","","0"
"20012110","11","13","20012114","20012110","","0"
"20012115","11","14","20012115","20012115","","0"
"20012110","4","15","0","120","","0"
"20008101","1","16","0","20008111","","0"
"20008112","1","17","0","20008115","","0"
"20008101","3","18","0","20008103","","0"
"20008105","3","19","0","20008115","","0"
"20008112","4","20","0","150","","0"
