5c6a75f02be8e98bcbb4399698291058a0ae3275648c32f1f9c1c671d49f9ac1,3d647ba33299ca48b98ab013bbe99c8dee8cea210ad8094ec49aa3c168aee786,97f64d7ff8e0bff3e7a8a6588fd1f8ef5bcaf29c7c86eb6808a28c084a12081f,ae47292a0cad45c59446467c835abc369d04bff8759042e88e847831c62f080e,253b0260624e64d97027708925748398f14b27346c0f3f214cc56c407b1bfadd,f0e4b48a366194f880737a1d263d6a7422050c5d477d243c5f7c3083d26d2588,70d940df509d50f39800bc5e3375fa30d106028785597fc6f12b14b8a959acd6,f9c38e04a4998ccb566dcd93799c6b79d71ac90579e1a3656f35b3731cef588e,ce648ac084f36527a7165aed8198302b90aba53ed247d63a6c79a6d79ef3fb9f,3635b58894b724135a651e32b0b9b7d654ba191644b28bd148a116d27112db72
"0","萊拉耶爾","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","126501","","1","1001"
"0","莫妮卡","取得最大1000里程","10001","","2","105301","","2","1002"
"0","克蘿茜","取得{0}個料理","1","","3","126401","","1","1003"
"0","茉莉","重新擲{0}次骰子","1","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","100501","重新擲{0}次骰子\n（還剩{1}次）","3","1004"
"0","七七香","重新擲{0}次骰子","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","101301","重新擲{0}次骰子\n（還剩{1}次）","2","1005"
"0","真琴","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","","5","104301","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","2","1006"
"0","惠理子","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","","5","102701","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","1007"
"0","杏奈","追加投擲骰子\n直到數字合計為{0}以上","7","","6","100901","追加投擲骰子\n直到數字合計為{0}以上","1","1008"
"0","深月","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","105101","","1","1009"
"0","伊緒","取得最大1000里程","10001","","2","101801","","2","1010"
"0","涅妃‧涅羅","可以選擇使用骰子的\n正面或背面","0","","8","129701","可以選擇使用骰子的\n正面或背面","2","1011"
"0","鈴奈","重新擲{0}次骰子","1","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","101601","重新擲{0}次骰子\n（還剩{1}次）","3","1012"
"0","流夏","重新擲{0}次骰子","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","105601","重新擲{0}次骰子\n（還剩{1}次）","2","1013"
"0","美美","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","","5","102001","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","1014"
"0","安涅默涅","追加投擲骰子\n直到數字合計為{0}以上","7","","6","129601","追加投擲骰子\n直到數字合計為{0}以上","1","1015"
"1","禊","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1","","10","100401","骰子擲出{0}時，可以讓對手休息{1}個回合","2","1016"
"1","琳德","骰子擲出{0}時，\n前進+{1}","2","","13","127701","骰子擲出{0}時，\n前進+{1}","3","1017"
"1","烏爾姆","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1","","10","127801","骰子擲出{0}時，\n可以讓對手休息{1}個回合","2","1018"
"0","美冬","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","104801","","1","1019"
"0","純","重新擲{0}次骰子","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","104701","重新擲{0}次骰子\n（還剩{1}次）","2","1020"
"0","美咲","追加投擲骰子\n直到數字合計為{0}以上","7","","6","105001","追加投擲骰子\n直到數字合計為{0}以上","1","1021"
"0","秋乃","取得最大2000里程","10002","","2","103201","","1","1022"
"0","庫露露","取得{0}張抽獎券","1","","12","130901","","1","1023"
"0","鈴莓","取得{0}個料理","1","","3","102501","","1","1024"
"0","雪","可以選擇使用骰子的\n正面或背面","0","","8","100801","可以選擇使用骰子的\n正面或背面","2","1025"
"0","涅婭","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","","5","123301","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","2","1026"
"0","珠希","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","104601","","1","1027"
"0","蘭法","重新擲{0}次骰子","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","118101","重新擲{0}次骰子\n（還剩{1}次）","2","1028"
"0","優花梨","追加投擲骰子\n直到數字合計為{0}以上","7","","6","103401","追加投擲骰子\n直到數字合計為{0}以上","1","1029"
"0","克蕾琪塔","取得最大2000里程","10002","","2","118001","","1","1030"
"0","咲戀","取得{0}張抽獎券","1","","12","102801","","1","1031"
"0","優衣","取得{0}個料理","1","","3","100201","","1","1032"
"1","初音","骰子擲出{0}時，\n前進+{1}","1","","13","101201","骰子擲出{0}時，\n前進+{1}","3","1033"
"0","美空","重新擲{0}次骰子","1","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","118201","重新擲{0}次骰子\n（還剩{1}次）","3","1034"
"0","矛依未","追加投擲骰子\n直到數字合計為{0}以上","7","","6","106101","追加投擲骰子\n直到數字合計為{0}以上","1","1035"
"0","忍","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","","5","103101","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","2","1036"
"0","真陽","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","103301","","1","1037"
"0","鏡華","取得最大2000里程","10002","","2","103601","","1","1038"
"0","格蕾斯","取得{0}張抽獎券","1","","12","133001","","1","1039"
"0","薇歐莉特","取得{0}個料理","1","","3","133101","","1","1040"
"0","拉比林斯達","可以選擇使用骰子的\n正面或背面","0","","8","106801","可以選擇使用骰子的\n正面或背面","2","1041"
"0","克莉絲提娜","重新擲{0}次骰子","1","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","107101","重新擲{0}次骰子\n（還剩{1}次）","3","1042"
"0","似似花","追加投擲骰子\n直到數字合計為{0}以上","7","","6","107001","追加投擲骰子\n直到數字合計為{0}以上","1","1043"
"0","嘉夜","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","","5","106501","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","2","1044"
"0","優妮","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","","1","111001","","1","1045"
"0","華音","取得最大2000里程","10002","","2","134901","","1","1046"
"0","紡希","取得{0}張抽獎券","1","","12","105401","","1","1047"
"0","鳳凰","取得{0}個料理","1","","3","134701","","1","1048"
