acdb1ff251b8b7aa92d2cb939a303030223ff350dedc26da7220a1c6398e78b8,6ee64f5f81d33bc77922d0d0403fb7358ea42aa76cde76c79bf129fe5f5eb65e,4cc1c550504a9eb5d35fa1c160bf17257164de3f721ef3ded803ef248e1b1a19,04f6be1fa5c2ba30776b2162d83784d1b452b515c95c28d12723e4c804495a7b,1afa01e0fca274bed113d8f737811c52270dbec932980212228afa54ab9e2c5e,3a5dfc37d15236e37162960cfc2ee38982c68bccb98459ab37fcc20d5796605b,0923b7bb99795e9ec35abe26d70d5522c5e65aefc0e474b256b08084ca76c932,f048bcc8b909a65c1cc6597c2f5550b2c04ae810b86676a8b1b3e9025120f6d8,38fad9b44ddd21a3beea3944196fb5dbb3ad17c1144f007a689c895b4f0ec2bb,4c09c8c6910e8ca29522257fb9d357a2ccb63047f0706a6fedd5a7b6e9dc3732,90cd1fd5cea69ca5c85e6c51dee541def31ef65849eb6baa98f1a02b52ed1246,e0de435466c8b83b8b171a3cd41833d80cbe2f241e26adb14c06d2ab9b013d97,c2bc6e2dfd9d8bd3c6d357f2cc90b216eb2aa68a9e91e9f46446e0805a53b4c3,4852196219875ae8bc157215f0fc329f1e3dbf1ba03169294558f93d7437abfd
"1000001","3.414","2030/01/01 14:59:59","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","1","1","1","0","花凜","190801","2","62","-416.5","2025/06/01 16:00:00"
"1000002","3.099","2030/01/01 14:59:59","將任務完成，\n並獲得獎勵吧！","1","2","1","0","花凜","190801","2","62","-416.5","2025/06/01 16:00:00"
"1000003","2.801","2030/01/01 14:59:59","似乎有能夠\n領取的獎勵了，\n請確認看看","1","3","1","0","花凜","190801","2","63","-416.5","2025/06/01 16:00:00"
"1000004","0","2030/01/01 14:59:59","能夠領取獎勵了！\n請檢查看看","1","4","2","0","花凜","190801","2","63","-416.5","2025/06/01 16:00:00"
"1000005","2.12","2030/01/01 14:59:59","這裡是公會管理協會！\n如果您持有活動獎勵券，就能夠交換各種道具哦","1","5","2","0","花凜","190801","1","64","-363","2025/06/01 16:00:00"
"1000006","1.68","2030/01/01 14:59:59","辛苦了！\n在這裡，能夠以活動獎勵券來換取道具哦","1","6","1","0","花凜","190801","2","64","-363","2025/06/01 16:00:00"
"1000007","2.33","2030/01/01 14:59:59","一直以來都很謝謝你！\n要交換獎勵嗎？\n那就以活動獎勵券來進行交換吧","1","7","2","0","花凜","190801","1","64","-363","2025/06/01 16:00:00"
"1020101","5.18","2030/01/01 14:59:59","這次的敵人對我來說\n也是無法置之不理的存在\n少年，我也會全力以赴\n一起保護這個世界吧","10201","101","3","-6","拉比林斯達","133701","7","61","-285","2025/06/01 16:00:00"
"1020102","8.77","2030/01/01 14:59:59","感覺到能消除無聊的\n戰鬥的氣息了啊，小子\n趕快帶我過去吧\n我會順手幫忙保護這個世界","10201","201","1","-2","克莉絲提娜","133901","2","61","-285","2025/06/01 16:00:00"
"1020103","15.5","2030/01/01 14:59:59","哦，需要我的力量……是嗎？\n格列戈爾會去幫忙的喔\n看你一臉想問我是不是不上場\n……我會考慮的","10201","301","6","0","似似花","133801","1","61","-285","2025/06/01 16:00:00"
"1020201","9.061","2030/01/01 14:59:59","只屬於我的演唱……\n你願意一起尋找嗎……？\n有你在身邊……\n我就能更加努力……","10202","101","2","0","蘭法","134301","5","61","-285","2025/07/01 16:00:00"
"1020202","7.699","2030/01/01 14:59:59","作為唱喚士，作為夥伴\n我都會盡我的全力\n……這些，都是\n多虧了你在背後推了我一把哦","10202","201","1","0","千歌","134401","2","61","-285","2025/07/01 16:00:00"
"1020301","8.595","2030/01/01 14:59:59","世界和平由我跟克蘿茜肩負了對吧？\n雖然對我這種邊緣人來說有點沉重，\n但、但如果是兩個人的話，\n我會扛下來給你看的！","10203","101","1","0","碧","134601","2","61","-285","2025/08/01 16:00:00"
"1020302","7.758","2030/01/01 14:59:59","靠著這對新獲得的翅膀……\n無論騎士先生在哪裡，\n我都會馬上飛馳而去！\n克蘿茜‧航空軀體，出動！","10203","201","1","0","克蘿茜","134501","2","61","-285","2025/08/01 16:00:00"
"1020401","7","2030/01/01 14:59:59","今天是和達令的第一次約會♪\n我們要一起逛街購物、然後……\n咦、我現在是通緝犯！？\n達、達令快救救我～！！","10204","101","2","0","露易絲瑪莉","132302","6","61","-285","2025/09/01 16:00:00"
"1020402","7.904","2030/01/01 14:59:59","露易的奶奶人好溫柔、\n總是笑咪咪的，彩羽好喜歡她♪\n不過彩羽最喜歡的地方，\n還是那對超大超帥氣的角～♪","10204","201","1","0","彩羽","132402","2","61","-285","2025/09/01 16:00:00"
"1020403","8.487","2030/01/01 14:59:59","多虧望好不容易讓營收穩定下來，\n結果卻要暫停營業，損失好大。\n……不過，為了露易，\n就讓我來拚一把吧。彩羽我們走～","10204","301","4","0","苑","132502","2","61","-285","2025/09/01 16:00:00"
"1020502","8.763","2030/01/01 14:59:59","哦～呵呵♪\n能與本小姐呼吸一樣的空氣，\n你該感到十分幸運才是～♪\n哦～呵呵呵～♪","10205","101","1","0","華音","134901","2","61","-285","2025/10/01 16:00:00"
"1020503","6.417","2030/01/01 14:59:59","要上囉，騎士先生！\n與華音一起同心協力……一起……\n……那個人到底是怎麼回事？\n我現在感到前所未有地不安耶！","10205","201","1","0","紡希","134801","3","61","-285","2025/10/01 16:00:00"
"1020601","10.335","2030/01/01 14:59:59","「實現願望的海岸」嗎………\n分明可疑，阿賀斗紫布菜她們\n卻在悠閒嬉戲……真是看不下去。\n騎士先生就由我來保護。","10206","101","3","0","厄莉絲","135001","7","61","-285","2025/11/01 16:00:00"
"1020602","6.281","2030/01/01 14:59:59","難得的暑假，\n偶爾也在海灘上悠哉一下吧。\n……咦，難道說這個夏天，\n也沒辦法好好休息嗎？","10206","201","2","0","雪菲","135101","4","61","-285","2025/11/01 16:00:00"
"1020603","12.244","2030/01/01 14:59:59","吃很多。吃飽飽。\n長、大大。\n應該，就能守護、正義。\n哥，一起。來吃、西瓜吧。","10206","301","1","0","普蕾西亞","135201","2","61","-285","2025/11/01 16:00:00"
"1020701","6.339","2030/01/01 14:59:59","一個夏日的冒險開始！\n安涅默涅小姐也能好好享受就好了。\n……可以的話，\n希望我們能再變得更要好一點……","10207","101","2","0","可璃亞","135301","8","61","-285","2025/12/01 16:00:00"
"1020702","8.184","2030/01/01 14:59:59","──夢幻之花……\n是否真的存在還是個謎──不過。\n要我陪同一起去找，\n也不是不可以。","10207","201","7","0","安涅默涅","135401","9","61","-285","2025/12/01 16:00:00"
"1020801","3.906","2030/01/01 14:59:59","啊哈哈！笑口常開福氣自來！\n我相信只要保持笑容，\n即使是複製品世界也會迎來未來！\n妳說對吧，志那都！","10208","101","9","0","埃拉","129101","2","61","-285","2026/01/01 16:00:00"
"1020802","14.465","2030/01/01 14:59:59","跨越反覆重置後的未來。\n無論許願幾次都無法求得的未來。\n……但我不會放棄的，絕對不會。\n妳也是對吧……埃拉？","10208","201","1","0","志那都","129201","2","61","-285","2026/01/01 16:00:00"
"1020803","8.662","2030/01/01 14:59:59","埃拉的世界裡，\n大家也都拚命地活著……！\n……但是卻遇到了世界的危機！\n我一定、一定會幫上忙的！","10208","301","4","0","日和","100101","3","61","-285","2026/01/01 16:00:00"
"1020804","10.915","2030/01/01 14:59:59","志那都……另一個我。\n她珍視的這個世界，\n我絕對不會讓它迎來終結……！\n為了和她一同歡笑的未來！","10208","401","1","0","怜","100301","3","61","-285","2026/01/01 16:00:00"
"1020901","6.042","2030/01/01 14:59:59","啊，你、你好……\n別、別一直盯著儂看。\n那個，儂會很害羞……\n身體會變熱，好像要融化了……","10209","101","1","0","雪野","135802","7","61","-285","2026/02/01 16:00:00"
"1020902","9.402","2030/01/01 14:59:59","為什麼我會變成幽靈……莫名其妙。\n這樣可是會死不瞑目呢。\n抱歉啦，但這也是某種緣分，\n請多指教啊，騎士公。","10209","201","4","0","剎鬼","135903","1","61","-285","2026/02/01 16:00:00"
"1020903","8.16","2030/01/01 14:59:59","嗚、嗚啾嚕……\n為了救活剎鬼姐接，\n首先，要先填飽肚子……！\n章魚燒，請享用吧。","10209","301","8","0","璐璐伊","136902","1","61","-285","2026/02/01 16:00:00"
"1021001","5","2030/01/01 14:59:59","許久沒造訪吉歐‧格黑納，\n在歡迎派對上竟發生了殺人事件！\n賭上蘭德索爾名偵探之名，\n就讓我來解開真相吧！","10210","101","3","0","霞","137401","2","61","-285","2026/03/01 16:00:00"
"1021002","8.12","2030/01/01 14:59:59","……我到底是什麼人呢？\n又到底來自何方呢？\n要是能查明這起事件的真相，\n感覺就能知道些什麼。","10210","201","4","0","阿剌克涅","136001","1","61","-285","2026/03/01 16:00:00"
"1021003","6.386","2030/01/01 14:59:59","什麼是「推理」和「駁回」，\n聽起來太難了，拿娜不懂……\n但是為了朋友與甜甜圈，\n拿娜會努力加油喔！","10210","301","4","0","拿娜","136202","2","61","-285","2026/03/01 16:00:00"
