4f352e6d87e0beadeefbb33cef9838cee428717fec108812c64f2556da63868f,cba941c6592a4747ffc1ed4d374345c23a73d335de0f02dd60ecb9a0ec6c1116,8ed0a253b6dd1b52115a8a150ca4257092c9feaa874ceb1220a7d7ebb954813b,0e67004f3a0d6603b1d370e48b50e9a9315a85f54c9e8a27f83c58bc64843c36,f7514e3bf92cd55b577ba46698882bf20b74321dfe97e837fc85f1bfeaa1064d,0a001742d68c90b7d5600d6eed3c705f4f805ed27102533ae18ab993f9545972,15cdc15597f69dd9a919312d7c711a2983da78ca1240e7dfed109db4e583b940
"810100104","810010011","810100102","810100105","810100103","810100101","81001001"
"810100204","810010021","810100202","810100205","810100203","810100201","81001002"
"810100304","810010031","810100302","810100305","810100303","810100301","81001003"
"810100404","810010041","810100402","810100405","810100403","810100401","81001004"
"810100504","810010051","810100502","810100505","810100503","810100501","81001005"
"810100604","810010061","810100602","810100605","810100603","810100601","81001006"
"810100704","810010071","810100702","810100705","810100703","810100701","81001007"
"810100804","810010081","810100802","810100805","810100803","810100801","81001008"
"810100904","810010091","810100902","810100905","810100903","810100901","81001009"
"0","810010101","0","0","0","810101001","81001010"
"810101104","810010111","810101102","810101105","810101103","810101101","81001011"
"810101204","810010121","810101202","810101205","810101203","810101201","81001012"
"810101304","810010131","810101302","810101305","810101303","810101301","81001013"
"810101404","810010141","810101402","810101405","810101403","810101401","81001014"
"810101504","810010151","810101502","810101505","810101503","810101501","81001015"
"810101604","810010161","810101602","810101605","810101603","810101601","81001016"
"810101704","810010171","810101702","810101705","810101703","810101701","81001017"
"810101804","810010181","810101802","810101805","810101803","810101801","81001018"
"810101904","810010191","810101902","810101905","810101903","810101901","81001019"
"0","810010201","0","0","0","810102001","81001020"
"810102104","810010211","810102102","810102105","810102103","810102101","81001021"
"810102204","810010221","810102202","810102205","810102203","810102201","81001022"
"810102304","810010231","810102302","810102305","810102303","810102301","81001023"
"810102404","810010241","810102402","810102405","810102403","810102401","81001024"
"810102504","810010251","810102502","810102505","810102503","810102501","81001025"
"810102604","810010261","810102602","810102605","810102603","810102601","81001026"
"810102704","810010271","810102702","810102705","810102703","810102701","81001027"
"810102804","810010281","810102802","810102805","810102803","810102801","81001028"
"810102904","810010291","810102902","810102905","810102903","810102901","81001029"
"0","810010301","0","0","0","810103001","81001030"
"810103104","810010311","810103102","810103105","810103103","810103101","81001031"
"810103204","810010321","810103202","810103205","810103203","810103201","81001032"
"810103304","810010331","810103302","810103305","810103303","810103301","81001033"
"810103404","810010341","810103402","810103405","810103403","810103401","81001034"
"810103504","810010351","810103502","810103505","810103503","810103501","81001035"
"810103604","810010361","810103602","810103605","810103603","810103601","81001036"
"810103704","810010371","810103702","810103705","810103703","810103701","81001037"
"810103804","810010381","810103802","810103805","810103803","810103801","81001038"
"810103904","810010391","810103902","810103905","810103903","810103901","81001039"
"0","810010401","0","0","0","810104001","81001040"
"810104104","810010411","810104102","810104105","810104103","810104101","81001041"
"810104204","810010421","810104202","810104205","810104203","810104201","81001042"
"810104304","810010431","810104302","810104305","810104303","810104301","81001043"
"810104404","810010441","810104402","810104405","810104403","810104401","81001044"
"810104504","810010451","810104502","810104505","810104503","810104501","81001045"
"810104604","810010461","810104602","810104605","810104603","810104601","81001046"
"810104704","810010471","810104702","810104705","810104703","810104701","81001047"
"810104804","810010481","810104802","810104805","810104803","810104801","81001048"
"810104904","810010491","810104902","810104905","810104903","810104901","81001049"
"0","810010501","0","0","0","810105001","81001050"
"810105104","810010511","810105102","810105105","810105103","810105101","81001051"
"810105204","810010521","810105202","810105205","810105203","810105201","81001052"
"810105304","810010531","810105302","810105305","810105303","810105301","81001053"
"810105404","810010541","810105402","810105405","810105403","810105401","81001054"
"810105504","810010551","810105502","810105505","810105503","810105501","81001055"
"810105604","810010561","810105602","810105605","810105603","810105601","81001056"
"810105704","810010571","810105702","810105705","810105703","810105701","81001057"
"810105804","810010581","810105802","810105805","810105803","810105801","81001058"
"810105904","810010591","810105902","810105905","810105903","810105901","81001059"
"0","810010601","0","0","0","810106001","81001060"
"810106104","810010611","810106102","810106105","810106103","810106101","81001061"
"810106204","810010621","810106202","810106205","810106203","810106201","81001062"
"810106304","810010631","810106302","810106305","810106303","810106301","81001063"
"810106404","810010641","810106402","810106405","810106403","810106401","81001064"
"810106504","810010651","810106502","810106505","810106503","810106501","81001065"
"810106604","810010661","810106602","810106605","810106603","810106601","81001066"
"810106704","810010671","810106702","810106705","810106703","810106701","81001067"
"810106804","810010681","810106802","810106805","810106803","810106801","81001068"
"810106904","810010691","810106902","810106905","810106903","810106901","81001069"
"0","810010701","0","0","0","810107001","81001070"
"810107104","810010711","810107102","810107105","810107103","810107101","81001071"
"810107204","810010721","810107202","810107205","810107203","810107201","81001072"
"810107304","810010731","810107302","810107305","810107303","810107301","81001073"
"810107404","810010741","810107402","810107405","810107403","810107401","81001074"
"810107504","810010751","810107502","810107505","810107503","810107501","81001075"
"810107604","810010761","810107602","810107605","810107603","810107601","81001076"
"810107704","810010771","810107702","810107705","810107703","810107701","81001077"
"810107804","810010781","810107802","810107805","810107803","810107801","81001078"
"810107904","810010791","810107902","810107905","810107903","810107901","81001079"
"0","810010801","0","0","0","810108001","81001080"
"820100104","820010011","820100102","820100105","820100103","820100101","82001001"
"820100204","820010021","820100202","820100205","820100203","820100201","82001002"
"820100304","820010031","820100302","820100305","820100303","820100301","82001003"
"820100404","820010041","820100402","820100405","820100403","820100401","82001004"
"820100504","820010051","820100502","820100505","820100503","820100501","82001005"
"820100604","820010061","820100602","820100605","820100603","820100601","82001006"
"820100704","820010071","820100702","820100705","820100703","820100701","82001007"
"820100804","820010081","820100802","820100805","820100803","820100801","82001008"
"820100904","820010091","820100902","820100905","820100903","820100901","82001009"
"0","820010101","0","0","0","820101001","82001010"
"820101104","820010111","820101102","820101105","820101103","820101101","82001011"
"820101204","820010121","820101202","820101205","820101203","820101201","82001012"
"820101304","820010131","820101302","820101305","820101303","820101301","82001013"
"820101404","820010141","820101402","820101405","820101403","820101401","82001014"
"820101504","820010151","820101502","820101505","820101503","820101501","82001015"
"820101604","820010161","820101602","820101605","820101603","820101601","82001016"
"820101704","820010171","820101702","820101705","820101703","820101701","82001017"
"820101804","820010181","820101802","820101805","820101803","820101801","82001018"
"820101904","820010191","820101902","820101905","820101903","820101901","82001019"
"0","820010201","0","0","0","820102001","82001020"
"820102104","820010211","820102102","820102105","820102103","820102101","82001021"
"820102204","820010221","820102202","820102205","820102203","820102201","82001022"
"820102304","820010231","820102302","820102305","820102303","820102301","82001023"
"820102404","820010241","820102402","820102405","820102403","820102401","82001024"
"820102504","820010251","820102502","820102505","820102503","820102501","82001025"
"820102604","820010261","820102602","820102605","820102603","820102601","82001026"
"820102704","820010271","820102702","820102705","820102703","820102701","82001027"
"820102804","820010281","820102802","820102805","820102803","820102801","82001028"
"820102904","820010291","820102902","820102905","820102903","820102901","82001029"
"0","820010301","0","0","0","820103001","82001030"
"820103104","820010311","820103102","820103105","820103103","820103101","82001031"
"820103204","820010321","820103202","820103205","820103203","820103201","82001032"
"820103304","820010331","820103302","820103305","820103303","820103301","82001033"
"820103404","820010341","820103402","820103405","820103403","820103401","82001034"
"820103504","820010351","820103502","820103505","820103503","820103501","82001035"
"820103604","820010361","820103602","820103605","820103603","820103601","82001036"
"820103704","820010371","820103702","820103705","820103703","820103701","82001037"
"820103804","820010381","820103802","820103805","820103803","820103801","82001038"
"820103904","820010391","820103902","820103905","820103903","820103901","82001039"
"0","820010401","0","0","0","820104001","82001040"
"820104104","820010411","820104102","820104105","820104103","820104101","82001041"
"820104204","820010421","820104202","820104205","820104203","820104201","82001042"
"820104304","820010431","820104302","820104305","820104303","820104301","82001043"
"820104404","820010441","820104402","820104405","820104403","820104401","82001044"
"820104504","820010451","820104502","820104505","820104503","820104501","82001045"
"820104604","820010461","820104602","820104605","820104603","820104601","82001046"
"820104704","820010471","820104702","820104705","820104703","820104701","82001047"
"820104804","820010481","820104802","820104805","820104803","820104801","82001048"
"820104904","820010491","820104902","820104905","820104903","820104901","82001049"
"0","820010501","0","0","0","820105001","82001050"
"820105104","820010511","820105102","820105105","820105103","820105101","82001051"
"820105204","820010521","820105202","820105205","820105203","820105201","82001052"
"820105304","820010531","820105302","820105305","820105303","820105301","82001053"
"820105404","820010541","820105402","820105405","820105403","820105401","82001054"
"820105504","820010551","820105502","820105505","820105503","820105501","82001055"
"820105604","820010561","820105602","820105605","820105603","820105601","82001056"
"820105704","820010571","820105702","820105705","820105703","820105701","82001057"
"820105804","820010581","820105802","820105805","820105803","820105801","82001058"
"820105904","820010591","820105902","820105905","820105903","820105901","82001059"
"0","820010601","0","0","0","820106001","82001060"
"820106104","820010611","820106102","820106105","820106103","820106101","82001061"
"820106204","820010621","820106202","820106205","820106203","820106201","82001062"
"820106304","820010631","820106302","820106305","820106303","820106301","82001063"
"820106404","820010641","820106402","820106405","820106403","820106401","82001064"
"820106504","820010651","820106502","820106505","820106503","820106501","82001065"
"820106604","820010661","820106602","820106605","820106603","820106601","82001066"
