1db0150b591e95b50da3e8c95697ee55634ae7d77be7f6f3ab0584d1dfad00f2,7ee60a11732babc2a06c6b3c67f797f45317c076976d37323d2b68862c429960,39b05814b2a534d7092c3b4b99ea7470090f6165fd4cb643e39d75587f2dbe33,37b700d359d8ecc98b09fa6fbcd8536d65a6168e9460b84b2272f30b1fb27f5a,764bf42be5982b3868c3fb3c9a57e6c07e999d487d89df8e9b2de09bea210ba8
"1","300","1","1","135"
"1","-100","2","1","425"
"1","125","3","2","-100"
"1","-415","4","2","375"
"1","-50","5","3","25"
"1","-300","6","3","-25"
"1","-335","7","4","-195"
"1","-415","8","4","105"
"1","-160","9","5","135"
"1","-40","10","6","345"
"1","90","11","7","-230"
"1","-420","12","8","230"
"1","250","13","9","30"
"1","-245","14","10","280"
"1","-110","15","11","-150"
