d902ce50efe22564a73cd5a1d8fe2587d4e117e41744f6c6765ae2d8bc9dd292,3466c98bb45dbdeede2e62436a37b047787c2e1ce275556338a8dd0af4d10243,a41bab02ed06ac8bd33f3ad862ddb81dccc642c7e208c3fca66fb4ed94b937bc,bec32838ac0f3509b7aa4d4b75ba958e6917a121366079be8e2a10c2f378f470,ef718ba6983ff916c7298c828b6ec76cbba8ef4da1033fb6c90502442da0bc8a,4a9c6505f2f1f5b8550a1ca980bcfa02780c579d32344970ec7c249c055af84b,37b129937ccfc40a7e120634866bd247a08b0b75bb1527087b58e7e862710725,3d27ea9a5bad5fbfbd1104ee3a02b5ca2b813acca89f2421cbad8009b5d1fca1,ada8f212bb3ba1e18668a74e54c2d22aaed37aafdfb85f2b15e5816adecf4cc4,d7274c99036be7f97946e92265b4111b63cfee98baafc97da1a0627838ed8664,6a6c6ea24d894a3e81bfe84e7a9074526a3bc734eb12d623160535f00f6d34e0
"1","1001","10011","2","10011105","0","0","0","1","pt","0"
"2","1002","10015","2","10015103","0","0","0","1","m","1"
"3","1003","10021","2","10021108","5021700","0","0","1","pt","0"
"4","1004","10027","3","5027007","5027700","0","0","1","pt","0"
"5","1005","10040","2","10040105","5040700","0","0","1","pt","0"
"6","1006","10046","1","5046006","0","1","5046006","1","pt","0"
"7","1007","10072","3","5072006","0","3","5072006","1","pt","0"
"8","1008","10080","3","5080007","5080700","3","5080000","0","pt","0"
"9","1009","0","0","0","9004201","0","0","0","pt","0"
"10","1010","10096","1","5096007","5096700","3","5096007","1","pt","0"
"11","1012","10126","2","10126107","0","3","5126000","1","pt","0"
"12","1013","10142","3","5142007","5142700","1","5142000","1","pt","0"
