dc2cf6607773ab865e54a9a0849ebd57e7f97bff61885d85bc6d4ec109bad0a2,b097dc1d3adb3c95362d4e88768637206796b8816d2dca63c4926c7b5df10df7,343a222647e02a59885d6acf4340de2fbafdf4a20e448f0f6bc5ac0ab0adafcb,e400b9e669d6a23e3d6e5ea287a830b4b41e82b13d33d2db671500830829e379,bb96ac412d3a9ead4fe480dd4fd99271b756fe81482a1c3d6664c8454bdfc017,e8ed96a7dc24a0959f4ac9388ff70784f70163826e8f94dfb7a4839920738336,6c6012043095fc507ef69304a0ce931aa3561d17df9f5063380c99aa72c1daf3,6b517bb56bb87f5f2cec024ba1f42d4317b38ee0d1cf4b4fc51724da430ad6e0
"3","111","2","1","104","4","200","5"
"3","211","2","1","14","4","2","5"
"3","311","2","1","103","4","2","5"
"3","411","2","1","102","4","2","5"
"3","511","2","1","104","4","200","5"
"3","611","2","1","1","4","250","5"
"3","711","2","1","101","4","3","5"
"3","811","2","1","100","4","3","5"
"3","911","2","1","104","4","200","5"
"3","1011","2","1","1","4","250","5"
"3","1111","2","1","3","4","250","5"
"3","1112","2","1","5","4","250","5"
"3","1211","2","1","6","4","150","5"
"3","1212","2","1","7","4","150","5"
"3","1311","2","1","104","4","200","5"
"3","1411","2","1","103","4","2","5"
"3","1511","2","1","102","4","2","5"
"3","1611","2","1","1","4","250","5"
"3","1711","2","1","104","4","200","5"
"3","1811","2","1","2","4","500","5"
"3","1812","2","1","4","4","500","5"
"3","1911","2","1","101","4","3","5"
"3","2011","2","1","100","4","3","5"
"3","2111","2","1","104","4","200","5"
"3","2211","2","1","1","4","250","5"
"3","2311","2","1","100","4","3","5"
"3","2411","2","1","101","4","3","5"
"3","2511","2","1","104","4","200","5"
"3","2611","2","1","2","4","500","5"
"3","2612","2","1","4","4","500","5"
"3","2711","2","1","6","4","150","5"
"3","2712","2","1","7","4","150","5"
"3","2811","2","1","2","4","500","5"
"3","2812","2","1","4","4","500","5"
"3","2911","2","1","104","4","200","5"
"3","3011","2","1","3","4","250","5"
"3","3012","2","1","5","4","250","5"
"3","3111","2","1","100","4","3","5"
"3","3211","2","1","101","4","3","5"
"3","3311","2","1","104","4","200","5"
"3","3411","2","1","100","4","2","5"
"3","3511","2","1","104","4","200","5"
"3","3611","2","1","103","4","1","5"
"3","3711","2","1","102","4","1","5"
"3","3811","2","1","2","4","250","5"
"3","3812","2","1","4","4","250","5"
"3","3911","2","1","102","4","1","5"
"3","4011","2","1","104","4","200","5"
"3","4111","2","1","100","4","2","5"
"3","4211","2","1","6","4","150","5"
"3","4212","2","1","7","4","150","5"
"3","4311","2","1","104","4","200","5"
"3","4411","2","1","103","4","1","5"
"3","4511","2","1","104","4","200","5"
"3","4611","2","1","101","4","2","5"
"3","4711","2","1","102","4","1","5"
"3","4811","2","1","104","4","200","5"
"3","4911","2","1","103","4","1","5"
"3","5011","2","1","104","4","200","5"
"3","5111","2","1","101","4","2","5"
"3","5211","2","1","102","4","1","5"
"3","5311","2","1","104","4","200","5"
"3","5411","2","1","6","4","150","5"
"3","5412","2","1","7","4","150","5"
"3","5511","2","1","103","4","1","5"
"3","5611","2","1","104","4","200","5"
"3","5711","2","1","100","4","2","5"
"3","5811","2","1","101","4","2","5"
"3","5911","2","1","103","4","1","5"
"3","6011","2","1","104","4","200","5"
"3","6111","2","1","102","4","1","5"
"3","6211","2","1","2","4","250","5"
"3","6212","2","1","4","4","250","5"
"3","6311","2","1","104","4","200","5"
"3","6411","2","1","103","4","1","5"
"3","6511","2","1","102","4","1","5"
"3","6611","2","1","104","4","200","5"
"3","6711","2","1","6","4","150","5"
"3","6712","2","1","7","4","150","5"
"3","6811","2","1","102","4","1","5"
"3","6911","2","1","104","4","200","5"
"3","7011","2","1","103","4","1","5"
"3","7111","2","1","101","4","2","5"
"3","7211","2","1","100","4","2","5"
