49514b6b1e840636d88254da49d5d50f7854c2fe4efe6dff7e07f0ace5bc5a32,7ad5d7774da710b9c7d3a1f722febc7776cb6cc25caef0e46adc1f369d7c77c0,22c4fec94f1af32749753d9147d20f8742d292273b7b136b9c46bea04fa275ea,c36a6addad001f834428c93a85c1dc7838efdd461e0107d7716929dc71aa51d6,720054c3756da3d0dd5b810c892920f1fa2a11b1ba7e41e7cc8c33a1a002d78a,6bdea9cfd9872885bdc4eeeebf9daa2bf0ee9d7e37e5b7c3b0afb672e891364c,9f287c2d8950a73cfa084e2a44bb94bb9e5b10d1ce122ba3b441e5a1ce198434,c9077e4428ae3c184181604192cd97c14b8846287eab13866af2705da3d5507e,a9732d2766d080edfb286f735079d557af03cc07732fe63b5e95340e5e1ee679,bed0b80d5388880567a120c571e96686efc63f7ec5d316b1f59d4d48d28af1be,63ebc5cd57aca73898b18c585b47f12a23299d5a08f5403ebb8d5646cb15596b
"91002","284001001","1","25021","2","31","10","8","8","2","25014"
"91002","284001002","2","25021","2","31","10","8","8","2","25014"
"91002","284001003","3","25021","2","32","10","8","8","2","25014"
"91002","284001004","4","25021","2","32","10","8","8","2","25014"
"91002","284001005","5","25021","2","33","10","8","8","2","25014"
"91002","284001006","6","25021","2","33","10","8","9","2","25014"
"91002","284001007","7","25021","2","34","10","8","9","2","25014"
"91002","284001008","8","25021","2","35","10","8","9","2","25014"
"91002","284001009","9","25021","2","35","10","8","9","2","25014"
"91002","284001010","10","25021","2","37","30","8","10","2","25014"
"91002","284001011","11","25021","2","41","10","8","10","2","25014"
"91002","284001012","12","25021","2","43","10","8","11","2","25014"
"91002","284001013","13","25021","2","46","10","8","11","2","25014"
"91002","284001014","14","25021","2","48","10","8","12","2","25014"
"91002","284001015","15","25021","2","50","10","8","12","2","25014"
"91002","284001016","16","25021","2","53","10","8","13","2","25014"
"91002","284001017","17","25021","2","55","10","8","14","2","25014"
"91002","284001018","18","25021","2","58","10","8","14","2","25014"
"91002","284001019","19","25021","2","60","10","8","15","2","25014"
"91002","284001020","20","25021","2","62","30","8","15","2","25014"
"91002","284001021","21","25021","2","68","10","8","16","2","25014"
"91002","284001022","22","25021","2","70","10","8","16","2","25014"
"91002","284001023","23","25021","2","72","10","8","16","2","25014"
