9e4ffdf21703a67bcce25f8d9a2b9b6aed873b7418ee515e73ff4269af647006,9420d44cb46970facb5a447cdd6bf05c4c0b7f4ada766e61220ffa94eb28f385,1b173a1c7ffa793163153d93007df4c749651a16d59a016882440e0656d676c1,fd9b15ac70ab98070b05e7dcafd507aa30670b3becd96223cb865c05134fd811,10a6956da536c10a56062d757106976464bd1e6f1480a3f8174b3d9ed8d6a3df,0675d7d621f15706f5de7860998b4eb6da698659058b6644599524fcf9352c72
"10101001","1001","58002001","15","1","1"
"10101002","1002","58002002","15","2","1"
"10101003","1003","58002003","15","3","1"
"10201001","1001","56011001","15","4","1"
"10201002","1002","56011002","15","5","1"
"10201003","1003","56011003","15","6","1"
"91002","0","56011003","8","7","50"
"10201004","1001","56011004","15","8","1"
"10201005","1002","56011005","15","9","1"
"10201006","1003","56011006","15","10","1"
"91002","0","56011006","8","11","50"
"10201007","1001","56011007","15","12","1"
"10201008","1002","56011008","15","13","1"
"10201009","1003","56011009","15","14","1"
"91002","0","56011009","8","15","50"
"10201010","1001","56011010","15","16","1"
"10201011","1002","56011011","15","17","1"
"10201012","1003","56011012","15","18","1"
"91002","0","56011012","8","19","50"
"10201013","1001","56011013","15","20","1"
"10201014","1002","56011014","15","21","1"
"10201015","1003","56011015","15","22","1"
"91002","0","56011015","8","23","50"
"10201016","1001","56011016","15","24","1"
"10201017","1002","56011017","15","25","1"
"10201018","1003","56011018","15","26","1"
"91002","0","56011018","8","27","50"
"10201019","1001","56011019","15","28","1"
"10201020","1002","56011020","15","29","1"
"10201021","1003","56011021","15","30","1"
"91002","0","56011021","8","31","50"
"10201022","1001","56011022","15","32","1"
"10201023","1002","56011023","15","33","1"
"10201024","1003","56011024","15","34","1"
"91002","0","56011024","8","35","50"
"10201025","1001","56011025","15","36","1"
"10201026","1002","56011026","15","37","1"
"10201027","1003","56011027","15","38","1"
"91002","0","56011027","8","39","50"
"10201028","1001","56011028","15","40","1"
"10201029","1002","56011029","15","41","1"
"10201030","1003","56011030","15","42","1"
"91002","0","56011030","8","43","50"
"10201031","1001","56011031","15","44","1"
"10201032","1002","56011032","15","45","1"
"10201033","1003","56011033","15","46","1"
"91002","0","56011033","8","47","50"
"10201034","1001","56011034","15","48","1"
"10201035","1002","56011035","15","49","1"
"10201036","1003","56011036","15","50","1"
"91002","0","56011036","8","51","50"
"10201037","1001","56011037","15","52","1"
"10201038","1002","56011038","15","53","1"
"10201039","1003","56011039","15","54","1"
"91002","0","56011039","8","55","50"
"10201040","1001","56011040","15","56","1"
"10201041","1002","56011041","15","57","1"
"10201042","1003","56011042","15","58","1"
"91002","0","56011042","8","59","50"
"10201043","1001","56011043","15","60","1"
"10201044","1002","56011044","15","61","1"
"10201045","1003","56011045","15","62","1"
"91002","0","56011045","8","63","50"
"10201046","1001","56011046","15","64","1"
"10201047","1002","56011047","15","65","1"
"10201048","1003","56011048","15","66","1"
"91002","0","56011048","8","67","50"
"10201049","1001","56011049","15","68","1"
"10201050","1002","56011050","15","69","1"
"10201051","1003","56011051","15","70","1"
"91002","0","56011051","8","71","50"
"10201052","1001","56011052","15","72","1"
"10201053","1002","56011053","15","73","1"
"10201054","1003","56011054","15","74","1"
"91002","0","56011054","8","75","50"
"10201055","1001","56011055","15","76","1"
"10201056","1002","56011056","15","77","1"
"10201057","1003","56011057","15","78","1"
"91002","0","56011057","8","79","50"
"10201058","1001","56011058","15","80","1"
"10201059","1002","56011059","15","81","1"
"10201060","1003","56011060","15","82","1"
"91002","0","56011060","8","83","50"
"10201061","1001","56011061","15","84","1"
"10201062","1002","56011062","15","85","1"
"10201063","1003","56011063","15","86","1"
"91002","0","56011063","8","87","50"
"10201064","1001","56011064","15","88","1"
"10201065","1002","56011065","15","89","1"
"10201066","1003","56011066","15","90","1"
"91002","0","56011066","8","91","50"
"10201067","1001","56011067","15","92","1"
"10201068","1002","56011068","15","93","1"
"10201069","1003","56011069","15","94","1"
"91002","0","56011069","8","95","50"
"10201070","1001","56011070","15","96","1"
"10201071","1002","56011071","15","97","1"
"10201072","1003","56011072","15","98","1"
"91002","0","56011072","8","99","50"
"10201073","1001","56011073","15","100","1"
"10201074","1002","56011074","15","101","1"
"10201075","1003","56011075","15","102","1"
"91002","0","56011075","8","103","50"
"10201076","1001","56011076","15","104","1"
"10201077","1002","56011077","15","105","1"
"10201078","1003","56011078","15","106","1"
"91002","0","56011078","8","107","50"
"10201079","1001","56011079","15","108","1"
"10201080","1002","56011080","15","109","1"
"10201081","1003","56011081","15","110","1"
"91002","0","56011081","8","111","50"
"10201082","1001","56011082","15","112","1"
"10201083","1002","56011083","15","113","1"
"10201084","1003","56011084","15","114","1"
"91002","0","56011084","8","115","50"
"10201085","1001","56011085","15","116","1"
"10201086","1002","56011086","15","117","1"
"10201087","1003","56011087","15","118","1"
"91002","0","56011087","8","119","50"
"10201088","1001","56011088","15","120","1"
"10201089","1002","56011089","15","121","1"
"10201090","1003","56011090","15","122","1"
"91002","0","56011090","8","123","50"
"10201091","1001","56011091","15","124","1"
"10201092","1002","56011092","15","125","1"
"10201093","1003","56011093","15","126","1"
"91002","0","56011093","8","127","50"
"10201094","1001","56011094","15","128","1"
"10201095","1002","56011095","15","129","1"
"10201096","1003","56011096","15","130","1"
"91002","0","56011096","8","131","50"
"10201097","1001","56011097","15","132","1"
"10201098","1002","56011098","15","133","1"
"10201099","1003","56011099","15","134","1"
"91002","0","56011099","8","135","50"
"10201100","1001","56011100","15","136","1"
"10201101","1002","56011101","15","137","1"
"10201102","1003","56011102","15","138","1"
"91002","0","56011102","8","139","50"
"10201103","1001","56011103","15","140","1"
"10201104","1002","56011104","15","141","1"
"10201105","1003","56011105","15","142","1"
"91002","0","56011105","8","143","50"
"10201106","1001","56011106","15","144","1"
"10201107","1002","56011107","15","145","1"
"10201108","1003","56011108","15","146","1"
"91002","0","56011108","8","147","50"
"10201109","1001","56011109","15","148","1"
"10201110","1002","56011110","15","149","1"
"10201111","1003","56011111","15","150","1"
"91002","0","56011111","8","151","50"
"10201112","1001","56011112","15","152","1"
"10201113","1002","56011113","15","153","1"
"10201114","1003","56011114","15","154","1"
"91002","0","56011114","8","155","50"
"10201115","1001","56011115","15","156","1"
"10201116","1002","56011116","15","157","1"
"10201117","1003","56011117","15","158","1"
"91002","0","56011117","8","159","50"
"10201118","1001","56011118","15","160","1"
"10201119","1002","56011119","15","161","1"
"10201120","1003","56011120","15","162","1"
"91002","0","56011120","8","163","50"
"10201121","1001","56011121","15","164","1"
"10201122","1002","56011122","15","165","1"
"10201123","1003","56011123","15","166","1"
"91002","0","56011123","8","167","50"
"10201124","1001","56011124","15","168","1"
"10201125","1002","56011125","15","169","1"
"10201126","1003","56011126","15","170","1"
"91002","0","56011126","8","171","50"
"10201127","1001","56011127","15","172","1"
"10201128","1002","56011128","15","173","1"
"10201129","1003","56011129","15","174","1"
"91002","0","56011129","8","175","50"
"10201130","1001","56011130","15","176","1"
"10201131","1002","56011131","15","177","1"
"10201132","1003","56011132","15","178","1"
"91002","0","56011132","8","179","50"
"10201133","1001","56011133","15","180","1"
"10201134","1002","56011134","15","181","1"
"10201135","1003","56011135","15","182","1"
"91002","0","56011135","8","183","50"
"10201136","1001","56011136","15","184","1"
"10201137","1002","56011137","15","185","1"
"10201138","1003","56011138","15","186","1"
"91002","0","56011138","8","187","50"
"10201139","1001","56011139","15","188","1"
"10201140","1002","56011140","15","189","1"
"10201141","1003","56011141","15","190","1"
"91002","0","56011141","8","191","50"
"10201142","1001","56011142","15","192","1"
"10201143","1002","56011143","15","193","1"
"10201144","1003","56011144","15","194","1"
"91002","0","56011144","8","195","50"
"10201145","1001","56011145","15","196","1"
"10201146","1002","56011146","15","197","1"
"10201147","1003","56011147","15","198","1"
"91002","0","56011147","8","199","50"
"10201148","1001","56011148","15","200","1"
"10201149","1002","56011149","15","201","1"
"10201150","1003","56011150","15","202","1"
"91002","0","56011150","8","203","50"
"10201151","1001","56011151","15","204","1"
"10201152","1002","56011152","15","205","1"
"10201153","1003","56011153","15","206","1"
"91002","0","56011153","8","207","50"
"10201154","1001","56011154","15","208","1"
"10201155","1002","56011155","15","209","1"
"10201156","1003","56011156","15","210","1"
"91002","0","56011156","8","211","50"
"10201157","1001","56011157","15","212","1"
"10201158","1002","56011158","15","213","1"
"10201159","1003","56011159","15","214","1"
"91002","0","56011159","8","215","50"
"10201160","1001","56011160","15","216","1"
"10201161","1002","56011161","15","217","1"
"10201162","1003","56011162","15","218","1"
"91002","0","56011162","8","219","50"
"10201163","1001","56011163","15","220","1"
"10201164","1002","56011164","15","221","1"
"10201165","1003","56011165","15","222","1"
"91002","0","56011165","8","223","50"
"10201166","1001","56011166","15","224","1"
"10201167","1002","56011167","15","225","1"
"10201168","1003","56011168","15","226","1"
"91002","0","56011168","8","227","50"
"10201169","1001","56011169","15","228","1"
