92edbba36191d22df7ee1302dbbbeb2e32389606631bbe29634ed027ec47c7de,dc65c926e1ac67cf0ce642f7e75873f11e1fcfff05be118009668cb6a9af3910,380a01df78c55db038af0763f6b24e246644c9e9a9f69e7e5a634e28ad3bf46a,29e00673aa52381da569204d6cd45fcac1d1e81b1ebe4fc40a7ed22dc91cf781,7d8a1b5655954000394a9fcdb5889ba60aa93e4dd6fc876f92784d8d5cfb8061,a426a6920af4bd5285c765f844a61bf3770a84d87384f36d4f81e32fccd9d664,4df33399f3b16c3e43b41f0a610503883723b1975ac913cbfdd2a9e3c4393196,7c97808ad5cc2944cf00d15e9fdc4e99b5121d490a8e83d62029837747651bd5
"11011","192801","0","21_role_tank","0","想讓掩護者\n成為夥伴！","掩護者職階的\n隨機印記×2\n＋始源盧幣×200","11011"
"11012","192801","0","22_role_healer","0","想讓治療者\n成為夥伴！","治療者職階的\n隨機印記×2\n＋始源盧幣×200","11012"
"11021","192801","0","23_role_booster","0","想讓增幅者\n成為夥伴！","增幅者職階的\n隨機印記×2\n＋始源盧幣×200","11021"
"11022","192801","0","24_role_buffer","0","想讓增益者\n成為夥伴！","增益者職階的\n隨機印記×2\n＋始源盧幣×200","11022"
"11031","192901","0","25_role_debuffer","0","想讓減益者\n成為夥伴！","減益者職階的\n隨機印記×2\n＋始源盧幣×200","11031"
"11032","192901","0","26_role_jammer","0","想讓妨礙者\n成為夥伴！","妨礙者職階的\n隨機印記×2\n＋始源盧幣×200","11032"
"11041","192901","0","27_role_attacker","0","想讓攻擊者\n成為夥伴！","攻擊者職階的\n隨機印記×2\n＋始源盧幣×200","11041"
"11042","192901","0","28_role_breaker","0","想讓破防者\n成為夥伴！","破防者職階的\n隨機印記×2\n＋始源盧幣×200","11042"
"11051","100501","0","41_matsuri_guts","0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","11051"
"11052","107101","0","42_chris_cool","0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","11052"
"11071","102501","2000","71_suzume_sad","1","小心接近吧","50％★2迷宮遺物×1\n50％★3迷宮遺物×1","11071"
"11072","102301","2000","72_ayane_handsup","1","噗吉\n全力揮～擊☆","50％隨機職階的\n自選印記×1\n50％全自選印記×1","11072"
"11073","102101","0","73_kurumi_wish","0","摸也\n沒關係吧……？","50％始源盧幣×1500\n50％始源盧幣×2000","11073"
"11081","103201","0","82_akino_pointing","0","一定是右吧！","50％★1迷宮遺物×1\n50％隨機職階的\n隨機印記×2","11081"
"11082","102801","0","81_saren_pointing","0","不是左嗎？","始源盧幣×1000","11082"
"11091","100501","0","41_matsuri_guts","0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","11091"
"11092","107101","0","42_chris_cool","0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","11092"
"11101","100101","0","31_hiyori_gu","0","石頭──！！！","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11101"
"11102","100301","0","32_rei_choki","0","出剪刀吧","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11102"
"11103","100201","0","33_yui_pa","0","出布好了","獲勝始源盧幣×3000\n落敗始源盧幣×1000","11103"
"11111","193001","0","101_chest_shizuru","0","弟弟，\n這邊這邊♪","始源盧幣×2000","11111"
"11112","193001","0","102_chest_rino","0","哥哥，\n這邊喔♪","★1～3迷宮遺物×１","11112"
"11121","103701","0","111_tomo_run","0","賭上\n御久間流的劍技！","始源盧幣×2000","11121"
"11122","104701","0","112_jun_run","0","這裡就交給\n我們吧！","純成為夥伴\n＋全隨機印記×2～4","11122"
"11131","100501","0","41_matsuri_guts","0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","11131"
"11132","107101","0","42_chris_cool","0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","11132"
"11171","100501","0","41_matsuri_guts","0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","11171"
"11172","107101","0","42_chris_cool","0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","11172"
"13141","105601","0","51_ruka_fishing","0","來放鬆\n釣個魚吧","50％★1迷宮遺物×1\n接著前往下一個活動","13141"
"13151","105801","0","91_peko_guts","0","大家\n一起來做菜吧♪","50％前往下一個活動","13151"
"13161","106601","0","61_inori_guts","0","那我也上吧！","50％始源盧幣×2000\n接著前往下一個活動","13161"
"23141","105601","0","52_ruka_fishing","0","再挑戰一次！","25％★2迷宮遺物×1\n接著前往下一個活動","23141"
"23151","105801","0","92_peko_guts","1","還遠遠\n沒吃夠☆","50％前往下一個活動","23151"
"23152","106001","0","92_kyaru_sad","0","差不多那樣\n就行了吧？","隨機職階的\n隨機印記×2","23152"
"23161","106601","2000","62_inori_guts","1","今天真走運！","50％始源盧幣×4000\n接著前往下一個活動","23161"
"23162","105501","0","62_ayumi_sad","0","差不多就到這裡吧……","挑戰結束","23162"
"33141","105601","0","53_ruka_fishing","0","最後再來一場！","10％★3迷宮遺物×1","33141"
"33151","105801","0","93_peko_guts","1","嘿嘿～\n再一下就好……","50％全自選印記×２","33151"
"33152","106001","0","93_kyaru_anger","0","不可能\n吃得下這麼多吧！","隨機職階的\n自選印記×2","33152"
